token,frequency
a joint stock,5
company,10
limited liability,4
china,1
the predecessor,1
the resumption,2
establishment,9
a stateowned specialized bank,1
state,4
commercial bank,2
a statecontrolled commercial bank,1
liability,21
the major integrated financial service,1
an international firstclass,3
commercial banking,11
group,14
efficient,1
convenient,2
demonstrated valuecreation,1
capability,22
comprehensive business,1
portfolio,16
extensive distribution,1
network,4
a diverse portfolio,1
retail banking,12
a broad range,3
treasury,27
asset,44
management,379
business,235
scope,8
investment,99
banking,58
fund,31
financial leasing,3
life,5
insurance,49
the end,205
capital,109
adequacy,23
ratio,52
a net profit,14
a total,17
domestic branch,2
training,3
foundationlevel branch,3
overseas branch,1
overseas representative,1
the list,4
list,7
tier,1
the date,37
this annual report,4
longshortterm issuer,1
credit,209
stable outlook,3
longshortterm bank,1
deposit,21
long shortterm issuer,1
default,28
information,54
the context,5
pursuant,12
the accounting,12
the countylevel,2
the districtlevel,1
administration,2
countylevel,3
such banking,1
an internal division,1
mechanism,45
specialized operation,1
restructuring,2
independence,4
governance,9
operational decision,1
financial accounting,1
incentive,4
constraint,5
a certain extent,1
the financial market,2
the nominal value,2
name,16
representative,3
irabchinacom,2
office,33
address,2
code,22
customer,35
service,52
website,1
wwwabchinacom,1
place,3
disclosure,10
the annual report,5
report,23
exchange,29
platform,24
preference,79
stock,11
domestic auditor,1
international auditor,2
the period,31
accrued interest,18
the balance,60
accordance,93
net profit,8
net interest,32
margin,9
loan,49
the reporting,151
period,175
resale,19
repurchase,26
equity,67
capital0,1
the year,300
income,201
net,24
interest,183
fee,14
commission,49
impairment,48
total profit,2
tax,98
profit,178
cash,63
operating,58
weighted average net assets0 net interest,1
margin0,1
spread0,1
riskweighted assets0 net fee,1
ratio0,5
share,54
share0,1
share0 net cash,1
total equity,3
ordinary share0,1
the capital,26
the beginning,7
the difference,13
the average yield,15
the average cost,9
the financial report,2
allowance,83
the allowance,17
other comprehensive income,94
the target,6
ordinary equity,14
deduction,3
the total number,8
single customer0,1
percentage,52
the percentage,6
the top ten,3
customers0,3
migration,1
mention,2
single customer,1
net capital,5
quarter,3
second quarter,1
an era,1
a period,2
the potential,1
a demanding,1
complex environment,2
home,4
the principle,6
progress,21
performance,34
significant effort,3
market,74
competitiveness,6
value,94
manage,2
risk,494
stable improvement,1
size,1
quality,26
efficiency,11
good operating,1
an increase,89
costtoincome,4
nonperforming loan,2
point,9
core,9
the quality,10
the real economy,20
highquality,11
major engineering,2
rural revitalization,2
the fight,2
poverty,41
the innovation,2
delivery,4
financing,29
high financing,1
supplyside structural reform,3
structure,21
economic growth,5
meaningful reform,1
successful reform,1
innovation,27
continued growth,1
the stable development,1
application,7
the ten,1
product,24
technology,18
provincial capital,4
city,2
operation,39
sustainable business,1
development,43
growth,19
transformation,25
weakness,7
resilient competitive capability,1
the future,3
implementation,15
thecleanup,1
foundation,3
sustainable development,8
control,53
the operating,8
principle,5
the high quality,1
the inflow,1
additional nonperforming,1
this aspect,1
volatility,3
uncertainty,5
forecasting,1
judgment,4
proper control,1
liquidity,31
enhanced management,1
accountability,2
compliance,56
consolidated management,2
base,10
the world,2
tremendous change,1
a century,1
this time,1
demanding,1
the current circumstance,1
trend,6
the subtle interdependence,1
crisis,2
opportunity,1
reform,11
the process,5
strategic transformation,4
stability,3
an intense focus,1
the same time,2
the financial sector,2
order,31
the concept,1
the development,31
targeted poverty,12
alleviation,63
financial poverty,9
the customized,1
responsiveness,2
personal consumption,3
the livelihood,1
a strict approach,2
limitation,3
work,23
a stringent credit,1
approach,22
hidden debt,1
the real estate,3
sector,20
strict risk,1
