token,frequency
a,147
joint,55
stock,27
company,91
incorporated,10
limited,95
liability,396
httpwwwabchinacom,2
n,336
u,94
l,80
r,146
e,325
p,102
dedication,2
to,151
build,13
china,3
profile,7
the,1019
predecessor,7
wa,357
established,77
since,51
resumption,1
establishment,23
february,17
bank,330
ha,149
evolved,1
stateowned,29
specialized,8
wholly,5
commercial,71
subsequently,14
statecontrolled,1
restructured,1
january,73
in,277
july,38
listed,30
as,174
one,51
major,67
integrated,35
financial,1389
service,287
provider,1
committed,7
building,31
international,19
firstclass,6
banking,185
group,160
featured,13
operation,116
efficient,7
convenient,4
diversified,13
function,19
demonstrated,3
valuecreation,1
capability,41
capitalizing,1
comprehensive,153
business,387
portfolio,29
extensive,1
distribution,72
network,16
advanced,15
it,55
platform,66
provides,6
diverse,1
corporate,159
retail,49
product,162
broad,4
range,18
customer,349
conduct,19
treasury,20
asset,798
management,737
our,45
scope,19
also,59
includes,36
among,48
thing,10
investment,337
fund,92
leasing,35
life,46
insurance,129
at,92
end,210
total,202
rmb,393
million,611
loan,528
advance,175
deposit,143
capital,225
adequacy,25
ratio,119
achieved,20
net,236
profit,224
domestic,50
branch,115
outlet,42
including,171
department,83
three,56
institution,192
managed,36
office,108
four,32
training,29
institute,7
tier,49
subbranches,21
foundationlevel,11
overseas,58
consisted,3
representative,17
subsidiary,82
stability,5
board,5
included,70
list,14
banks,35
six,19
consecutive,11
year,614
ranked,4
no,37
world,6
term,117
date,107
report,179
affirmed,3
longshortterm,3
issuer,10
credit,367
rating,27
aa,1
stable,76
outlook,3
default,41
af,1
definitions,1
basic,50
information,138
indicators,9
chairmans,4
statement,194
presidents,4
prospects,2
analysis,79
review,33
county,44
area,126
risk,779
internal,106
control,153
social,39
responsibility,41
changes,15
preference,128
governance,68
chart,4
appendix,6
i,104
iii,68
funding,39
iv,32
assessing,14
global,23
systematic,3
importance,6
supplementary,8
liquidity,77
coverage,30
leverage,7
contentsannual,1
unless,174
context,5
otherwise,178
requires,10
following,51
shall,54
meaning,2
set,55
share,319
domestically,1
subscribed,3
traded,15
groupwe,1
agricultural,30
cassprc,1
gaap,5
cbirc,12
division,18
amended,4
pursuant,20
issued,190
regulatory,86
commission,68
september,27
promulgated,4
related,177
rule,54
regulation,67
former,16
andor,4
countylevel,6
region,36
excluding,23
districtlevel,1
city,13
administration,5
we,466
provide,44
located,4
refer,50
mechanism,52
adopted,28
specialised,1
provided,50
required,47
restructuring,8
focus,14
independence,8
aspect,9
operational,28
decision,33
making,12
accounting,95
well,68
incentive,17
constraint,5
certain,36
extent,27
securities,47
systemically,4
important,14
recognised,5
key,92
player,1
market,163
feature,14
announced,1
h,46
dollars,1
nominal,6
value,368
denominated,19
rules,4
governing,4
listing,21
mof,19
pboc,9
ltd,49
agriculture,6
rural,50
farmer,5
definitionsannual,1
legal,49
name,19
abbreviation,1
中國農業銀行股份有限公司,1
中國農業銀行,1
mubing,17
authorized,17
detail,34
secretary,32
prc,88
irabchinacom,2
registered,38
address,18
code,25
hotline,1
compliant,2
internet,25
website,15
wwwabchinacom,1
principal,41
place,11
f,59
tower,5
connaught,5
road,14
central,69
selected,6
medium,7
disclosure,32
journal,2
times,3
publishing,4
annual,53
shares,34
wwwssecomcn,2
wwwhkexnewshk,2
location,2
copy,2
kept,10
exchange,104
registrar,5
農業銀行,1
depository,10
clearing,22
corporation,13
shops,1
th,10
trading,79
advisor,3
law,51
農行優,8
king,1
fangda,1
square,1
auditor,14
undersigned,2
accountant,4
llp,6
pricewaterhousecoopers,9
center,35
jiang,1
kun,1
han,1
princes,1
sponsor,4
continuous,8
supervision,50
guidance,13
period,237
ii,113
zhongxin,1
zhu,1
yu,1
december,727
indicatorsannual,3
highlights,1
data,76
indicator,34
recorded,39
prepared,11
accordance,97
reporting,195
standards,15
stated,174
interest,341
margin,16
costtoincome,9
nonperforming,49
allowance,127
resale,36
agreement,86
bill,18
others,67
impairment,132
loss,361
loans,50
cash,169
balance,165
deposits,22
placement,34
held,163
sold,28
repurchase,36
security,150
attributable,24
equity,162
holder,85
riskweighted,10
operating,151
result,83
income,386
fee,85
expense,117
tax,150
generated,6
activity,70
na,9
profitability,6
return,32
average,76
weighted,25
spread,9
per,62
earnings,20
diluted,4
cet,2
ordinary,86
quality,40
calculated,46
provisional,11
relevant,112
dividing,11
beginning,19
submission,3
companies,13
offer,1
public,41
computation,4
assets,13
interestearning,9
difference,43
yield,37
cost,155
bearing,9
administrative,22
consistent,8
corresponding,28
figure,7
accrued,21
doe,30
include,76
forfeiting,4
instrument,268
number,94
other,194
foreign,95
currency,68
largest,9
single,11
percentage,144
top,17
ten,12
migration,1
mention,4
current,40
reflecting,5
fromused,1
first,46
quarter,20
second,24
third,13
zhou,25
chairman,46
mark,1
anniversary,3
reestablishment,1
jointstock,1
reform,59
momentous,1
point,56
time,44
stringently,3
implemented,50
plan,90
state,31
council,10
adhered,7
principle,21
seeking,5
progress,22
working,24
keep,8
performance,62
new,83
vision,4
development,166
taken,8
effective,102
action,10
response,12
severe,2
challenge,4
brought,3
changing,3
economic,84
environment,20
revolution,2
continued,398
implementation,45
carried,35
solid,4
work,45
improving,22
preventing,8
implementing,6
pursuing,1
innovation,35
bolstering,2
weakness,11
promoting,10
transformation,73
regard,6
made,45
significant,106
improvement,15
create,5
competitiveness,6
ability,16
prevent,14
remained,16
favourable,10
trend,13
reached,35
trillion,20
representing,149
increase,209
decreased,23
increased,102
these,30
quantity,1
efficiency,26
ranking,4
rose,3
respectively,64
awarded,2
banker,1
achievement,5
due,134
strong,3
support,49
shareholder,120
sector,21
society,13
employee,68
persistent,1
hard,1
on,45
behalf,23
would,24
like,1
express,5
gratitude,1
contribution,38
past,20
demonstrating,2
courage,3
undertake,2
duty,37
initiative,4
act,8
effectively,37
shouldered,1
serving,22
real,32
economy,47
focusing,33
supplyside,8
structural,15
arrangement,39
namely,11
employment,8
finance,89
trade,16
expectation,12
optimized,31
developed,20
actively,35
fulfilling,3
with,19
increasing,12
national,58
strategy,61
project,56
small,37
micro,28
enterprise,60
adhering,9
effort,29
vitalization,15
fight,11
poverty,105
growth,42
higher,16
all,11
five,31
met,20
objective,21
remarkable,4
alleviation,77
billion,153
targeted,25
benefited,2
poor,26
people,17
contributed,3
winning,1
breakthrough,9
inclusive,46
outstanding,36
incarnated,1
private,39
better,7
supported,24
strengthened,76
foundation,18
bolstered,2
accumulated,14
momentum,7
condition,44
disposing,4
existing,12
reducing,9
inflow,10
strictly,20
controlled,28
occurrence,9
accelerated,27
disposal,26
various,41
mean,9
collection,22
write,4
batch,7
transfer,102
falling,2
within,39
comparable,6
industry,65
improved,100
significantly,22
continuously,67
expenditure,18
reduced,13
became,2
intensive,2
card,36
faster,2
pace,4
expanded,18
steadily,16
expend,1
implement,11
successfully,5
issuing,6
perpetual,7
bond,179
amounting,16
aggregate,23
enabled,5
rise,3
markedly,1
laid,1
sustainable,12
statementannual,3
deepened,7
promoted,77
hierarchical,5
classified,40
provincial,7
optimize,9
resource,23
allocation,24
improve,57
differentiated,13
sophisticated,1
businesstechnology,1
integration,17
research,29
technology,40
striving,2
agile,3
model,74
directlyoperated,2
unit,7
interconnected,1
synergy,11
empowerment,6
deeply,3
accelerate,10
marketing,36
acquisition,22
method,40
channel,30
system,168
procedure,33
particular,15
digital,59
line,20
fintech,3
online,63
financing,68
creating,1
scene,25
built,20
series,18
eloan,9
maintained,19
prudent,6
appetite,9
safeguard,11
safety,2
sustained,1
endeavoured,2
unified,9
granting,2
conducted,28
strict,9
classification,44
provision,44
order,21
enhanced,39
transaction,165
exposure,96
abnormal,2
volatility,6
resonance,1
arising,40
explored,5
monitoring,33
tool,16
using,34
big,12
develop,5
antimoney,19
laundering,24
compliance,75
design,7
framework,11
strengthen,16
case,45
prevention,36
featuring,5
personnel,20
staff,32
grid,3
violation,22
enabling,4
modernize,2
body,9
perform,20
respective,13
operate,10
coordination,5
counterbalance,4
authorization,13
investigation,9
communication,8
regarding,26
proposal,37
ensure,17
fully,22
fulfilled,7
obligation,45
consciously,1
accepted,8
investor,46
diligently,6
performed,21
advice,14
proper,2
issue,37
protected,3
right,83
signifies,2
finale,2
moderately,4
prosperous,3
respect,37
decisive,2
fighting,3
sudden,1
outbreak,4
coronavirus,1
disease,1
change,131
positive,5
longterm,25
trajectory,1
maintain,11
strategic,28
promote,35
highquality,11
embrace,1
selfreform,1
remain,16
make,42
greater,14
especially,2
accelerating,3
moving,1
fast,5
lane,1
continue,25
consolidate,12
traditional,8
advantage,9
bolster,5
adhere,2
approach,34
limitation,4
achieve,18
undergoing,2
profound,1
unseen,1
century,1
facing,3
unprecedented,1
opportunity,8
industriously,1
voyage,1
seize,1
conquer,1
obstacle,1
true,5
original,16
aspiration,1
secure,4
allout,1
march,39
zhang,45
qingsong,14
president,98
complicated,2
challenging,2
home,5
abroad,7
faithfully,1
followed,8
oriented,3
prevented,3
pursued,2
goal,11
directors,156
grew,5
groups,36
experienced,5
reasonable,21
base,12
personal,61
mobile,25
manufacture,1
macroprudential,1
standard,28
comprehensively,25
strengthening,10
countercyclical,5
served,68
steady,19
supply,20
bringing,1
together,6
local,18
government,70
debt,154
debttoequity,13
swap,20
construction,49
railway,1
highway,1
urban,2
infrastructure,12
water,12
conservancy,3
electric,1
power,22
alleviating,1
difficulty,13
high,16
encountered,1
proactively,7
directed,4
meaningful,1
toward,2
innovative,10
conversion,20
emerging,6
overcapacity,1
continuing,9
decline,6
emphasized,2
serve,12
upgraded,6
providing,17
services,7
record,7
household,18
thousand,47
village,7
across,10
country,24
amounted,77
formulated,36
preferential,12
policy,174
extreme,17
collaboration,5
eastern,6
western,4
consumption,28
education,18
rate,348
prefectures,8
whole,15
regarded,4
digitalization,1
core,14
driving,1
force,3
middle,4
expand,2
smart,29
industrial,24
chain,24
affair,16
livelihood,13
exceeded,5
covering,12
commenced,3
sale,36
innovate,1
monthly,3
active,15
progressing,1
smoothly,2
launched,33
eaccount,1
discounted,16
pool,3
convenience,2
experience,18
deepen,8
revitalize,2
taking,23
account,60
specific,28
circumstance,15
assessment,52
regional,13
direct,16
opened,3
wealth,44
custody,14
rapidly,6
satisfying,2
need,24
overall,25
obtained,10
evaluation,24
aggregation,3
application,43
measurement,72
consolidated,196
effectiveness,30
largescale,3
highrisk,7
dispose,1
large,14
non,12
performing,27
collecting,2
even,3
stricter,2
criterion,15
fell,4
level,74
peer,9
resilience,2
dynamic,2
reasonably,13
counterparties,15
crossmarket,1
transmission,7
consolidating,1
chaos,1
developing,9
use,42
reinforcing,2
sensitive,3
optimizing,7
distributed,17
safe,7
centennial,1
win,3
closely,10
general,158
utmost,1
way,9
reach,2
requite,1
wang,44
jingdong,11
influenced,2
negative,6
factor,30
protectionism,1
boosting,1
intensified,4
geopolitical,1
downward,3
pressure,5
ended,280
sheet,38
normalization,2
program,8
ahead,1
schedule,4
cut,6
round,1
expansion,4
fourth,8
euro,1
zone,7
weak,2
inflation,2
declined,2
restarted,1
quantitative,7
easing,3
japans,1
production,15
export,7
sluggish,1
remaining,27
low,12
loose,1
monetary,24
varying,1
degree,29
rebounded,1
still,6
stoxx,1
index,5
climbed,1
slightly,5
price,43
fluctuation,5
generally,13
affected,11
institutional,11
cyclical,2
more,3
impacted,2
slowdown,1
adjustment,22
reduction,9
effect,28
previous,150
stimulus,2
faced,4
mounting,1
decrease,62
fixed,63
consumer,18
good,11
reflected,6
upgrade,5
gradually,6
shifting,2
commodity,15
qualitative,3
yearonyear,11
deflationary,1
appeared,4
compared,139
money,14
m,31
flow,75
adopt,5
proactive,2
fiscal,7
utilized,4
variety,1
reserve,114
requirement,102
two,29
rates,1
executed,4
depth,1
created,6
formation,2
prime,4
reformed,1
encouraged,3
replenish,12
open,18
measure,48
relation,18
opening,6
released,4
removing,1
restriction,21
shareholding,18
future,37
clearly,2
suffering,2
great,6
impact,62
constant,1
spreading,1
covid,1
according,44
prediction,1
previously,33
estimated,21
epidemic,5
lasted,1
long,8
witnessed,1
wild,1
us,7
lowed,1
benchmark,16
basis,91
package,7
however,8
narrowed,2
relieved,1
stimulation,1
lead,6
obviously,2
weakened,1
driver,4
recession,1
rolled,3
expanding,3
absorb,2
face,17
downturn,1
given,9
grim,1
situation,14
apart,2
see,3
slowing,1
though,2
mainly,57
expected,58
shortterm,20
fundamental,4
prospect,1
unchanged,5
investments,19
play,1
role,10
stabilization,1
g,82
centre,9
while,1
demand,20
affect,20
barrier,1
resulting,18
likely,6
structure,56
optimization,4
drive,1
form,24
considering,8
pork,1
relatively,11
analysisannual,31
hedge,5
macrocontrol,1
intensity,1
maintaining,13
throughout,5
pay,14
attention,7
medical,7
special,62
flexible,2
moderate,3
sufficient,14
cutting,1
liberalization,2
leading,24
lowering,3
alleviate,3
stabilize,1
resilient,1
deployment,3
obtain,8
final,20
battle,2
allocate,2
manufacturing,9
science,3
startup,1
secondly,4
launch,4
additional,23
purpose,36
controlling,15
externally,1
imported,1
thirdly,3
regain,1
competitive,4
put,6
forward,13
revenue,11
show,4
strive,4
based,130
sub,1
organizational,9
rely,2
stimulate,1
vitality,1
scientific,5
technological,3
concentrating,1
resolve,4
pushing,1
process,27
early,27
concept,7
idea,4
internetbased,2
databased,3
intelligent,29
customercentered,1
deep,3
offline,9
decisionmaking,10
aim,3
best,13
class,7
ecobank,1
over,25
enhancing,6
scenebased,17
vitalizing,1
specializing,1
redoubled,1
promotion,9
brand,19
comprising,5
subbrands,1
doubled,1
reaching,1
exerted,2
named,3
mall,4
covered,4
attracted,1
entity,132
join,3
succeeded,1
interface,3
encapsulation,1
category,16
user,7
authentication,2
payment,68
settlement,34
output,3
introduction,2
external,62
commerce,3
telecommunication,1
vigorously,9
sharing,12
branchbased,2
mart,2
warning,7
antifraud,2
attained,1
phased,1
enhance,19
remote,9
collaborative,1
constantly,4
enhancement,14
ai,3
generation,7
cloud,6
initial,39
stage,195
middleend,2
technical,5
supporting,15
capacity,9
bigger,1
multilevel,4
multidimensional,4
ecological,2
exemplary,1
bottleneck,1
creation,4
source,6
sophisticatedly,1
potential,21
reduce,12
items,2
noninterest,5
associate,42
venture,41
noncontrolling,20
except,63
component,17
volume,25
resulted,3
primarily,73
competition,2
pricing,21
proportion,23
table,45
present,29
incomeexpense,4
yieldcost,3
interestbearing,11
nonrestructuringrelated,5
restructuringrelated,3
balances,6
amounts,169
noninterestearning,2
liabilities,40
noninterestbearing,2
fair,250
amortised,2
receivable,12
borrowing,13
increasedecrease,7
allocated,10
advances,10
seven,8
residential,12
mortgage,19
partially,7
offset,11
discount,13
type,38
eight,8
lower,15
mandatory,13
institutions,19
amount,295
cooperative,4
issuance,42
interbank,16
certificate,16
consultancy,5
advisory,16
syndicated,6
instalment,2
electronic,15
ecommerce,1
commitment,81
fiduciary,5
gain,62
guaranteed,23
designated,34
premium,21
composition,24
derecognition,23
measured,98
amortized,69
depreciation,24
amortisation,1
rightofuse,19
benefit,71
claim,22
contract,113
amortization,14
surcharge,6
statutory,13
this,9
exempted,2
assessed,18
determined,39
segment,44
presented,14
manner,12
manage,11
geographical,8
