token,frequency
a joint stock,5
company,11
limited liability,4
the predecessor,1
a stateowned specialized bank,1
commercial bank,2
a statecontrolled commercial bank,1
liability,18
the major integrated financial service,1
an international firstclass,5
commercial banking,13
group,12
efficient,1
convenient,1
valuecreation,1
capability,11
comprehensive business,1
portfolio,15
extensive distribution,1
network,7
a diverse portfolio,1
retail banking,5
a broad range,3
treasury,27
asset,34
management,408
business,224
scope,7
investment,91
banking,64
fund,23
financial leasing,3
life,6
insurance,56
the end,211
capital,76
adequacy,19
ratio,42
a net profit,14
a total,12
domestic branch,2
tier0,10
foundationlevel branch,2
overseas branch,1
overseas representative,2
the list,4
list,4
tier,1
issuer,3
credit,171
the longshortterm issuer,1
default,8
information,52
this annual report,4
the context,3
unit,5
measure,2
the change,5
an interest,2
rate,198
exchange,32
the accounting,13
countylevel,3
such business,1
an internal division,1
mechanism,37
specialized operation,1
restructuring,1
independence,4
governance,12
operational decision,1
financial accounting,1
incentive,6
constraint,4
a certain extent,1
the countylevel,1
the districtlevel,1
administration,3
an approach,2
the weighted average term,1
cash,53
debt,67
the sensitivity,5
the value,4
interest,127
the purpose,12
internal assessment,1
the management,22
the financial market,1
the nominal value,2
name,15
representative,5
irabchinacom,2
office,30
address,1
code,19
customer,34
service,46
website,1
place,4
disclosure,11
wwwabchinacom,1
the annual report,6
platform,20
preference,74
stock,9
domestic auditor,1
international auditor,2
accordance,88
fee,13
commission,47
income,178
net profit,10
return,7
loan,43
the reporting,152
period,182
resale,14
repurchase,25
equity,47
capital0,1
the year,258
net,24
operating,62
total profit,2
tax,96
profit,126
weighted average net assets0 net interest,1
margin0,1
net interest,31
spread0,1
riskweighted assets0 net fee,1
ratio0,5
share,39
share0,1
share0 net cash,1
total equity,5
ordinary share0,1
the capital,19
the beginning,5
the period,26
the difference,11
the average yield,7
the average cost,5
the domestic financial report,1
the balance,50
the allowance,10
ordinary equity,14
the parent,1
deduction,3
other equity,1
the total number,7
single customer0,1
percentage,86
the top ten,3
customers0,2
migration,1
mention,3
single customer,1
net capital,5
net cash,1
quarter,1
third quarter,1
fourth quarter,1
excellent institution,1
the global economy,2
performance,30
economy,8
resilience,2
principle,6
progress,19
stability,7
the guidance,4
ability,15
the real economy,17
effort,9
prevention,16
control,50
strengthen management,4
primary operating,1
an increase,108
the previous year,154
the leading position,2
nonperforming,1
point,10
support,13
chinese society,1
the hard work,1
behalf,22
cordial gratitude,1
sector,20
complicated external environment,1
a phase,2
rapid growth,7
a stage,3
highquality,10
development,52
an imperative,1
transformation,25
the banking,15
pressure,1
maintain,1
a disruptive effect,1
the traditional banking,1
industry,30
a new phase,1
revolution,1
abiding,1
a new vision,2
the requirement,5
focus,2
facilitate,3
a fundamental responsibility,1
an essential solution,1
the ultimate mission,1
supplyside structural reform,2
overcapacity,7
zombie,1
respect,36
resolution,1
significant effort,2
the strategic development,3
the coordinated development,4
rural revitalization,2
food,2
security,14
strategy,18
the rural industry,1
integration,2
plan,42
reform,15
the rural collective property,1
system,103
innovation,15
poverty,24
alleviation,52
pollution,3
green credit,11
a view,1
bank,20
green finance,3
the momentum,2
the allround,1
openingup,1
the domestic economy,1
the layout,2
the effective control,1
forestalling,1
the philosophy,2
the occurrence,4
appropriate disposing,1
non,2
stringent lending,1
conduct,5
risk,433
real estate,10
