token,frequency
build,13
beautiful,5
add,77
no,39
jianguomen,5
nei,5
httpwwwabchinacom,2
report,247
a,157
joint,58
stock,20
company,110
incorporated,13
limited,97
liability,391
n,399
u,120
l,98
r,184
e,400
p,123
o,12
t,6
profile,8
the,1028
predecessor,7
wa,407
established,63
since,56
resumption,12
establishment,24
february,14
bank,349
ha,154
evolved,1
stateowned,26
specialized,7
wholly,5
commercial,66
subsequently,13
statecontrolled,1
restructured,1
january,65
in,263
july,31
listed,30
as,146
one,44
major,72
integrated,33
financial,1445
service,310
provider,1
committed,6
building,26
international,22
firstclass,3
banking,209
group,156
featured,6
operation,134
efficient,6
convenient,8
diversified,5
function,20
demonstrated,3
valuecreation,1
capability,43
capitalizing,1
comprehensive,158
business,381
portfolio,31
extensive,1
distribution,92
network,19
advanced,19
it,63
platform,60
provides,11
diverse,1
corporate,158
retail,50
product,167
broad,4
range,18
customer,395
conduct,12
treasury,22
asset,802
management,819
our,65
scope,24
also,69
includes,36
among,49
thing,8
investment,355
fund,114
leasing,33
life,47
insurance,146
at,114
end,195
total,209
rmb,395
million,618
loan,521
advance,172
deposit,139
capital,225
adequacy,21
ratio,108
achieved,22
net,249
profit,222
domestic,57
branch,108
outlet,44
including,169
department,82
head,21
office,120
three,42
institution,218
managed,33
four,13
training,38
institute,9
tier,43
subbranches,7
foundationlevel,28
overseas,67
consisted,4
representative,24
we,489
subsidiary,97
five,32
stability,17
board,8
included,76
list,10
banks,37
seven,11
consecutive,6
year,587
ranked,5
world,7
term,99
date,110
affirmed,3
longshortterm,3
issuer,10
credit,375
rating,27
aa,1
stable,71
outlook,3
default,45
af,1
chairmans,3
statement,195
presidents,3
prospects,3
pandemic,87
prevention,73
control,227
analysis,118
review,47
county,55
area,124
risk,806
social,35
responsibility,38
governance,111
shareholding,28
structure,60
directors,162
supervisors,80
senior,120
related,206
party,85
transactions,27
intragroup,13
incentive,16
constraint,8
mechanism,62
internal,132
audit,126
external,78
communication,24
stakeholders,6
other,183
information,202
chart,5
appendix,8
i,106
liquidity,80
coverage,29
ii,114
leverage,6
iii,74
funding,40
iv,31
assessing,15
global,14
systematic,3
importance,9
supplementary,8
unless,176
context,5
otherwise,179
requires,11
following,53
shall,65
meaning,3
set,46
groupwe,1
agricultural,49
gaap,5
cbirc,13
division,18
amended,7
pursuant,21
issued,210
regulatory,81
commission,70
september,24
ordinary,94
share,333
domestically,2
subscribed,2
traded,14
promulgated,3
rule,45
regulation,75
former,13
andor,4
countylevel,8
region,39
excluding,23
districtlevel,1
city,13
administration,5
provide,44
located,4
refer,71
adopted,32
provided,39
required,50
restructuring,9
focus,9
independence,12
aspect,7
operational,43
decision,31
making,13
accounting,106
well,85
certain,37
extent,28
securities,48
systemically,4
important,13
recognized,132
key,79
player,2
market,148
feature,13
announced,1
h,57
dollars,1
nominal,6
value,384
denominated,18
rules,4
governing,2
listing,17
mof,23
pboc,7
ltd,63
agriculture,7
rural,75
people,17
definitions,1
basic,56
legal,51
name,15
abbreviation,1
中國農業銀行股份有限公司,1
中國農業銀行,1
han,19
secretary,42
prc,90
irabchinacom,2
registered,37
address,19
code,18
hotline,2
compliant,4
internet,23
website,19
wwwabchinacom,1
principal,53
place,11
f,74
tower,5
connaught,5
road,12
central,72
selected,8
medium,8
disclosure,43
journal,2
times,5
publishing,2
annual,72
shares,34
wwwssecomcn,3
wwwhkexnewshk,3
location,2
copy,5
kept,4
exchange,110
registrar,5
農業銀行,1
depository,9
clearing,21
corporation,17
shops,1
th,12
indicators,9
trading,83
preference,127
advisor,4
law,59
農行優,12
king,1
fangda,1
square,1
auditor,33
undersigned,1
accountant,6
llp,5
pricewaterhousecoopers,8
center,23
princes,1
highlights,1
data,73
indicator,36
recorded,36
prepared,12
accordance,104
reporting,177
standards,17
stated,178
interest,367
margin,18
costtoincome,7
nonperforming,40
allowance,128
resale,41
agreement,92
period,220
bill,19
others,81
impairment,133
loss,383
loans,49
cash,175
balance,161
deposits,24
placement,34
held,175
sold,29
