token,frequency
securities,18
dc,1
form,55
k,77
annual,12
report,67
pursuant,16
to,11
section,19
or,3
of,17
exchange,73
act,21
transition,7
for,64
fiscal,9
year,154
ended,84
december,222
period,89
file,52
number,51
name,8
registrant,29
specified,6
charter,3
principal,16
executive,17
office,16
including,166
zip,1
code,5
registrants,4
telephone,2
area,18
state,20
jurisdiction,24
incorporation,8
organization,7
class,103
a,61
par,6
value,158
registered,14
b,48
googl,1
c,18
llc,2
g,3
check,8
mark,9
wellknown,1
seasoned,1
issuer,10
defined,6
rule,11
yes,4
no,43
indicate,10
required,31
whether,26
ha,49
filed,17
preceding,2
month,13
shorter,3
wa,91
subject,55
filing,3
requirement,13
past,11
day,5
submitted,3
electronically,1
every,7
interactive,3
data,86
regulation,33
st,1
chapter,1
submit,2
large,6
accelerated,6
filer,9
nonaccelerated,2
smaller,3
reporting,40
company,84
emerging,9
growth,59
see,17
definition,2
if,22
elected,7
use,60
extended,2
complying,2
new,68
revised,2
financial,199
accounting,42
standard,9
provided,18
attestation,1
management,45
assessment,36
effectiveness,24
internal,29
control,58
uscb,1
public,17
firm,10
prepared,2
issued,24
audit,34
shell,1
as,110
june,15
aggregate,9
market,99
share,123
held,11
nonaffiliates,3
based,68
upon,14
closing,4
sale,53
price,47
approximately,21
billion,146
purpose,17
calculating,1
assumed,3
outstanding,29
except,21
officer,25
director,29
greater,7
stockholder,40
in,91
case,15
deemed,4
affiliate,7
unless,4
fact,5
circumstance,9
would,20
exercise,3
hold,5
common,48
stock,151
these,35
assumption,11
constitute,1
admission,1
person,3
may,245
information,92
concerning,2
shareholding,1
included,77
incorporated,19
reference,20
january,9
capital,79
by,5
portions,1
herein,14
extent,10
stated,9
such,7
proxy,9
statement,64
within,25
table,75
staff,3
comments,2
properties,2
legal,33
proceedings,2
mine,2
safety,7
disclosures,4
part,14
i,3
item,45
ii,4
iii,3
iv,2
signatures,1
selected,3
managements,5
discussion,8
analysis,10
condition,63
results,7
operations,6
quantitative,5
qualitative,4
about,3
supplementary,4
changes,7
disagreements,1
with,5
procedures,4
compensation,53
security,185
ownership,6
certain,133
beneficial,5
owners,1
related,101
matters,4
relationships,2
transactions,2
independence,4
accountant,1
summary,5
page,5
note,43
forwardlooking,9
statements,29
this,19
contains,2
meaning,1
include,48
among,21
thing,7
regarding,23
ongoing,29
effect,84
novel,1
coronavirus,1
pandemic,17
covid,5
macroeconomic,9
business,190
operation,69
result,210
governmental,8
lockdown,2
restriction,11
process,9
revenue,292
expectation,21
factor,39
influence,7
success,12
trend,20
size,6
timing,13
expected,25
return,31
continuing,10
investment,135
segment,17
potential,20
decline,20
rate,125
operating,143
margin,21
shift,11
offline,5
online,24
world,27
continue,75
benefit,34
portion,21
derive,3
nonadvertising,9
increase,97
affect,53
traffic,8
acquisition,39
cost,142
associated,24
fluctuate,12
could,171
overall,9
monetization,6
fluctuation,29
well,56
change,178
paid,38
click,26
costperclick,12
impression,10
costperimpression,6
various,25
contributing,3
periodically,5
review,15
refine,3
update,4
methodology,4
monitoring,6
gathering,2
counting,2
affected,43
performance,46
international,21
user,97
developing,8
economy,8
increasingly,10
come,5
foreign,111
risk,63
program,25
fully,4
offset,31
net,197
exposure,18
currency,97
variability,4
gain,81
loss,194
hedging,35
activity,62
amount,105
recognition,6
customer,76
contract,62
commitment,16
obligation,32
estimate,40
remaining,14
expect,26
recognize,20
expenditure,14
plan,18
invest,25
product,188
service,201
technology,77
system,34
land,10
building,26
center,29
infrastructure,20
pace,7
hiring,3
provide,36
competitive,16
research,16
development,42
rd,9
expense,167
marketing,19
general,25
administrative,13
andor,21
percentage,42
future,71
income,186
largely,11
driven,31
dynamic,4
effective,28
tax,184
seasonal,4
internet,28
usage,12
advertiser,58
underlying,6
traditional,7
retail,4
seasonality,10
volatility,20
arising,7
likely,18
cause,15
quarterly,9
sufficiency,2
source,9
funding,2
connection,7
pending,3
investigation,14
proceeding,9
contingency,4
proposed,4
remedy,1
response,14
decision,26
ec,10
regulator,5
entity,20
design,11
implementation,8
global,24
enterprise,6
resource,22
planning,4
repurchase,21
longterm,29
sustainability,9
diversity,5
goal,9
estimated,27
useful,24
life,27
server,11
network,13
equipment,40
favorable,4
prospect,2
strategy,12
appear,4
throughout,6
document,17
sec,5
without,9
limitation,9
following,54
factors,3
generally,34
identified,3
word,4
anticipates,1
belief,1
expects,1
intends,1
predicts,1
project,14
similar,21
expression,1
current,89
uncertainty,15
actual,8
differ,8
materially,10
reflected,13
contribute,2
difference,8
limited,9
discussed,7
particular,11
we,289
undertake,1
revise,1
publicly,7
release,4
revision,1
law,72
given,6
reader,1
cautioned,1
place,5
undue,1
reliance,1
used,44
u,92
term,38
subsidiary,12
context,1
indicates,3
otherwise,13
trademark,12
appearing,2
property,104
additional,18
trade,15
intend,3
display,7
imply,1
endorsement,1
sponsorship,1
relationship,14
overview,1
founder,3
wrote,1
original,5
letter,4
conventional,1
become,8
one,16
that,1
unconventional,1
spirit,1
driving,4
force,2
history,6
inspiring,1
tackle,2
big,2
problem,6
moonshots,1
like,13
artificial,2
intelligence,3
ai,6
quantum,2
computing,3
work,17
leadership,1
served,4
since,15
collection,3
largest,6
google,27
two,5
cloud,18
collectively,4
other,120
bets,22
our,143
earlier,2
stage,8
afield,2
core,5
take,7
long,10
view,8
manage,7
portfolio,8
discipline,1
rigor,1
needed,1
deliver,9
alphabet,32
structure,10
helping,3
prosper,1
strong,4
leader,2
everyone,5
the,232
powerful,2
equalizer,1
capable,1
propelling,1
idea,2
people,23
forward,18
mission,2
organize,1
make,31
universally,1
accessible,2
relevant,15
today,2
founded,2
weve,4
evolved,1
help,21
find,6
answer,2
get,6
done,4
focused,5
even,2
helpful,7
aspire,1
give,5
tool,14
need,13
knowledge,2
health,10
happiness,1
across,18
continually,3
innovating,2
impact,41
trillion,1
search,34
deeply,1
ensure,3
experience,21
possible,19
entertainment,4
opportunity,10
learn,1
something,1
and,15
offer,11
best,5
way,11
seamlessly,1
different,18
device,41
providing,6
intelligent,1
matter,51
began,4
team,5
built,5
feature,7
go,3
daily,3
support,19
working,6
serve,6
uncertain,7
time,74
conjunction,3
launched,2
apps,14
local,7
government,30
globally,5
community,4
mobility,1
reports,6
agency,11
researcher,2
around,21
globe,3
committed,5
hundred,1
million,132
dollar,26
small,5
combination,14
loan,1
grant,2
ad,59
credit,58
importantly,1
made,19
authoritative,1
content,83
key,10
focus,7
youtube,24
trusted,1
also,77
pursuing,2
initiative,7
instance,9
effort,18
waymo,2
toward,2
making,12
transportation,5
safer,2
easier,3
platform,36
improve,9
outcome,12
comfortable,1
always,4
incremental,3
incrementalism,1
lead,9
irrelevance,1
especially,4
tends,1
revolutionary,1
evolutionary,1
thought,1
crazy,1
acquired,17
matured,1
major,5
digital,25
video,9
mobile,14
popular,2
browser,5
look,3
said,2
shy,1
away,2
highrisk,1
highreward,1
believe,24
power,13
machine,9
learning,8
many,22
latest,3
innovation,7
decade,3
enabled,1
build,6
smarter,2
example,17
huge,1
breakthrough,2
natural,11
language,5
understanding,5
called,1
improves,1
almost,1
english,1
query,11
significant,80
solving,1
yearold,1
protein,1
folding,1
challenge,15
better,7
understand,2
fundamental,1
block,5
enable,3
difficult,4
fighting,1
disease,1
environmental,4
comprises,1
widely,3
brand,22
recognized,44
broad,3
growing,4
adoption,10
ago,1
ten,1
blue,1
link,2
early,4
direct,5
question,1
using,38
computer,4
voice,1
quicker,1
youre,1
looking,2
drive,1
led,3
discovery,1
creation,1
web,11
migration,2
consuming,3
watching,1
playing,1
game,2
listening,2
music,1
reading,1
book,1
ever,1
creator,1
partner,31
great,5
fueling,1
hardware,31
thats,3
family,2
tremendous,1
combining,1
software,11
generation,2
pixel,1
