token,frequency
a,31
n,3
u,71
l,7
r,7
e,1
p,3
o,3
t,2
to,17
shareowner,2
the,198
satisfaction,2
index,9
recently,9
announced,12
result,135
annual,8
survey,4
th,5
year,131
row,3
customer,160
ranked,3
amazon,5
ha,42
similar,28
put,1
for,31
time,40
wa,83
also,66
named,2
business,103
companies,1
list,1
rank,2
sought,2
place,2
work,22
professional,5
and,16
week,6
ago,1
released,2
reputation,7
quotient,1
consumer,40
broad,8
range,9
topic,1
workplace,1
environment,4
social,4
responsibility,6
product,155
service,185
rd,1
thank,3
amazonians,3
come,7
every,10
day,22
unrelenting,1
obsession,2
ingenuity,2
commitment,22
operational,3
excellence,2
behalf,5
everywhere,2
i,27
want,4
extend,5
huge,2
its,8
incredibly,2
energizing,1
see,27
response,4
one,28
thing,16
love,2
divinely,2
discontent,2
their,1
expectation,16
never,4
static,1
go,2
human,5
nature,7
we,316
didnt,3
ascend,1
huntergatherer,1
satisfied,1
voracious,1
appetite,1
better,12
way,16
yesterday,1
wow,1
quickly,7
becomes,4
today,3
ordinary,6
cycle,6
improvement,10
happening,2
faster,3
rate,99
ever,6
it,8
may,182
easy,5
access,13
information,70
second,11
couple,2
tap,1
phone,1
read,3
review,11
compare,2
price,74
multiple,7
retailer,6
whether,28
somethings,1
stock,76
find,3
fast,5
ship,2
available,37
pickup,2
these,32
example,11
retail,17
sense,2
empowerment,1
phenomenon,1
broadly,1
across,16
everything,2
industry,6
well,44
you,4
rest,2
laurel,1
world,15
customers,2
wont,1
stay,1
ahead,2
everrising,1
theres,1
single,6
combination,6
many,28
but,4
high,42
standard,49
widely,2
deployed,1
level,19
detail,5
certainly,3
big,4
part,21
success,10
quest,1
meet,11
billion,137
dollar,14
worth,2
failure,7
along,5
with,3
experience,28
backdrop,1
id,1
like,10
share,53
essential,3
weve,7
learned,2
far,2
inside,2
organization,3
teachable,4
first,22
foundational,1
question,2
intrinsic,1
if,36
take,18
basketball,1
team,9
teach,5
cant,4
taller,1
do,3
foremost,1
need,16
select,4
people,8
letter,8
would,25
mostly,1
hiring,4
practice,15
dont,2
think,5
believe,32
in,137
fact,5
pretty,2
good,12
learning,11
simply,3
exposure,5
contagious,1
bring,2
new,61
person,4
onto,1
theyll,1
adapt,1
opposite,1
true,1
low,5
prevail,1
spread,1
though,2
accelerate,3
articulating,1
core,2
principle,14
hope,3
another,6
important,8
universal,1
domain,10
specific,6
word,4
area,10
automatically,1
elsewhere,6
learn,5
separately,3
arena,2
interest,68
when,6
started,2
inventing,1
care,1
thankfully,1
process,21
keep,5
fixed,23
problem,3
eliminate,2
defect,2
root,1
inspect,1
much,10
develop,9
colleague,2
tutor,1
understanding,5
point,8
humble,1
consider,11
general,22
still,4
debilitating,1
blind,1
spot,1
there,13
whole,12
endeavor,3
even,7
know,6
nonexistent,1
class,5
critical,7
open,6
likelihood,6
recognition,13
scope,9
what,2
achieve,4
particular,6
able,21
recognize,15
look,3
must,6
realistic,5
hard,8
let,2
give,2
two,17
sort,1
toy,3
illustration,1
make,31
clearly,1
real,6
handstands,1
close,1
friend,1
decided,2
perfect,2
freestanding,1
handstand,8
no,12
leaning,1
wall,2
not,6
instagram,1
she,2
start,1
journey,1
taking,3
workshop,1
yoga,1
studio,2
practiced,1
wasnt,1
getting,1
wanted,3
so,2
hired,1
coach,5
yes,5
youre,5
thinking,2
evidently,1
actual,15
exists,3
lesson,2
gave,1
wonderful,1
advice,1
most,1
said,2
master,1
reality,2
six,3
