token,frequency
thing,1
weve,2
crisis,2
this responsibility,1
the work,2
this difficult time,1
the clock,1
the demand,1
a predictable holiday,1
surge,1
this spike,1
delivery,4
network,4
the stocking,1
essential household,1
fresh food,1
the virus,3
the first hour,1
shopping,2
each day,1
the opportunity,1
the safety,1
the worldwe,1
heroic,1
work,3
health,4
significant process,1
place,1
face,1
implemented temperature,1
the world,4
support staff,1
hand,1
sanitizer,1
extensive social distancing,1
information,3
new distancing,1
every new employee,1
safety,1
training,4
spot,1
hiring,3
next step,1
regular testing,1
a global scale,1
the economy,2
a society,1
testing capacity,1
every person,1
a huge difference,1
this virus,1
everyone,1
negative,1
confidence,1
incremental testing,1
capacity,3
team,3
research,2
program,4
software,1
normal day,1
a dedicated team,1
this initiative,1
the equipment,1
first lab,1
hope,1
frontline,1
the relevant timeframe,1
worth,1
share,3
anything,1
minimum,1
wage,1
the end,2
hour,4
regular rate,1
any overtime workeda minimum,1
an houran increase,1
time,3
these wage,1
the right thing,1
fundingto support,1
independent delivery,1
service,4
financial distress,1
fulfillment,3
this week,1
customer,6
demand,2
former employer,1
job,1
a mechanic,1
airport,1
an opening,1
a friend,1
analyst,1
preschool,1
teacher,1
school,1
new inventory,1
the classroom,1
the crisis,1
covidbased price,1
gouging,2
price,2
state,2
response,4
a special communication,1
channel,1
consumer,1
an important role,1
this crisis,1
the ability,1
access,4
powerwhether,1
vital healthcare,1
this situation,1
inperson,1
continuity,1
learning,2
a secure,1
platform,1
this pandemic,1
advanced cloud,1
technical expertise,1
the outbreak,2
contain,1
spread,1
cloud,2
epidemiological country,1
medical training,1
global healthcare,1
treat,1
lake,1
a centralized repository,1
curated information,1
the spread,1
associated illness,1
battle,1
the disease,1
a program,2
support,2
market,6
treatment,1
containment,1
this work,1
the cloud,3
this challenge,1
the program,1
the future,2
diagnostic research,1
future infectious disease,1
a conversational agent,1
atrisk,1
accurate,1
timely information,1
a request,1
a call,1
center,6
field,1
remote support,1
enable staff,1
public health,1
infrastructure,6
a project,1
hospital occupancy,1
emergency,1
room,1
patient wait,1
virtual care,1
networksis,1
video,1
spike,1
the state,1
