token,frequency
a look,1
the share,1
physical gross merchandise,1
independent thirdparty,1
first party,2
the total,1
butt,1
a high bar,1
firstparty,4
business,9
that period,2
this past year,1
the compound,1
annual growth,2
rate,4
that time,1
period,1
that same time,1
thirdparty,1
a compound,2
an external benchmark,1
gross merchandise,1
ebay,1
organization,1
answer,1
important part,1
the answer,1
selling,1
inventory,1
process,2
every year,1
great importance,1
membership,1
program,5
combination,1
the customer,1
experience,1
the success,1
today,3
the time,1
significant financial risk,1
much internal debate,1
over time,1
certainty,1
intuition,3
heart,2
optimism,1
curiosity,4
the power,1
life,1
a culture,2
theyre,1
the way,2
mentality,1
big hardtosolve,1
a humble conviction,1
success,2
iteration,2
invent,1
launch,1
reinvent,1
relaunch start,1
rinse repeat,1
the path,1
anything,1
youre,2
place,1
a plan,2
execute,1
contrast,1
wandering,1
hunch,1
gut,1
a deep conviction,1
the prize,1
worth,1
a little messy,1
way,3
an essential counterbalance,1
government,1
end,1
a lot,1
time,3
chief information,1
security,1
figure,1
speed,1
that kind,1
customer,2
obsession,1
behalf,3
own inner imagination,1
a whole,1
an example,1
one,2
the world,2
fact,1
an offering,1
a hunch,1
experimenting,1
iterating,1
countless,1
same pattern,1
example,1
scalable low latency,1
database,2
the listening,1
commercial database,1
punitive licensing,1
own database,1
engine,1
service,1
durability,1
availability,1
onetenth,1
the cost,2
the broad familiarity,1
this technology,1
the goto,1
the data,1
set,1
the acceptable query,1
data,1
apps,1
the need,1
processing,1
the ability,2
second,1
series,1
the right tool,1
the right job,1
money,1
product,2
market,1
a long time,1
early internal machine,1
experimentation,1
refinement,1
the heavy lifting,1
complexity,1
guesswork,1
each step,1
the machine,1
machine,3
learning,4
top,1
the service,2
new reinforcement,1
a steep learning,1
curve,1
many moving,1
reach,1
none,1
a willingness,1
customercentric wandering,1
annual run,1
a small player,1
a low singledigit percentage,1
the retail market,1
every country,1
brick,1
mortar,1
something,1
that environment,1
a clear vision,1
rid,1
thing,1
physical retail checkout,1
no one,1
line,1
a store,1
pick,1
smart,1
computer,3
invent new computer,1
vision,1
imagery,1
a way,1
the technology,1
the background,1
the reward,1
the response,1
the experience,1
shopping,1
the future failure,1
a company,2
everything,1
the size,3
a size,1
the right scale,1
size,1
course,1
this kind,1
largescale,1
risk,1
taking,1
part,1
a large company,1
the good news,1
bet,1
phone,2
the same time,1
a failure,1
building,1
the vision,1
the idea,1
the cloud,2
an essential part,1
a front row,1
seat,1
development,1
cloud,2
research,1
doesnt,1
help,1
a customer,1
a black alwayson,1
cylinder,1
kitchen,1
music,1
thank,1
that firstgeneration,1
last year,3
ability,1
the number,2
builtin,2
smart home,1
last thing,1
closing,1
the first shareholder,1
letter,2
focus,1
versatile,1
analysis,1
minimum,2
wage,2
all fulltime parttime,1
this wage,1
hike,1
the country,2
last holiday,1
the decision,1
the right thing,1
employee,1
the gauntlet,1
a kind,1
competition,1
everyone,1
the heart,1
the head,1
tuition,1
a certificate,1
diploma,1
study,1
advantage,2
the program,1
critical job,1
resume,1
continuation,1
range,1
innovative training,1
education,1
elementary high school,1
university,1
a particular focus,1
pledge,1
onthejob training,1
huge thank,1
support,1
hard work,1
a copy,1
take a look,1
represent the share,1
own first party,1
provide an external benchmark,1
organized firstparty,1
manage inventory,1
improved the customer,1
appreciate today just,1
create a culture,1
see the way,1
approach big hardtosolve,1
know the path,1
is anything,1
being a little messy,1
is an essential counterbalance,1
spend a lot,1
is an example,1
had a hunch,1
reworking experimenting,1
keyvalue database now,1
made this technology,1
suboptimal the data,1
driving the need,1
realtime processing,1
wandering experimentation,1
removes the heavy lifting,1
learning process,1
building machine,1
enhance the service,1
adding new reinforcement,1
has a steep learning,1
remains a small player,1
represent a low singledigit percentage,1
invent something,1
had a clear vision,1
imagined a store,1
dedicated computer,1
including the ability,1
been the response,1
described the experience,1
grows everything,1
including the size,1
growing youre not,1
is part,1
society the good news,1
winning bet,1
cover the cost,1
was a failure,1
was an essential part,1
doubled the number,1
retaining versatile,1
drove the decision,1
was time,1
throw the gauntlet back,1
benefit everyone,1
towards a certificate,1
taken advantage,1
take advantage,1
continuing support,1
attach a copy,1
business has,1
period is,1
that period have,1
great importance are,1
mentality helps,1
success is,1
youre going,1
business is not,1
worth being,1
time thinking,1
a whole is,1
one asked,1
one turns,1
the world was,1
a hunch followed,1
curiosity took,1
same pattern has,1
scalable low latency keyvalue,1
apps have,1
the machine learning,1
process democratizing,1
the service including,1
new reinforcement learning,1
learning has,1
today remains,1
no one likes,1
smart dedicated,1
the technology worked so,1
the reward has,1
the future failure needs,1
a company grows,1
taking is,1
phone was,1
learning was,1
customer was,1
focus is,1
hike benefitted,1
wage do,1
study leading,1
resume writing,1
cloud computing,1
