token,frequency
to,4
shareowner,1
one,2
thing,3
weve,6
learned,2
crisis,5
important,4
ha,8
become,2
customer,11
we,25
want,4
know,2
take,2
responsibility,1
seriously,1
proud,2
work,9
team,7
help,20
difficult,2
time,8
amazonians,4
working,4
around,6
clock,1
get,7
necessary,1
supply,2
delivered,1
directly,4
doorstep,1
people,7
need,10
the,7
demand,4
seeing,1
essential,4
product,5
remains,2
high,2
but,1
unlike,1
predictable,1
holiday,1
surge,1
spike,3
occurred,1
little,1
warning,1
creating,2
major,1
challenge,3
supplier,1
delivery,7
network,5
quickly,3
prioritized,1
stocking,1
household,1
staple,1
medical,4
critical,3
our,3
store,9
remained,1
open,1
providing,3
fresh,1
food,1
vital,2
good,3
taking,1
step,2
vulnerable,2
virus,4
setting,1
aside,1
first,5
hour,7
shopping,4
day,3
senior,2
temporarily,1
closed,3
star,1
dont,4
sell,1
offered,2
associate,5
opportunity,3
continue,4
part,2
service,7
focused,2
safety,2
employee,10
contractor,1
worldwe,1
deeply,1
grateful,2
heroic,1
committed,4
health,5
wellbeing,1
consulting,1
closely,1
expert,2
authority,1
made,2
significant,3
process,2
change,2
operation,2
stay,1
healthy,1
conduct,1
daily,1
audit,1
measure,4
put,1
place,2
distributed,1
face,2
mask,1
implemented,1
temperature,1
check,2
site,1
world,5
protect,3
support,8
staff,2
regularly,3
sanitize,1
door,1
handle,2
stairway,1
handrail,1
locker,1
elevator,1
button,1
touch,1
screen,1
disinfectant,1
wipe,1
hand,1
sanitizer,1
standard,1
across,6
also,10
introduced,1
extensive,2
social,2
distancing,3
eliminated,2
standup,1
meeting,1
shift,1
moved,1
information,5
sharing,1
bulletin,1
board,1
staggered,1
break,1
spread,3
chair,1
breakrooms,1
while,4
training,6
new,12
hire,2
challenging,2
requirement,1
ensure,3
every,3
six,1
shifted,1
protocol,1
gathering,1
spot,1
adjusted,1
hiring,1
allow,1
a,3
next,1
protecting,1
might,1
regular,3
testing,5
including,4
showing,2
symptom,2
global,3
scale,4
industry,1
would,3
keep,3
safe,1
economy,5
back,2
running,3
for,2
society,1
vastly,1
capacity,5
currently,2
available,3
if,1
person,2
could,3
tested,1
make,6
huge,1
difference,2
fight,1
those,2
test,2
positive,2
quarantined,1
cared,1
everyone,1
negative,1
reenter,1
confidence,1
begun,2
building,1
incremental,1
research,3
scientist,3
program,9
manager,1
procurement,1
specialist,1
software,1
engineersmoved,1
normal,2
job,13
onto,1
dedicated,1
initiative,2
assembling,1
equipment,2
build,3
lab,2
hope,1
start,2
small,2
number,2
frontline,1
soon,2
sure,1
far,2
relevant,1
timeframe,1
think,4
worth,1
trying,1
stand,2
ready,2
share,1
anything,1
learn,2
explore,2
longerterm,1
solution,2
helping,2
increased,1
minimum,7
wage,6
end,4
april,2
per,5
uk,2
many,4
country,4
and,6
paying,1
double,1
rate,3
overtime,1
workeda,1
houran,1
increase,2
half,2
these,3
cost,1
million,10
likely,1
recognize,1
expensive,1
believe,2
right,1
circumstance,2
established,2
initial,1
fundingto,1
independent,1
partner,1
driver,1
participant,1
temporary,1
financial,1
distress,1
in,8
march,1
opened,1
position,1
fulfillment,3
earlier,1
week,2
successfully,1
filling,1
role,2
announced,1
another,2
respond,1
depend,1
u,6
meet,3
suffered,1
financially,1
lost,1
furloughed,1
happy,2
return,2
either,2
former,2
employer,2
bring,2
welcomed,1
joined,3
losing,1
mechanic,1
airport,1
opening,1
friend,1
analyst,1
preschool,1
teacher,1
school,3
th,1
manage,1
inventory,1
were,2
darby,1
classroom,2
acting,1
aggressively,1
bad,2
actor,1
looking,3
exploit,1
removed,1
offer,1
due,2
covidbased,1
price,2
gouging,2
suspended,1
selling,2
account,1
globally,1
violating,1
fairpricing,1
policy,1
turned,1
seller,1
suspect,1
engaged,1
related,3
state,4
attorney,2
general,2
office,1
accelerate,3
response,8
pricegouging,1
incident,1
created,6
special,1
communication,1
channel,1
easily,1
escalate,1
consumer,1
complaint,1
web,1
services,1
playing,1
ability,2
organization,2
access,4
scalable,1
dependable,1
highly,1
secure,2
computing,4
powerwhether,1
healthcare,3
student,7
learning,4
unprecedented,1
online,6
productive,1
homeis,1
situation,1
pharmaceutical,1
company,8
using,2
care,2
patient,3
treatment,2
mitigate,1
impact,3
way,1
institution,1
transitioning,1
inperson,1
virtual,2
continuity,1
government,2
leveraging,3
platform,1
capability,1
effort,2
pandemic,3
collaborating,1
supplying,1
advanced,1
cloud,8
technology,4
technical,1
expertise,1
track,1
understand,1
outbreak,3
better,3
contain,1
who,1
largescale,1
data,11
lake,2
aggregate,1
epidemiological,1
rapidly,2
translate,1
video,2
different,1
language,1
worker,4
treat,1
separately,1
making,4
public,3
covid,4
centralized,1
repository,1
uptodate,1
curated,1
characteristic,1
associated,1
illness,1
analyze,1
latest,1
battle,1
disease,2
launched,1
development,1
accurate,2
diagnostic,2
market,1
diagnostics,1
containment,1
harness,1
tackle,1
wa,1
toward,2
future,3
fund,4
project,4
potential,1
blunt,1
infectious,1
customers,3
leveraged,1
rapid,1
coalition,1
develop,1
conversational,1
agent,1
enable,3
atrisk,1
elderly,2
yorkers,1
receive,3
timely,1
request,1
transition,2
remote,2
helped,1
establish,1
call,2
center,9
field,3
it,1
question,2
provide,3
answer,1
thousand,3
practitioner,1
clinician,1
gather,1
inform,1
aws,2
provides,3
infrastructure,4
analyzes,1
hospital,1
occupancy,1
level,2
emergency,1
room,1
wait,1
decide,1
best,1
allocate,1
resource,1
otnone,1
largest,1
networksis,1
scaling,1
accommodate,1
citizen,1
continues,2
guarantee,1
class,3
following,1
guidance,3
built,1
experience,1
let,4
risk,1
home,2
ask,1
i,9
alexa,1
coronavirus,1
asks,1
series,1
possible,1
exposure,1
based,2
similar,1
welfare,1
easy,1
use,3
donate,1
charity,1
front,1
line,2
user,1
option,1
say,1
donation,1
feeding,1
partnered,1
catering,1
business,2
distribute,1
meal,1
medically,1
resident,1
donated,1
laptop,1
gain,1
device,1
conducted,1
virtually,1
although,1
incredibly,1
reminder,1
big,2
life,2
count,2
fortunate,1
able,1
with,1
innovate,1
organizing,1
force,1
progress,2
last,4
year,9
cofounded,1
pledge,5
christiana,1
climate,1
chief,2
founder,1
became,1
signatory,2
commits,1
goal,3
earlyand,1
net,3
zero,4
carbon,12
achieving,1
move,3
aroundwe,1
physical,1
deliver,2
billion,2
item,2
worldwide,2
ten,1
early,2
canand,1
together,1
reality,1
recruiting,1
sign,1
signatories,1
agree,1
report,1
greenhouse,1
gas,1
emission,3
implement,1
decarbonization,1
strategy,1
achieve,2
annual,1
well,1
announcing,1
plan,3
purchasing,1
electric,3
van,3
michiganbased,1
producer,1
vehicle,2
aim,1
rivians,1
road,3
thats,3
environment,1
promise,1
even,3
greater,2
this,1
type,1
investment,4
sends,1
signal,1
marketplace,1
inventing,1
developing,2
large,2
lowcarbon,1
reaching,1
renewable,4
energy,7
actually,1
pushing,1
credible,1
pull,1
solar,1
wind,1
generate,3
mw,1
mwh,1
annuallyenough,1
power,1
tremendous,1
cutting,1
packaging,4
waste,1
more,2
decade,2
ago,1
encourage,1
manufacturer,1
package,1
easytoopen,1
recyclable,1
ship,1
without,1
additional,1
shipping,2
box,2
since,4
saved,1
ton,1
material,1
drive,1
footprint,3
despite,1
fact,3
already,1
inherently,2
efficient,5
going,4
sustainability,1
spent,1
three,2
model,2
tool,1
metric,1
their,1
detailed,1
analysis,1
found,3
consistently,1
generates,1
le,2
driving,2
single,1
trip,1
approximately,1
roundtrip,1
car,1
journey,1
average,1
developed,1
compare,1
intensity,1
ordering,1
whole,2
foods,2
grocery,2
versus,1
nearest,1
study,3
averaged,1
basket,2
size,2
lower,2
compared,1
saving,1
traditional,3
inhouse,1
primarily,1
two,1
thingshigher,1
utilization,3
server,3
facility,2
singlecompany,1
operate,1
roughly,1
they,1
excess,1
