token,frequency
table,29
the fiscal year,116
the transition,6
period,22
name,3
registrant,1
chartercommissionfile,1
par,4
value,37
share,41
check,8
mark,8
the registrant,10
a wellknown seasoned issuer,1
oindicate,3
pursuant,15
section,9
such filing,1
no oindicate,2
this chapter,2
disclosure,13
herein,5
definitive proxy,1
information,35
reference,70
any amendment,1
filer,6
a nonaccelerated filer,1
reporting,13
company,13
growthcompany,1
growth,28
þ,1
o,1
the extended transition,1
a shell,1
aggregate,1
market,39
stock,55
the closing,2
price,42
such stock,1
number,3
common stock,68
the following document,1
this report,9
annual meeting,2
refer,1
corporationamerisourcebergen,1
global pharmaceutical sourcing,3
distribution,36
patient access,3
patient care,2
the effectiveness,9
efficiency,8
the pharmaceutical supply,10
chain,13
animal health,9
acomprehensive offering,1
brandname,11
specialty,16
home,4
healthcare,37
suppliesand,1
equipment,20
a wide variety,4
acute care,5
health,21
order,11
care,17
site,4
dialysis,5
an assortment,1
research,9
pharmaceutical consulting,1
niche,1
premium,9
inventory,12
management,34
pharmacy,10
automation,2
solutionsindustry,1
an independent thirdparty,1
provider,13
the pharmaceuticaland,1
industry,13
a compound,1
annual growth,1
rate,53
the growth,4
isdependent,1
part,30
pharmaceutical manufacturer,1
increasesin,1
addition,31
the pharmaceutical industry,4
the number,10
age,1
rapidlygrowing segment,1
the population,4
this age,1
group,13
the rest,1
asubstantial portion,1
total healthcare,1
development,5
the advent,1
new research,1
production,25
biotechnology,7
gene,1
therapy,3
delivery,8
other specialty,5
the continued growth,2
emphasis,2
other thirdparty,1
utilization,3
growthwe,1
the increase,18
generic usage,1
a favorable trend,1
gross profit,20
marginopportunity,1
revenue,51
approximately0,2
the prescription,1
volume,2
response,8
cost,22
containment,1
the use,5
efficient drug,1
national attention,1
the overall increase,1
drug,20
a beneficial impact,1
prolonged hospital,1
overall healthcare,1
anddevelopment,1
introduction,1
costeffective drug,1
the federal government,1
major health,1
reform,5
legislation,7
access,8
a portion,8
prescription,10
the health,1
reformlaw,1
reimbursement,21
the healthcare,5
enforcement authority,1
fraud,13
abuse,6
pharmaceuticaland,2
medical device,1
the healthreform legislation,1
page,10
certain risk,2
business,84
diverse network,1
ofdistribution,2
service,18
pharmaceutical distribution,11
typicallythe primary supplier,1
a broad range,4
the efficiency,2
effectiveness,6
the delivery,4
channelstrategyour,1
strategy,3
the global pharmaceutical supply,1
channel,9
valueadded distribution,1
