token,frequency
dc,1
form,35
k,29
annual,39
report,52
pursuant,29
to,11
section,50
or,2
of,21
exchange,24
act,48
transition,15
for,28
the,452
year,359
ended,238
september,372
period,93
from,6
commission,7
file,12
number,50
corporation,64
exact,1
name,14
registrant,36
specified,10
charter,1
jurisdiction,17
incorporation,32
organization,10
principal,20
executive,41
office,14
telephone,2
including,152
area,3
code,1
securities,19
registered,16
b,44
class,9
stock,202
trading,8
nyse,1
indicate,8
check,7
mark,9
wellknown,1
seasoned,1
issuer,3
defined,16
rule,18
yes,5
þ,6
no,16
required,54
whether,37
ha,101
filed,82
preceding,3
month,8
shorter,2
wa,139
subject,60
filing,4
requirement,58
past,8
day,12
submitted,8
electronically,3
every,3
interactive,2
data,37
regulation,75
st,1
chapter,1
submit,2
large,6
accelerated,9
filer,8
nonaccelerated,2
smaller,2
reporting,108
company,139
emerging,3
growth,43
see,35
definition,1
if,44
elected,10
use,24
extended,9
complying,4
new,32
revised,1
financial,257
accounting,48
standard,19
provided,24
shell,1
aggregate,10
market,84
value,153
voting,11
held,17
nonaffiliates,1
based,87
upon,88
closing,3
price,59
march,25
share,132
common,94
outstanding,45
october,45
portions,1
following,41
document,7
incorporated,74
reference,79
indicated,19
statement,99
a,35
risk,43
factors,4
unresolved,2
staff,4
comments,1
properties,2
legal,51
proceedings,2
mine,2
safety,6
disclosures,4
information,82
officers,6
table,61
part,30
i,13
ii,17
iii,12
iv,7
selected,5
managements,5
discussion,22
analysis,14
condition,63
results,6
operations,21
quantitative,12
qualitative,12
about,2
supplementary,2
changes,7
disagreements,1
accountants,2
disclosure,32
controls,2
procedures,3
other,92
directors,8
corporate,8
governance,4
compensation,36
security,39
ownership,12
certain,62
beneficial,3
owners,1
management,64
related,145
stockholder,48
matters,6
relationships,2
transactions,2
director,84
independence,2
summary,17
signatures,1
page,9
contents,58
item,22
overview,1
include,45
as,61
used,35
herein,8
term,68
amerisourcebergen,26
u,72
refer,6
one,33
largest,23
global,48
pharmaceutical,171
sourcing,5
distribution,124
service,135
helping,4
healthcare,82
provider,58
biotech,4
manufacturer,68
improve,13
patient,19
access,15
product,127
enhance,9
care,23
we,165
deliver,6
innovative,4
program,72
designed,23
increase,77
effectiveness,20
efficiency,11
supply,35
chain,18
human,6
animal,19
health,41
more,1
specifically,5
distribute,9
comprehensive,21
offering,14
brandname,10
specialty,49
generic,46
overthecounter,5
home,4
equipment,22
outsourced,5
compounded,9
sterile,7
preparation,18
wide,4
variety,16
located,19
select,5
acute,7
hospital,18
system,47
independent,45
retail,21
pharmacy,48
mail,7
order,33
medical,12
clinic,10
longterm,29
alternate,9
site,4
physician,13
practice,26
dialysis,5
veterinarian,4
customer,157
additionally,13
furnish,2
assortment,1
analytics,5
outcome,25
research,10
reimbursement,24
consulting,16
niche,1
premium,12
logistics,12
inventory,25
automation,2
packaging,13
solution,11
sale,55
recently,6
estimated,38
thirdparty,16
industry,32
expected,30
grow,4
compound,5
rate,113
approximately,29
dependent,4
in,120
addition,32
general,23
economic,36
factor,34
impact,58
trend,13
aging,3
population,5
individual,7
age,4
exceed,9
million,492
rapidly,3
growing,1
segment,82
this,18
group,34
suffers,1
chronic,1
illness,1
disability,1
rest,1
account,61
substantial,14
portion,19
total,41
expenditure,16
development,10
well,31
advent,1
production,36
delivery,11
method,29
biotechnology,8
gene,1
therapy,7
continue,49
generate,1
effective,52
treating,1
disease,5
believe,27
ongoing,15
leading,10
contribute,3
continued,15
particular,8
drug,56
provide,48
opportunity,7
business,164
increased,51
patent,7
widely,3
expire,10
next,5
several,11
emphasis,2
managed,2
payors,3
utilization,4
consider,7
usage,1
favorable,10
historically,3
greater,10
gross,33
profit,45
margin,23
although,10
lower,22
reduce,15
revenue,74
currently,18
prescription,20
volume,3
therapies,1
response,11
rising,1
cost,140
governmental,16
private,7
adopted,14
containment,1
measure,12
encourage,1
efficient,2
prevent,11
treat,1
while,10
national,6
attention,2
focused,6
overall,14
reducing,3
expensive,1
surgery,2
prolonged,1
stay,1
pharmaceuticals,1
result,145
continuing,3
introduction,5
costeffective,1
us,11
existing,10
legislative,11
developments,1
federal,75
government,45
enacted,10
major,4
reform,9
legislation,14
expand,5
insurance,9
people,1
eligible,6
reimbursed,2
law,70
provides,29
sweeping,1
change,93
policy,34
expanded,3
regarding,27
arrangement,24
within,41
enhanced,1
enforcement,15
authority,29
fraud,14
abuse,16
tax,267
fee,22
device,1
these,23
potential,32
revision,1
repeal,7
may,235
affect,55
directly,6
andor,39
indirectly,4
detail,5
could,121
adversely,57
prospect,2
serve,4
geographically,1
diverse,2
network,5
center,15
operation,165
typically,5
primary,9
supplier,34
offer,11
broad,9
range,22
allow,5
channel,11
our,95
strategy,8
valueadded,6
commercialization,16
primarily,84
implementing,5
disciplined,1
seamless,1
unified,1
way,7
allowed,1
significantly,11
positioned,3
operating,140
income,168
execution,4
key,7
element,1
strategic,16
businesses,1
size,2
breadth,1
invest,3
capital,38
anchor,1
position,53
superior,1
added,2
competitiveness,1
thus,1
allowing,11
better,1
leader,1
community,6
oncologist,2
physicianadministered,1
plasma,4
blood,4
injectable,2
vaccine,9
support,21
many,10
coming,1
near,5
future,64
with,4
introduced,1
marketplace,2
label,3
source,13
globally,1
formulary,1
monitor,3
compliance,39
also,91
valuable,1
includes,27
international,15
presence,1
lead,10
relation,1
assist,4
services,36
assistance,3
rapid,1
launch,2
promotional,1
marketing,14
accelerate,1
logistical,1
enables,1
compete,3
effectively,2
benefit,90
merchandising,1
connects,1
payor,1
plan,41
throughout,5
country,14
purchasing,20
operational,9
institutional,11
lowest,1
structure,8
among,51
distributor,20
robust,3
facility,163
single,7
shipping,3
destination,1
seek,11
achieve,10
productivity,2
gain,34
implement,2
warehouse,5
technology,19
adopt,8
best,6
warehousing,3
activity,41
leverage,5
increasing,6
per,37
fullservice,2
help,3
commercialize,1
supporting,1
branded,2
contract,33
field,1
staffing,4
copay,1
adherence,1
mitigation,1
world,19
courier,18
transportation,6
biopharmaceutical,5
strengthens,3
established,16
platform,3
outside,5
mwi,19
sell,15
parasiticides,4
diagnostics,4
micro,4
feed,4
ingredient,4
various,46
companion,4
e,7
commerce,1
fulfillment,2
procurement,1
consultation,1
special,8
educational,1
seminar,1
closely,2
integrate,3
daytoday,1
meaningful,1
incentive,11
acquisitions,2
core,3
enter,2
acquired,31
invested,14
additional,69
acquisition,48
investment,58
divestitures,1
concentrate,1
focus,7
divested,1
noncore,1
time,81
divestiture,6
organized,3
comprised,11
reportable,33
significant,82
enough,3
require,24
separate,4
therefore,16
included,58
purpose,31
presentation,8
servicing,2
distributes,4
through,4
injectible,3
specialize,4
state,130
especially,6
oncology,7
software,8
delivers,4
consists,9
abcs,2
full,16
suite,3
integrated,5
clinical,4
trial,15
postapproval,4
operates,6
demandcreating,3
force,5
sales,3
majority,13
led,1
nationally,1
geographic,2
specialized,1
either,9
type,5
representative,7
centralized,1
respond,3
need,16
timely,6
manner,7
professional,1
team,1
close,3
coordination,1
local,18
ensure,6
receiving,4
meet,8
respective,9
enterprisewide,1
coordinate,1
branding,1
across,3
customers,1
base,9
regional,4
drugstore,3
department,5
supermarket,2
mass,2
merchandiser,2
beauty,1
aid,1
competitive,6
thereby,2
consumer,4
two,15
wba,4
express,7
scripts,2
inc,6
