token,frequency
limited,70
stock,29
code,55
ordinary,70
hshare,6
offshore,23
preference,117
report,124
the,1546
print,1
version,12
published,12
april,24
supersede,1
longest,1
continuous,8
operation,112
among,46
bank,372
wa,221
formally,1
established,55
february,22
following,66
approval,44
dr,2
sun,5
yatsen,1
from,66
served,70
consecutively,2
country,125
central,62
international,38
exchange,147
specialised,9
trade,23
fulfilling,2
commitment,75
serving,28
public,46
developing,9
financial,1379
service,322
sector,39
rose,4
leading,26
position,110
industry,47
developed,22
good,8
standing,6
community,2
despite,1
many,13
hardship,1
setback,1
after,6
drawing,3
long,10
history,4
statedesignated,1
foreign,145
became,9
responsible,36
managing,5
provided,57
vital,1
support,56
nation,2
development,192
economic,43
infrastructure,10
offering,12
settlement,20
overseas,89
fund,101
transfer,49
nontrade,1
during,43
reform,38
opening,25
period,123
seized,7
historic,2
opportunity,25
presented,25
government,58
strategy,101
capitalising,3
advanced,18
technology,38
boost,5
key,64
financing,51
channel,28
building,52
competitive,11
advantage,24
business,378
in,252
transformed,2
wholly,6
stateowned,19
commercial,65
august,45
incorporated,4
listed,54
june,43
july,27
respectively,43
becoming,7
first,86
launch,8
initial,39
achieve,8
dual,2
listing,15
market,249
having,3
olympic,17
games,15
official,8
banking,198
partner,5
winter,22
thus,78
making,19
serve,69
two,12
designated,47
sole,3
institution,227
emerging,14
economy,45
eight,1
consecutive,16
year,364
as,361
globalised,7
integrated,46
ha,149
wellestablished,1
global,56
network,20
set,58
across,15
mainland,95
well,60
region,99
it,282
platform,47
based,97
pillar,1
corporate,105
personal,81
cover,10
investment,364
direct,20
security,196
insurance,155
aircraft,32
leasing,15
area,60
providing,29
customer,368
comprehensive,159
range,16
addition,50
local,41
noteissuing,1
respective,7
upheld,1
spirit,6
pursuing,6
excellence,2
throughout,6
one,39
century,2
with,15
adoration,1
soul,1
integrity,1
backbone,1
innovation,67
path,1
forward,72
people,12
guiding,1
principle,28
built,11
excellent,10
brand,15
image,4
widely,3
recognised,117
within,52
face,8
great,15
achievement,4
large,8
follow,2
xi,10
jinping,4
thought,4
socialism,3
chinese,13
characteristics,3
new,103
era,17
persistently,6
enable,5
advancement,13
drive,8
deliver,10
performance,103
transformation,28
enhance,40
strength,16
effort,59
build,14
worldclass,14
make,28
greater,32
contribution,31
modernised,1
realise,5
national,14
rejuvenation,1
aspiration,1
live,1
better,9
life,50
goal,12
we,65
guidance,7
strategic,35
three,36
step,5
by,14
completes,1
moderately,2
prosperous,1
society,9
respect,22
strengthening,17
foundation,16
consolidating,3
featured,4
improving,34
management,635
system,141
mechanism,53
enhancing,25
