token,frequency
the print version,1
this version,1
continuous operation,1
the approval,9
the countrys central bank,1
international exchange,1
bank,50
international trade,5
commitment,5
the public,3
sector,11
position,20
the chinese financial industry,1
a good standing,1
the international financial community,1
long history,1
foreign exchange,38
trade,8
vital support,1
foreign trade,2
development,93
economic infrastructure,1
offering,6
settlement,19
fund,25
transfer,9
reform,25
period,78
the historic opportunity,1
strategy,49
economic development,2
the countrys,4
key foreign financing,1
channel,7
business,235
commercial bank,5
initial public offering,1
a dual listing,1
the official banking,3
partner,3
the only bank,1
the sole financial institution,1
economy,7
integrated bank,1
global service,5
network,15
the chinese mainland,68
an integrated service,1
platform,29
corporate banking,11
personal banking,18
other commercial banking,1
investment,92
banking,71
direct investment,4
insurance,70
asset,51
management,347
financial technology,2
a comprehensive range,1
addition,55
the spirit,1
excellence,1
history,3
one century,1
adoration,1
the nation,1
soul,1
integrity,1
backbone,2
innovation,33
path,2
forward,8
principle,2
an excellent brand,1
image,2
the industry,6
face,7
the period,10
a large stateowned commercial bank,1
the new development,6
concept,4
vitality,10
agile response,8
goal,3
building,23
a worldclass,15
the new era,15
contribution,10
a modernised economy,1
national rejuvenation,1
life,10
the guidance,4
enable advancement,3
technology,15
drive,4
deliver,2
performance,69
transformation,17
enhance,2
strength,4
an effort,2
the strategic goal,2
prosperous society,2
the goal,1
further strengthening,1
the development,47
foundation,1
improving,1
system,107
mechanism,43
further enhancing,1
comprehensive strength,1
the socialist modernisation,1
a big worldclass,1
a strong worldclass,1
the building,22
a financial mainstay,1
a banner,1
global financial industry,1
all business,2
a digitalised bank,1
user experience,1
ecology,1
offline coordination,2
flexible product,1
intelligent,6
risk,433
control,58
a bid,11
newfinance,1
a new ecosystem,1
a close,1
eye,1
the market,13
customer,54
a provider,1
highquality,14
a builder,1
a creator,1
datadriven value,1
a pioneer,1
the globe,2
the real economy,30
the requirement,1
line,21
the supplyside structural reform,3
organisation,4
a highquality,1
model,42
great capacity,1
value,113
creation,8
market,139
competitiveness,6
awareness,6
strategic focus,2
the reform,5
mindset,1
the mechanism,1
the organisation,1
the invincible force,1
leadership,4
strict governance,2
governance,12
strong guarantee,1
strategic support,1
objective,6
implementation,29
agile,1
response,11
message,4
this report,15
the context,5
the meaning,2
the performing,1
the ordinary share,3
capital,151
a nominal value,2
unit,13
interest,116
rate,196
exchange,64
basis,20
point,22
percentage,29
a public company,1
a whollyowned subsidiary,3
institution,2
a company,2
the area,8
the purpose,14
director,3
the listing,2
independent nonexecutive director,1
foreign investment,1
the lawful currency,1
senior management,36
warrant,1
the information,9
authentic accurate,1
no false record,1
misleading,1
statement,63
material omission,1
full responsibility,1
the meeting,12
the number,29
person,5
voting,3
nonvoting,1
accordance,104
international auditing,1
an unqualified opinion,1
the authenticity,1
accuracy,2
completeness,2
a final dividend,4
tax,161
subject,5
capitalisation,3
the capital,19
reserve,22
share,59
this profit,2
distribution,58
the reporting,58
no misappropriation,2
shareholder,22
no material guarantee,1
own information,1
information,51
future financial business,1
other performance,1
a number,15
a substantive commitment,1
the macroeconomic environment,1
the risk,37
the credit,36
status,6
operational risk,8
the same time,4
compliance,35
the section,21
income,176
profit,122
the year,117
net interest,17
margin,14
ratio,95
credit,211
cost,31
loan,68
impairment,42
note,6
the financial information,3
operating,45
equity,89
total dividend,1
average equity,3
tier,24
adequacy,35
quality,32
central parity,3
net,32
fee,18
commission,28
net trading,10
financial asset,8
allowance,41
amortised cost,50
fair value,198
other comprehensive income,94
loss,131
the comparative data,1
the previous reporting,1
the dividend,24
ordinary share,2
other equity,16
number,4
issue,10
the beginning,5
average capital,1
preparation,6
average balance,4
average daily balance,1
yearend,5
accrued interest,17
year,55
end,5
nonperforming,2
balance,17
the data,1
name,4
irbankofchinacom,3
httpwwwboccn,1
report,32
spring,1
this beautiful,1
vigorous spring,1
season,1
a profit,20
a yearonyear increase,4
the ratio,2
the allowance,3
the previous year,5
a dividend,3
ten,1
approval,32
era,1
mission,3
philosophy,5
a close eye,1
home,5
strong support,4
the quality,15
efficiency,21
rapid growth,6
local government,5
the proportion,5
a percentage,2
high level,1
solid growth,1
medium,3
longterm manufacturing,1
hightech manufacturing,1
inclusive finance,21
the overall financing,1
economic cooperation,1
the first place,1
domestic international settlement,1
edge,3
the factor,2
the total value,3
marketbased debtforequity,1
a record,1
the plan,3
the battle,2
poverty,13
the sale,4
worth,1
the sole strategic partner,2
the event,4
bocs dedication,1
responsibility,9
the country,4
the international situation,1
steady performance,1
both specialmention,1
the decline,1
stable asset,3
the anti money,1
work,32
internal control,57
advanced experience,1
the foundation,5
fraud,13
prevention,14
consumer,17
protection,17
appetite,5
main risk,1
major reform,1
active response,2
competition,2
the construction,14
an innovative agile,1
human resource,2
the organisational structure,3
the personal banking,3
a digital dna,2
the entire process,1
part,29
effort,3
an integrated global research,1
soft power,2
research,9
integration,8
a further boost,1
regional management,2
intensive development,1
corporate credit,3
planning,2
centre,3
order,40
problem,1
digital development,1
novel,1
new vitality,1
new momentum,1
an enhanced version,1
the day,1
allout,1
centuryold golden brand,1
corporate governance,20
professional team,1
full play,9
the staff,1
structure,31
an orderly manner,2
the training,2
the entire staff,1
the performance,13
assessment,27
orientation,2
first corporate culture,1
the whole staff,1
full vigour,1
agile action,1
a new atmosphere,1
momentum,3
wellspring,1
dynamic business,1
crossborder,43
education,15
silver economy,3
testing,3
application,20
base,17
expansion,3
transaction,31
volume,9
mobile banking,17
overseas coverage,2
experience,21
the digitalisation,1
onlineoffline,1
service,72
shape,1
comprehensive operation,12
landscape,1
a leader,1
coverage,28
the comprehensive operation,1
segment,8
an obvious improvement,1
the first bank,4
the coordinated development,2
region,10
the drive,1
a pilot,2
demonstration,3
area,4
socialism,2
body,2
financial service,3
the global leader,1
clearing,12
a result,15
global development,1
prominent spillover,1
effect,6
the corporate culture,5
competitive edge,2
a job,1
term,11
office,26
advancement,4
behalf,13
heartfelt,1
gratitude,1
a warm welcome,1
new director,1
sincere gratitude,2
the global economy,4
turmoil,1
proliferate,1
worldwide,2
the outlook,2
growth,9
the chinese economy,3
the banking,10
industry,24
environment,12
the general principle,2
progress,20
stability,4
solid progress,2
the financial sector,1
the focus,3
fortification,1
improvement,5
digestion,1
penetration,4
the fulfilment,1
a critical year,2
the aim,17
pace,3
stimulating vitality,5
further headway,1
solid performance,2
the end,90
an increase,61
the prior yearend,31
a steady increase,1
weight,5
accelerated growth,1
the operating,8
the prior year,47
other strong business,1
sound growth,2
difference,1
inputoutput,1
costtoincome,1
liability,34
bond,26
new bond,1
the average rate,1
foreigncurrency,1
the marketing,3
the supply,1
further boost,1
sustainability,2
card,25
agency,9
effective personal banking,1
free trade,2
foreign currency,26
panda,1
the interbank,2
comprehensive risk,6
steady progress,3
the recovery,3
the disposal,4
continued improvement,1
resilience,2
global compliance,1
antimoney,4
sanction,1
highvalue,1
other management,2
close track,1
impact,11
special stress,1
the contingency,1
the resilience,1
framework,13
counterparty,8
new development,1
further implement,1
alignment,1
the new ground,1
openingup,7
own highquality,1
high quality,2
product,29
enhancement,4
the capability,2
marketing,8
budget,3
breakdown,1
resource,4
allocation,11
result,3
approach,9
endeavour,1
scenario,11
technological reform,1
outlet,6
the corporate credit,1
disposal,11
the new mission,1
the weight,2
the future,4
supervision,22
staff,7
devoted honest,1
persistent,1
