token,frequency
dear,1
fellow,1
shareholder,22
as,36
investor,12
put,4
trust,3
u,64
responsible,4
steward,1
capital,41
i,16
want,7
begin,1
ﬁrst,1
letter,10
chief,39
executive,38
oﬃcer,1
sharing,4
going,1
over,8
past,9
several,7
year,154
set,8
achieved,4
number,23
important,9
strategic,10
goal,7
three,17
significant,46
we,254
grew,6
specialty,23
business,186
billion,84
mostly,1
blood,1
product,204
offering,7
diversified,2
service,84
manufacturer,49
provider,28
partnered,1
health,117
build,1
bestinclass,1
largescale,1
generic,44
program,71
successful,4
joint,5
venture,7
significantly,9
expanded,6
medical,48
portfolio,9
organic,1
expansion,2
acquisition,108
complement,3
distribution,119
capability,1
encouraged,2
progress,4
weve,1
made,18
committed,18
making,4
stride,1
coming,3
moving,2
aggressively,1
address,6
challenge,20
affect,35
market,74
taking,6
decisive,1
action,26
drive,6
growth,33
reduce,10
cost,169
improve,5
profitability,2
company,57
began,6
fiscal,298
combined,3
series,2
initiative,7
begun,1
implementing,1
setting,2
right,14
track,1
deliver,3
longterm,51
enhance,5
value,193
stakeholder,2
performance,59
on,14
financial,230
basis,33
revenue,68
reached,1
gaap,14
operating,94
earnings,157
million,319
compared,14
last,7
nongaap,22
included,51
segment,147
noncash,6
goodwill,62
impairment,83
primarily,58
due,139
diluted,13
per,45
share,184
attributable,39
cash,112
generated,3
activity,35
wa,98
solid,1
pharmaceutical,150
profit,31
declined,3
positive,8
note,48
continued,4
grow,1
standout,1
our,101
core,5
customer,115
contract,76
renewal,6
headwind,3
to,9
team,9
actively,5
evaluating,13
multiple,5
upstream,2
downstream,2
opportunity,6
continue,20
ass,7
contracting,2
model,21
light,2
shift,4
environment,6
the,311
increased,26
many,16
including,116
division,25
recently,4
acquired,36
delivered,1
strong,4
however,11
branded,32
encountered,1
inventory,83
exited,1
reinforced,1
commitment,5
future,60
end,26
midst,1
comprehensive,24
topdown,1
bottomup,1
review,7
identified,9
six,3
priority,2
area,8
return,33
these,46
form,70
roadmap,1
next,4
see,14
exciting,1
well,31
work,12
done,3
best,5
position,25
evolving,2
industry,18
landscape,2
greatest,2
community,9
employee,52
specifically,1
focused,11
following,71
mix,6
this,36
ongoing,7
effort,9
intensified,1
simplify,2
focus,5
resource,7
disciplined,6
approach,18
use,50
generate,4
analysis,18
decision,3
exit,8
it,7
clear,1
seeing,1
prospect,4
leadership,1
justify,1
maintaining,4
current,50
committing,1
additional,54
level,29
investment,28
required,34
consequently,1
completed,14
sale,66
february,21
using,41
entered,13
partnership,8
rice,1
effective,64
august,17
accelerate,1
worked,1
structure,8
unlock,1
give,2
even,4
support,13
trajectory,2
retains,1
approximately,10
interest,122
allows,4
benefit,94
believe,27
achieve,5
element,2
continues,5
face,6
related,127
changing,5
pricing,29
dynamic,3
accelerating,1
looking,1
discussing,1
fee,23
while,7
expect,23
persist,1
similar,20
typical,1
upward,1
stabilizing,1
positioning,1
great,1
confidence,3
new,37
management,52
critical,15
step,7
with,6
improved,1
data,28
