token,frequency
earthquake,2
orphan,2
sponsorship,2
project,6
insurance,345
operation,48
paperless insurance,4
application,17
n n,2
a l,178
e,1144
p,237
o,284
r,339
l,48
u d,13
this annual report,20
the context,2
shareholder,11
owned subsidiary,5
an indirect non,2
subsidiary,6
a whollyowned subsidiary,1
the purpose,21
this report,8
region,1
business,174
investment,172
network,11
security,7
refer,8
the analysis,3
the company,112
future,4
development,76
the section,6
i,1122
h,350
s u r,275
a n c,483
a n y,289
m,349
e d,264
a life,4
company,24
capital,50
life,46
an extensive distribution,2
asset,42
management,293
shareholding,2
individual life,1
group,12
accident,18
health,28
provider,2
annuity,28
force,20
shortterm health,4
wwwechinalifecom,1
irechinalifecom,2
liyhechinalifecom,1
the main contact,1
person,16
website,7
disclosure,26
v,36
other,2
long history,1
excellent brand,1
principal,2
sound financial strength,1
the predecessor,2
the first batch,1
establishment,4
the restructuring,2
reorganization,2
home,2
the first financial insurance,1
enterprise,7
the role,1
an explorer,1
pioneer,1
industry,31
a worldclass,1
financial insurance,1
brand,2
longterm,3
continuous brand,1
building,3
the world,3
value,142
influence,2
the end,85
the brand,2
session,1
list,2
principal business,2
the life,11
market,71
leading position,1
a new record,2
high,1
the longterm,2
accumulation,1
financial strength,1
comparable,1
the total market,1
capitalization,4
the number,24
powerful distribution,1
service,57
the reach,1
strategy,14
great depth,11
concept,3
technological innovation,3
firstclass,1
operational management,1
risk,151
control,42
customer,20
a customer,2
system,51
mobile intelligent,1
convenient,1
the public,1
extensive customer,1
base,3
an extensive customer,1
offering,2
the long course,1
a wealth,1
stable core,1
team,12
experience,27
professional management,1
the art,1
core,7
knowledge,6
understanding,4
senior management,37
no movement,1
a material impact,3
a yearonyear increase,11
an increase,51
income,108
persistency,2
rate,82
percentage,42
protection,12
point,6
the year,303
tax,95
net profit,40
attributable,13
equity,106
profit,110
ordinary share,8
net cash,9
inflowoutflow,11
operating,18
assets0,1
total equity,3
share,43
share0,3
decrease,12
increase,12
yield0,3
the same basis,4
cash,97
fair value,133
loss,102
the tail,1
account,22
yield,16
the beginning,24
the period,51
the period0,3
the scale,8
the allocation,4
government,12
liquidity,25
policy,60
debt,31
allocation,11
the equity,19
the accumulation,2
renewal,9
a decrease,20
the fair value,52
other borrowingsnote,1
universal insurance,4
other insurance,5
the combined impact,3
total comprehensive income,1
distribution,38
