token,frequency
the,851
life,423
insurance,842
company,716
established,45
june,34
according,45
wa,255
successfully,1
listed,64
stock,57
exchange,44
december,755
january,125
respectively,76
registered,14
capital,104
rmb,737
leading,14
posse,4
extensive,10
distribution,53
network,9
comprising,2
exclusive,24
agent,48
direct,19
sale,142
representative,48
dedicated,2
nondedicated,2
agency,42
one,112
largest,10
institutional,8
investor,53
becomes,5
asset,483
management,623
controlling,20
shareholding,10
limited,299
also,62
ha,196
pension,39
our,7
product,181
service,220
include,52
individual,67
group,117
accident,38
health,55
provider,6
annuity,44
as,229
approximately,9
million,759
longterm,66
policy,170
contract,277
force,25
we,29
provide,31
shortterm,33
prelude,1
chairmans,3
statement,159
core,25
honors,1
awards,1
business,317
highlights,1
financial,537
summary,33
significant,83
events,13
governance,46
their,1
performance,68
undertakings,2
restriction,5
major,64
assets,3
targeted,4
poverty,6
alleviation,5
others,65
report,158
shares,6
directors,104
supervisors,49
senior,49
employees,5
corporate,55
embedded,40
value,439
discussion,28
empowerment,13
operations,2
services,5
social,18
responsibility,45
future,85
prospect,1
independent,101
auditors,11
consolidated,240
position,74
comprehensive,82
income,214
changes,11
equity,195
cash,170
flows,5
notes,136
statements,132
other,89
information,151
disclosure,57
announcements,2
definitions,3
material,49
risk,453
history,2
excellent,6
brand,10
predecessor,3
first,52
batch,2
enterprise,27
underwrite,2
approved,63
government,41
establishment,24
october,32
founded,2
after,35
restructuring,8
reorganization,3
successively,20
home,3
abroad,3
becoming,3
triplelisted,1
since,70
played,3
role,12
explorer,1
pioneer,1
industry,67
committed,3
creating,3
worldclass,3
through,9
continuous,5
building,24
become,5
famous,1
strong,4
world,2
growing,4
influence,9
end,112
selected,4
worlds,1
most,2
influential,2
published,16
thirteen,1
consecutive,5
year,727
ranking,3
nd,6
ranked,1
th,16
session,107
list,3
prominent,1
principal,33
sound,9
strength,4
stick,2
explores,1
huge,1
potential,15
market,139
maintains,1
in,211
gross,40
written,73
premium,167
exceeded,7
achieving,8
new,65
record,18
high,12
development,128
accumulation,3
solid,4
comparable,9
companys,11
total,92
amounted,19
capitalization,4
well,30
technology,28
outlet,2
counter,2
covering,10
urban,3
rural,3
area,15
reporting,183
period,189
number,75
channel,67
form,27
unique,1
powerful,1
within,75
reach,7
customer,47
moreover,1
implemented,16
strategy,35
great,10
depth,8
adhering,2
concept,9
technological,9
innovation,3
cultivate,1
firstclass,2
operational,41
control,166
strives,1
establish,6
system,132
equipped,1
mobile,3
intelligent,20
feature,7
leverage,1
convenient,6
public,33
profound,1
base,9
offering,7
during,46
long,9
course,27
accumulated,34
wealth,12
experience,49
operation,111
stable,8
professional,23
team,21
versed,1
art,2
key,45
personnel,14
comprise,5
indepth,4
knowledge,7
understanding,18
including,130
member,83
experienced,1
underwriting,21
actuary,5
investment,532
manager,52
movement,23
might,4
impact,54
reportprelude,7
forbes,2
global,8
st,4
selection,10
enterprises,2
best,12
asia,2
institution,15
golden,3
dragon,1
award,13
tripod,2
securities,75
times,1
ark,2
prize,1
highquality,15
personal,8
and,44
annual,190
protection,48
top,7
craftsmanship,1
jointly,6
today,2
assessment,42
hexuncom,1
hybrid,4
awarded,9
data,24
dynamic,1
it,30
project,34
region,12
talent,6
atd,1
excellence,1
practice,34
association,16
yearonyear,16
increase,96
net,130
profit,218
attributable,48
holder,57
yield,31
solvency,37
ratio,33
percentage,50
point,24
firstyear,36
regular,69
payment,93
duration,26
ten,38
longer,10
designated,13
protectionoriented,8
for,90
past,9
five,45
years,3
ended,242
revenue,19
earned,5
claim,96
expense,112
benefit,98
tax,153
ordinary,25
share,200
inflowoutflow,11
operating,59
activity,48
liability,277
earnings,18
per,40
basic,48
diluted,5
weighted,4
average,21
international,9
standards,15
change,114
decrease,27
summarychina,1
refers,16
equivalent,28
fair,251
loss,190
availableforsale,63
security,284
heldtomaturity,20
deposit,74
purchased,22
agreement,223
resell,18
depositsrestricted,2
property,92
investments,23
associate,84
joint,81
venture,74
calculating,4
tail,1
difference,26
figure,2
taken,7
account,39
liabilitiestotal,1
paid,124
sold,42
repurchaseinvestment,3
previous,24
repurchase,42
derivative,42
item,12
main,12
reasons,3
term,115
maturity,39
an,21
allocation,34
bond,87
need,11
liquidity,34
loans,9
loan,76
certificate,5
deferred,63
affected,14
renewal,6
scale,8
universal,10
interestbearing,12
na,6
issuance,11
supplemental,5
combined,6
borrowing,22
threeyear,5
bank,34
eur,3
date,124
fiveyear,4
gbp,1
usd,9
september,20
sixmonth,1
automatically,4
renewed,19
upon,41
pursuant,54
all,22
fixed,21
rate,185
a,80
oneyear,3
november,20
floating,7
balance,24
payable,91
due,94
steady,4
growth,30
gain,50
expansion,3
interest,154
dividend,83
spread,6
fund,188
certain,60
surrender,15
participating,23
commission,46
policyholder,56
resulting,18
participation,11
acquisition,30
cost,116
realised,17
finance,28
administrative,8
pretax,14
optimization,4
structure,36
deduction,7
marked,1
anniversary,2
founding,1
beginning,37
revitalization,6
inspiring,1
springtime,1
behalf,4
board,17
director,114
hereby,1
shareholder,125
result,85
truly,2
remarkable,1
u,174
external,37
environment,6
complicated,2
ever,1
changing,2
saw,3
accelerated,7
transformation,13
face,4
consumption,1
trend,11
always,3
kept,9
pace,3
time,54
demand,6
with,13
philosophy,3
guiding,8
embarked,1
journey,1
pursued,1
concerted,2
effort,18
reached,19
l,218
n,616
c,339
r,468
e,895
f,189
significantly,15
p,210
h,319
v,101
w,73
based,109
proposed,8
distribute,9
final,24
inclusive,7
proposal,59
submitted,11
review,46
b,101
dedication,1
hard,1
work,53
staff,6
tea,1
pa,2
ny,1
dem,1
nst,1
ra,1
te,1
precious,1
splendor,1
spirit,2
o,2
guideline,11
prioritizing,3
strengthening,10
upgrading,5
optimizing,8
guarding,4
took,9
strategic,40
making,17
stride,1
shouldering,2
quality,23
reform,12
prevention,19
compliance,62
separate,13
regulation,69
focus,17
renamed,2
restructured,2
g,139
promoter,1
statementchina,1
reportchairmans,4
firmly,6
serving,6
society,3
gave,48
full,20
play,1
function,26
economic,34
shock,1
absorber,1
stabilizer,1
underwrote,1
insured,34
sum,29
trillion,1
cumulative,9
basis,87
billion,19
actively,30
carried,41
policyoriented,2
supplementary,12
medical,20
administration,25
helped,6
improve,15
level,68
alleviated,1
illnessrelated,1
specific,43
povertystricken,3
people,9
made,36
nearly,4
relation,70
support,12
helping,1
lifted,1
proactively,2
aligned,1
national,16
leveraging,2
demonstration,1
effect,18
participated,12
country,4
coordinated,10
construction,20
integrated,18
along,3
kongmacao,1
greater,3
bay,1
multiple,5
measure,40
promote,6
t,24
hydropower,1
upper,1
mixed,1
ownership,28
state,4
owned,11
promoted,15
sustainable,5
healthy,9
green,4
consistent,8
improvement,16
strengthened,22
assetliability,5
synergy,3
continuously,9
foundation,5
active,24
volume,4
oriented,6
enhancing,8
profitability,3
maintaining,7
substantially,13
higher,30
peer,1
representing,10
by,20
sticking,1
optimized,12
rising,5
allocated,6
seeking,3
grasping,2
opportunity,9
besides,2
size,8
expanded,2
improved,31
monthly,12
productive,3
increased,33
both,3
downward,2
newtype,1
continued,320
deepen,1
comprehensively,2
enhanced,16
kicked,3
action,5
plan,61
technologydriven,4
initiative,5
applying,8
ai,5
big,4
internet,6
things,3
empower,2
whole,17
chain,9
pushed,8
forward,23
upgrade,11
customeroriented,2
model,44
stepped,5
providing,12
onestop,2
platform,17
transformed,2
upgraded,4
promoting,8
ecological,3
built,6
ecosystem,7
introduced,2
settled,20
process,32
efficiency,11
digitalized,3
supply,5
current,52
recognised,83
incomeinvestment,1
innovate,2
boosted,1
vigorous,1
driving,2
steadily,3
upheld,2
headquarters,6
streamlined,2
z,5
invigorated,2
field,11
office,47
yi,6
ti,5
duo,4
initially,9
formed,8
featuring,4
emphasis,4
creation,5
coordination,4
bancassurance,18
focusing,8
reconstructed,1
marketoriented,7
sped,1
integration,6
front,7
middle,2
back,8
precise,3
resource,23
evaluation,14
adopting,3
mechanism,25
recruitment,2
keeping,1
step,3
regional,1
vigorously,5
city,7
organization,2
cater,1
consolidate,2
competitive,1
importance,5
generated,2
source,14
grassroots,1
branch,33
strengthen,12
capability,18
held,116
onto,1
bottom,3
line,21
constantly,23
toplevel,1
design,8
closed,1
loop,1
link,1
aspect,13
inspection,9
prevented,2
controlled,17
build,2
achieved,11
accurate,7
fraud,9
money,7
laundering,12
fter,1
outbrea,1
k,27
ovid,1
arly,1
immediate,2
donating,1
epidemic,3
healthrelated,1
etc,31
scope,16
coverage,9
settlement,16
online,20
provided,33
complimentary,1
fighting,1
while,4
battle,1
outbreak,4
leveraged,1
achievement,1
enrich,2
variety,5
conduct,26
remote,1
secure,2
orderly,6
manner,46
right,84
looking,3
ahead,2
believe,6
economy,10
maintain,5
q,6
unchanged,5
domestic,19
still,6
important,11
stage,5
i,14
make,25
concrete,1
progress,6
push,5
accelerate,2
implementation,29
speed,4
