token,frequency
dc,3
form,281
kmark,1
onexannual,1
report,189
pursuant,363
to,48
section,544
or,9
of,23
exchange,152
act,134
for,75
the,610
year,311
ended,129
december,349
orctransition,1
period,310
from,11
commission,25
file,23
number,221
registrant,69
state,122
incorporation,20
address,24
andtelephone,1
irs,2
employer,13
identification,1
no,50
corporationpennsylvaniaone,1
comcast,194
centerphiladelphia,1
pa,8
nbcuniversal,94
media,61
llcdelaware,1
securities,60
registered,53
b,203
name,42
each,47
a,196
par,9
value,244
due,281
notes,169
guaranteed,47
exchangenew,2
york,9
stock,227
exchangenbcuniversal,1
llc,56
none,12
g,36
nonenbcuniversal,1
indicate,19
check,12
mark,10
wellknown,1
seasoned,1
issuer,91
defined,77
rule,77
corporation,183
yesx,4
noc,4
required,194
yesc,3
nox,3
whether,146
ha,324
filed,122
preceding,74
month,72
shorter,5
wa,187
subject,281
filing,32
requirement,97
past,3
day,320
submitted,20
electronically,2
every,20
interactive,5
data,31
posted,3
stduring,1
submit,8
post,5
disclosure,50
delinquent,2
filer,7
contained,21
herein,45
best,10
registrantsknowledge,1
definitive,22
proxy,56
information,193
statement,263
incorporated,107
reference,162
k,232
amendment,94
x,64
na,15
large,10
accelerated,7
nonaccelerated,1
smaller,5
reporting,123
company,344
emerging,4
growth,10
definition,38
corporationlarge,1
filerxaccelerated,1
companycemerging,2
companyc,1
llclarge,1
filercaccelerated,1
elected,20
use,106
extended,8
transition,8
complying,11
new,101
revised,7
financialaccounting,1
standard,31
provided,411
c,110
shell,1
as,94
june,29
aggregate,129
market,93
common,129
held,102
nonaffiliates,1
share,230
outstanding,100
class,159
latest,3
practicable,26
applicable,182
llcnbcuniversal,2
meet,20
condition,148
set,148
forth,97
therefore,18
reduced,36
disclosureformat,1
by,6
referencecomcast,2
part,135
iii,61
annual,78
meeting,275
shareholder,494
presently,3
scheduled,17
table,199
contentscomcast,47
contentspart,4
iitem,2
businessitem,1
arisk,2
factorsitem,1
bunresolved,1
staff,2
propertiesitem,1
legal,78
proceedingsitem,1
mine,1
safety,4
disclosures,3
iiitem,2
securitiesitem,1
selected,14
financial,445
dataitem,2
managements,4
discussion,20
analysis,19
results,6
operationsitem,1
aquantitative,2
qualitative,18
about,2
supplementary,6
changes,15
disagreements,2
accountants,3
accounting,111
disclosureitem,1
acontrols,1
proceduresitem,1
bother,1
iiiitem,2
directors,79
executive,62
officers,7
corporate,25
governanceitem,1
compensationitem,1
security,212
ownership,47
certain,130
beneficial,7
owners,2
management,119
related,220
stockholder,10
mattersitem,1
relationships,2
transactions,3
director,132
independenceitem,1
principal,106
accountant,14
ivitem,2
exhibits,4
schedulesitem,1
summarysignaturesnbcuniversal,1
statements,11
dataexplanatory,1
notethis,1
combined,15
separately,20
owns,28
equity,116
interest,381
within,165
format,6
behalf,83
relates,13
neither,20
make,115
representation,19
asto,1
relating,80
where,8
explanation,5
substantially,46
suchinformation,1
separateinformation,1
in,231
addition,100
separate,29
consolidated,219
along,8
note,169
theconsolidated,3
included,136
indicated,8
otherwise,223
throughout,10
refer,22
subsidiary,117
including,351
u,69
cablecomcast,1
holdings,8
limited,116
formerly,14
plc,57
itsconsolidated,4
this,58
modifies,1
supersedes,1
document,46
filedbefore,1
sec,5
allows,8
incorporate,4
mean,402
discloseimportant,1
referring,2
directly,58
considered,14
future,81
automatically,11
update,6
supersede,2
kour,1
trademark,4
include,142
logo,1
also,205
contains,12
othertrademarks,1
service,578
trade,28
owned,105
well,79
others,16
businesswe,1
global,53
medium,38
technology,57
three,32
primary,9
business,417
sky,131
we,198
lawsof,2
through,5
predecessor,2
developed,5
managed,5
operated,9
cable,247
system,96
since,28
transaction,133
acquired,85
fourth,27
quarter,95
present,62
operation,117
one,193
reportable,18
segment,179
referred,54
fourreportable,2
collectively,20
segmentsand,3
nation,2
largest,5
provider,74
highspeed,65
internet,113
videovoice,1
automation,15
residential,59
customer,227
xfinity,2
brand,7
provide,132
otherservices,1
sell,23
consists,32
primarily,247
national,27
network,246
variety,17
entertainment,91
news,26
sportscontent,1
regional,14
sport,51
international,17
television,192
studio,29
production,97
variousdigital,1
propertiesbroadcast,1
broadcast,175
