token,frequency
year,74
each class,2
trading,1
par,3
value,53
check,7
mark,7
the registrant,24
a wellknown seasoned issuer,1
pursuant,18
section,7
period,29
such filing,1
filer,9
a nonaccelerated filer,1
reporting,7
company,31
growth,12
definition,5
è,1
the extended transition,1
financial accounting,1
a shell,1
the aggregate,10
market,38
common stock,70
the number,55
stock,50
practicable date,1
forth,9
b,11
d,4
this form,3
the reduced disclosure,2
format,2
annual meeting,2
a combined report,1
the common equity,1
information,48
own behalf,1
the information,14
this report,51
neither company,1
any representation,1
the other company,1
an explanation,2
each company,3
such information,3
explanation,2
separate information,1
addition,66
separate,1
the year,35
reference,95
important information,1
part,21
the future,26
service,120
trade,12
technology,33
cable,116
the fourth quarter,16
reportable business,17
segment,43
cid0,65
provider,4
highspeed,19
internet,49
video,120
voice,38
wireless,50
security,34
automation,15
brand,7
business,99
advertising,69
national cable,11
a variety,15
entertainment,62
news,23
international cable,4
television,164
studio,19
production,82
local broadcast,32
network,78
broadcast,60
theme,26
a theme,4
park,28
a consortium,6
an additional theme,6
a directtoconsumer,2
internet voice,6
phone,45
a content,2
other business,6
arena,9
the development,8
directtoconsumer,6
content,98
other information,2
available information,2
number,13
principal executive,4
charge,3
website,1
wwwsecgov,1
wwwcomcastcorporationcom,1
internet video,1
a discounted rate,3
distribution,61
system,20
the sale,44
customer,64
base,3
streaming,5
a limited number,4
a fiveproduct,1
bundle consisting,1
equipment,63
advance,3
a monthly basis,9
a portion,11
length,3
all business,1
accordance,37
total customer,4
residential customer,3
the transmission,3
penetration,1
the map,1
footprint,9
the designated market,1
downstream,6
gigabit,2
access,36
an online portal,3
mobile,4
apps,6
the ability,14
home,8
an address,1
book,5
online security,1
an internet,3
modem,2
router,2
reliable internet,2
enhanced coverage,2
an inandoutofhome,2
the xfi,1
wholehome application,1
online,11
portal,1
viewing,7
password,2
inhome network,2
residential outdoor,1
a streaming device,1
various programming,1
other thirdparty internet,1
a broad variety,2
platform,10
the level,3
limited basic service,1
full service,1
national broadcast,1
regional cable,1
government,9
public access,1
demand,30
an interactive onscreen program,1
highdefinition,1
highresolution,1
picture,2
quality,4
audio quality,1
a widescreen format,1
settop,2
box,1
a broad selection,1
the option,6
a digital video,1
recorder,1
record,3
store,1
convenience,2
mobile app,1
live television,1
commercial interruption,1
video service,2
foreignlanguage,1
programming,53
other specialty,1
particular programming,1
search functionality,1
the use,9
a voiceactivated remote,2
control,9
integration,3
certain thirdparty internet,2
music,5
x0,1
app,1
certain live programming,1
program,11
stream live,1
a computer,1
tablet,2
smartphone,1
other device,1
a monthly fee,1
domestic longdistance,1
voicemail,3
messaging,3
various call,1
caller,1
highspeed internet,25
manage,1
text,2
other account,1
mobile apps,2
mobile virtual network,1
operator,3
inhome,1
bundled service,2
internet service,1
small business,4
an unlimited data,2
plan,6
gigabyte,2
own device,1
purchase,16
finance,7
the purchase,10
interestfree,1
cybersecurity,3
backup,7
connectivity,5
monitoring,7
web conferencing,3
