token,frequency
wa,2
terrific,1
year,8
comcast,1
enter,1
momentum,1
enthusiasm,1
purpose,1
we,9
unique,2
global,2
medium,2
technology,1
company,4
combined,1
million,3
highvalue,1
customer,7
relationship,3
fantastic,1
premium,2
content,2
innovation,2
engine,2
propelling,1
u,5
forward,2
most,1
importantly,1
strong,3
passionate,1
diverse,1
employee,2
working,1
together,2
shape,1
deliver,1
whats,1
next,1
industry,1
consumer,2
shareholder,3
as,1
turn,1
toward,1
coming,1
decade,4
look,1
back,2
last,2
one,6
pride,1
these,2
past,3
best,1
history,1
at,1
introduced,1
brand,2
pledging,1
bring,1
finest,2
product,2
experience,2
anytime,1
anywhere,1
launched,2
x,1
creating,2
cloudbased,1
entertainment,3
platform,2
world,3
class,1
also,4
ha,3
enabled,1
accelerate,1
technological,1
today,2
continuously,1
enhancing,1
rapid,1
onset,1
machine,1
learning,1
improve,1
personalize,1
aspect,1
invested,1
broadband,4
setting,1
new,5
standard,1
connectivity,3
creation,1
xfi,1
adding,2
value,3
core,1
offering,2
through,1
grew,1
meanwhile,1
skyrocketed,1
beginning,1
earlystage,1
startup,1
ending,1
generating,1
billion,3
annual,1
revenue,2
tremendous,2
runway,1
future,2
growth,2
collectively,1
business,3
generated,1
v,1
nbcuniversal,2
similar,1
great,2
success,1
since,2
acquired,2
made,1
significant,1
disciplined,1
investment,2
in,4
television,2
turned,1
around,1
achieved,1
record,3
profit,1
level,1
across,2
cable,1
network,1
jumped,1
debut,1
innovative,1
streaming,2
service,2
peacock,1
brought,1
strategy,1
creative,1
leadership,2
team,2
resulted,2
consistency,1
higher,1
profitability,1
rapidly,2
increased,1
attraction,1
hotel,1
drive,1
attendance,1
return,2
spectacular,1
theme,1
recognized,1
leader,1
nearly,1
tripled,1
first,3
announced,1
intent,1
acquire,1
majority,1
stake,1
late,1
leading,1
sky,1
enabling,1
better,1
compete,1
scale,1
matter,1
superb,1
organization,2
management,1
outstanding,1
key,1
market,1
premier,1
position,1
sport,1
news,1
full,1
delivered,2
addition,2
impressive,1
viewership,1
channel,1
identified,1
many,1
way,1
unlock,1
support,2
transferring,1
expertise,1
film,1
tv,1
studio,1
opportunity,1
increase,1
ahead,1
continue,2
combine,1
talent,1
resource,1
invest,1
smarter,1
execute,1
faster,1
summary,1
course,1
cumulative,1
total,1
double,1
sp,1
looking,1
net,1
build,2
speed,1
coverage,1
control,1
extend,1
formula,1
second,1
focus,1
emerging,1
area,1
aggregation,1
launching,1
accelerating,1
deployment,1
q,1
lastly,1
expand,1
opening,1
universal,1
two,1
brandnew,1
park,1
open,1
respectively,1
so,1
begin,1
plan,1
place,1
ready,1
win,1
evolving,1
landscape,1
galvanized,1
forge,1
path,1
help,2
navigate,1
trend,1
fresh,1
thinking,1
building,1
track,1
delivering,1
operational,1
financial,1
result,1
making,1
smart,1
id,1
like,1
thank,1
stepping,1
including,1
partner,1
wonderful,1
the,1
indeed,1
among,1
sadly,1
lost,1
founder,1
but,1
special,1
envisioned,1
could,1
inspired,1
respected,1
would,2
meaningful,2
impact,1
people,1
well,1
local,1
community,1
create,1
longterm,1
stronger,1
ever,1
i,1
proud,1
lead,1
extraordinary,1
legacy,1
l,1
roberts,1
chairman,1
ceo,1
january,1
