token,frequency
a year,3
incredible heart,1
resiliency,1
a society,1
reflect,1
adapt,1
the globe,1
a newfound sense,1
hope,1
recovery,1
family,1
the occasion,1
strategy,1
broadband,5
record,1
growth,1
the year,1
the future,1
the result,1
a successful year,1
the company,1
unique position,1
technology,1
the moment,1
critical connectivity,1
news,4
entertainment,2
the world,3
network,1
an unprecedented surge,1
use,1
school,1
some relief,1
home,2
popular streaming,1
an innovative distribution,1
model,1
the film,1
industrys future,1
the process,1
the pandemic building,1
longstanding commitment,1
digital equity,2
comprehensive broadband,1
adoption,1
program,1
lowincome,1
public school,1
virtual learning,1
community,1
the country,1
access,1
equipment,1
a computer,1
a home,1
connection,1
track,1
the end,1
social unrest,1
commitment,1
diversity,1
equity,1
inclusion,1
a company,1
a part,1
the conversation,1
this work,1
culture,1
substantive lasting change,1
entire organization,1
color,1
important initiative,1
a difference,1
company,1
a look,1
this compelling photo,1
montage,1
onstage,1
enthusiasm,1
strive,1
control,1
a good start,1
building,1
the momentum,1
a strategic focus,1
aggregation,1
the extraordinary success,1
the value,1
longterm network,1
the road,1
this product,1
area,1
position,1
this year,1
the summer,1
service,1
a breakout,1
star,1
performance,1
the platform,1
lineup,1
a full reopening,1
business,1
the return,1
movie,1
success,1
the heartbreak,1
this past year,1
an optimist,1
a trait,1
father,1
this company,1
help,1
operating,1
a unified team,1
focus,1
equality,1
justice,1
sustainability,1
work,1
everyone,1
the ability,1
part,1
society,1
every day,1
a passion,1
a little bit,1
support,1
signature,1
was a year,1
saw incredible heart,1
is a newfound sense,1
had record,1
was a successful year,1
meet the moment,1
provided critical connectivity,1
attend school remotely,1
needed some relief,1
pioneering an innovative distribution,1
lacking a computer,1
be a part,1
embed this work deep,1
drive substantive lasting change,1
make a difference,1
take a look,1
renewed enthusiasm,1
deliver building,1
streaming the extraordinary success,1
proven the value,1
ongoing longterm network,1
aggregating entertainment,1
strengthen this year,1
streaming service,1
was a breakout,1
bolster the platform,1
growing lineup,1
anticipates the return,1
see success,1
forget the heartbreak,1
founded this company nearly,1
cant help,1
means operating,1
has the ability,1
take part,1
connected society,1
make the world just,1
family has,1
the occasion driving,1
broadband had,1
the result was,1
technology enabled,1
the world adapted,1
network ran superbly,1
the country providing,1
a year marked,1
the momentum generated,1
position continues,1
performance exceeded,1
a unified team sharing,1
everyone has,1
