token,frequency
a,26
commitment,6
quality,16
value,95
location,25
chairman,11
properties,3
warehouses,2
administration,1
merchandise,96
distribution,10
program,15
five,20
year,114
operating,74
discussion,4
analysis,3
financial,172
condition,36
results,5
operation,133
executive,37
officers,5
corporate,10
governance,3
managements,8
reports,5
independent,10
registered,6
public,9
accounting,50
firm,6
consolidated,110
statements,32
notes,36
directors,4
company,33
provided,14
information,58
related,45
membership,59
sales,9
per,76
supplement,1
additional,32
key,6
metric,2
found,4
page,1
warehouse,145
in,52
millions,1
opened,12
before,4
first,14
sale,166
annualized,1
result,88
include,26
our,64
and,16
the,237
family,3
wa,63
profoundly,1
saddened,1
unexpected,2
death,1
cofounder,4
man,1
quiet,1
strength,1
personal,3
integrity,2
along,4
partner,1
friend,2
helped,1
direct,6
vision,2
passion,2
unparalleled,1
retail,12
industry,4
born,1
retailer,16
learned,1
business,92
following,23
strict,1
ethic,3
practice,7
father,1
established,11
clothing,1
store,4
went,1
earn,2
two,11
degree,4
later,2
lead,4
numerous,4
uw,1
board,3
initiative,6
addition,14
duty,2
deeply,1
involved,6
real,2
estate,2
endeavor,1
driving,1
expansion,7
effort,2
worldwide,8
believed,2
strongly,1
worked,1
tirelessly,2
toward,4
giving,3
back,2
he,4
especially,2
proud,1
ha,43
raised,1
million,43
dollar,21
underrepresented,1
minority,1
student,1
made,16
possible,3
attend,1
wife,1
supported,2
myriad,1
organization,3
community,2
put,1
dedicated,2
making,5
world,4
better,3
place,1
civic,1
philanthropic,1
cause,7
combined,3
natural,11
leadership,3
genuine,1
warmth,1
created,2
immense,1
lasting,1
impact,54
greatly,1
missed,1
december,12
dear,1
right,11
thing,4
it,4
philosophy,4
embedded,1
culture,1
one,35
cultivated,1
although,8
lost,4
great,4
leader,2
past,3
member,101
team,1
beyond,4
realize,2
longterm,23
success,5
high,13
margin,40
rather,6
treat,1
engage,4
people,1
employee,45
supplier,11
alike,1
thus,1
core,16
remain,2
strong,6
legacy,1
continue,16
offer,7
highest,1
best,4
loyal,2
recognize,4
market,67
by,2
focusing,1
achieved,4
another,3
performance,18
fiscal,50
net,156
week,33
totaled,8
billion,9
increase,45
nine,3
percent,3
comparable,28
four,5
income,131
share,133
compared,21
prior,18
fee,48
increased,41
eight,2
costco,11
remains,1
competitively,1
everevolving,1
environment,2
outpacing,1
maintaining,8
memberfocused,1
despite,2
challenging,1
climate,4
grow,5
add,4
domestically,3
abroad,2
provide,30
buyer,2
operator,6
work,5
maintain,12
low,7
price,61
everyday,1
item,18
around,4
well,20
ecommerce,16
site,10
brand,11
recognized,18
synonymous,1
signature,1
exceeded,1
expanded,4
offering,10
apparel,2
sporting,1
good,9
fresh,11
food,25
organic,1
organics,1
