token,frequency
summary,45
annual,34
report,43
cautionary,1
statement,32
statements,11
reference,4
future,17
event,2
condition,10
forwardlooking,2
actual,3
result,7
including,42
demand,24
growth,38
energy,42
source,12
mix,2
capacity,25
impact,6
new,22
technology,49
production,58
project,54
plan,21
date,5
cost,48
resource,29
addition,10
rate,13
recovery,9
efficiency,11
gain,3
saving,2
earnings,20
cash,53
flow,28
generation,10
integration,13
benefit,17
return,22
product,70
sale,38
could,4
differ,3
materially,1
due,3
number,3
factor,4
global,53
regional,4
change,13
oil,52
natural,30
gas,39
petrochemical,6
feedstock,10
price,13
differential,1
market,30
economic,8
affecting,2
industry,29
reservoir,6
performance,37
outcome,3
timing,2
exploration,34
development,55
timely,1
completion,4
construction,9
war,1
political,2
public,2
health,4
security,1
disturbance,1
law,1
government,11
regulation,2
environmental,8
trade,2
tax,15
sanction,1
action,2
competitor,4
customer,20
unexpected,2
technological,4
general,8
occurrence,1
duration,1
recession,1
commercial,19
negotiation,1
opportunity,13
regulatory,2
approval,4
investment,42
divestments,5
may,8
arise,1
fiscal,1
term,17
research,14
effort,11
ability,5
bring,5
scale,20
costcompetitive,1
basis,10
largescale,1
hydraulic,1
fracturing,1
unforeseen,1
technical,7
difficulty,1
unanticipated,1
operational,8
disruption,1
discussed,1
recent,4
form,6
k,3
all,4
based,7
management,15
knowledge,4
reasonable,1
expectation,1
assume,2
duty,3
update,1
used,32
measures,1
we,43
use,10
concept,1
financial,37
measure,15
throughout,3
publication,6
these,14
comparable,2
similarly,1
titled,2
company,28
definitions,1
certain,6
operating,29
contained,3
section,5
frequently,7
terms,5
page,18
in,36
case,3
sales,5
definition,6
also,29
include,16
reconciliation,3
information,52
required,3
g,13
factors,1
results,2
available,16
investors,3
website,4
refers,3
publicly,1
traded,2
international,3
the,83
refer,6
variety,5
different,2
activity,24
doe,3
necessarily,2
meaning,2
payment,4
transparency,2
otherwise,6
specified,6
data,14
shown,7
year,38
reclassified,1
conform,1
presentation,1
