token,frequency
a lowercarbon,6
energy,61
future,11
population,6
technology,23
modern life,4
value,67
performance,42
information,35
site,2
each module,1
the height,1
building,2
land,2
this report,27
demand,74
growth,23
mix,6
capital,44
cash,81
operating,53
expense,37
efficiency,15
ability,19
reduction,18
intensity,5
capture,10
production,184
product,22
a number,20
oil,157
gas,123
other market,3
the oil,9
petrochemical,9
the severity,2
length,3
ultimate impact,2
the timing,9
pace,3
global economic recovery,1
the ability,9
business,58
cost,57
the impact,26
company,37
the health,2
safety,5
the outcome,8
timing,8
exploration,52
development,129
timely completion,2
construction,9
war,2
other security,1
law,7
government,26
regulation,3
trade,11
climate change,3
the granting,1
research,16
new technology,1
commercial scale,2
a costcompetitive basis,2
the development,19
competitiveness,3
alternative energy,5
emission,5
recent form,1
forwardlooking,1
knowledge,1
the time,15
no duty,1
any future date,1
this publication,1
the term,13
industry,29
international energy,1
project,35
a variety,10
the same meaning,4
any government,4
payment,8
transparency,5
presentation,2
basis,10
acreage,18
the front,2
health,2
care,3
the coronavirus,1
pandemic,7
a company,1
a deep appreciation,1
a global scale,1
this year,1
reliable energy,3
the world,19
highperformance,1
chemical,12
position,11
the year,56
reduced cash,1
a year,1
strong progress,1
climate,15
risk,21
the company,11
success,7
emissionreduction,1
methane,4
flaring,1
forward,2
greenhouse,22
percent,132
the end,27
the decade,1
deliver,1
routine flaring0,1
refreshment,1
program,11
the number,9
additional board,1
expertise,6
science,1
asset,46
management,43
relevant industry,1
experience,4
the average tenure,1
an average,3
the recoverable resource,1
estimate,8
oilequivalent,11
a new record,1
packaging,3
strong operating,1
the past year,2
recent memory,1
the global pandemic,1
a tragic toll,1
the case,2
frontline,1
the virus,1
an exceptional commitment,1
proud,1
the way,1
need,4
hand,2
sanitizer,2
specialty,5
protective equipment,1
strong safety,1
reliability,5
the pandemic,2
consumption,2
the first time,1
memory,1
investment,33
spending,13
last year,1
developed future,1
market,50
priority,1
an important role,4
the recovery,3
economic growth,3
societys aspiration,2
ambition,2
a global leader,1
carbon,10
storage,10
captured carbon,1
dioxide,2
competitor,3
the creation,2
a new business,3
extensive lowcarbon,2
portfolio,19
help,1
society,3
the climate,3
this new business,1
the work,3
the business,14
largescale emission,1
significant experience,2
hydrogen,6
other technology,2
focus,5
breakthrough,2
the economys,1
power,7
generation,8
commercial transportation,3
loweremission,3
develop,3
yearend,15
equivalent,2
the average annual energy,1
the future,14
the global economy,3
use,25
the market,11
living,6
the global energy,2
the challenge,1
tremendous confidence,1
deploy,1
carbon capture,2
cogeneration,2
unit,6
refinery,8
the unit,2
megawatts,1
year,41
example,8
the same time,4
change,34
strategy,6
an industry,3
leader,4
routine flaring,1
quality,7
life,9
expectancy,2
education,2
gross national income,1
capita,1
regardless,1
location,3
half,3
a life,1
electricity0,1
possible global demand,1
the middle class,2
the process,1
the atmosphere,1
deep underground geologic,1
safe secure,1
important lowcarbon,1
societys,1
the global leader,1
developing,1
an equity,3
share,52
onefifth,1
capacity,24
direct air,1
the global response,1
natural gas,130
a significant role,1
prosperous world,1
an important part,1
meeting,3
viable technology,2
industrial power,1
account,4
the current solution,1
set,1
energyefficient process,1
a longterm perspective,1
competency,1
fundamental science,2
engineering,10
significant investment,1
a history,8
an energy,1
innovator,1
part,20
address,1
this critical challenge,1
rise,3
the developing world,1
this demand,1
gasefficient,1
equipment,41
design,3
catalysis,1
process,16
energyefficient manufacturing0,1
transportation,14
high energy,1
density,2
algae,2
a scalable solution,1
the required energy,1
a liquid form,1
heavyduty,1
fuels0,1
cellulosic biomass,1
the transportation,2
sector,3
the energy,6
advance,4
refining,12
enable transportation,1
sea,1
air,5
the chemical,1
today,3
the globe,2
lowcost,1
hydrocarbon,2
active exploration,3
the industry,6
particular focus,3
the deepwater,2
unconventional liquefied natural gas,1
heavy oil,5
innovation,2
global energy,9
day,35
petroleum,28
a global network,2
highvalue performance,2
the significant value,2
a bestinclass,1
financial capacity,1
superior growth,1
a proven technology,1
lead,1
highervalue,1
the scale,2
global business,1
broad deployment,1
partnership,3
central processing,1
export,7
facility,11
the long haul,1
pipeline,4
area,6
module,2
installation,1
additional chemical,1
rotterdam refinery,1
funding,6
a third project,1
parallel,2
the exploration,7
operation,5
a digital automotive environment,1
network,2
global value,1
incremental value,1
flexibility,3
security,7
feed,2
supply,26
sharing,3
support,8
infrastructure,9
successful history,1
complex,1
deep knowledge,1
list,5
t o drive,2
th,2
execution,4
white chart,2
a template,1
fo,2
the c,2
olor chart,2
lin es,2
an d,4
past ed,2
white t,2
emplat,2
accurat e,2
the colo,2
r,2
char,2
t,2
the database,2
the data,4
a piec e,2
artwor k,2
the edit,2
ghly proo,2
the fin,2
al,2
artw,2
ork,2
worldclass workforce,1
important competitive advantage,1
a wide range,4
global portfolio,1
ndai,2
mich aeldfole,2
yexxo,2
nmobilcom,2
esign,2
studiocell,2
fax,4
ericwhetsto,2
neg,2
mailcom,2
lison,2
studioc ell,1
carolzmgr,2
aph,2
icscom,2
template,1
e,2
clu,2
sive right,2
s,2
studioc,1
an example,1
an advantaged investment,1
organization,5
innovative modular design,1
the upstream,1
chemical design,1
the project,6
average industry,1
cost0,1
a global distribution,1
delivery,3
work,8
benchmark,2
workforce,8
net oil,1
the upstream global value,1
chain,4
marketing,4
upstream,2
low costofsupply,2
deepwater unconventional permian,1
the local oil,1
the total,1
end,3
gross recoverable resource,1
the government,12
initial discovery,1
average,2
this size,1
schedule,2
startup,1
the third development,1
final investment,1
decision,2
issuance,4
the production,19
license,6
any company,1
operated exploration,1
drilling,9
field,18
the prolific,1
presalt,1
the field,4
large contiguous acreage,1
unique development,1
plan,42
resource,12
recovery,31
net oilequivalent,1
yearonyear production,2
increase,10
estimated net recoverable resource,1
profitability,3
overall cash,1
flow0,1
the integrated value,1
permian development,1
a central processing,1
the overall value,1
sustainability,2
proprietary modeling,1
subsurface,2
measurement,3
completion,9
downstream,3
valuechain,1
liquefied natural gas,7
this leading position,1
innovative technical application,1
superior project,1
strong project,1
continued addition,1
oilequivalent oilequivalent,1
detection,2
satellite,1
aerial surveillance,1
monitoring,4
decade,1
conventional oil,1
flow,29
majorityowned affiliate,1
a significant lowdecline,1
heavyoil,1
longterm value,1
the commercial success,1
highquality,5
strong customer,1
synthetic lubricant,1
the worldwide leader,2
synthetic motor,2
retail motor,1
crude acquisition,1
distribution,5
distillation,3
global manufacturing,1
reliable supply,2
highvalue,1
the comfort,1
car,2
app,1
device,1
pay,2
the pump,2
these new customer,1
a rich history,1
xiv,1
sale,16
basestock,2
lubricant,1
proprietary technology,4
the wideranging,1
offer,1
producer,2
efficient production,1
the base,1
marketplace,1
consistent quality,1
leadingedge,1
ongoing investment,1
global consumer,1
a strategic priority,1
a strong focus,1
the startup,1
a digital automotive maintenance,1
environment,7
other vehicle,1
maintenance,4
the onset,1
the need,8
an essential societal challenge,1
gasoline,1
the key feedstock,1
the manufacturing,1
hygiene,2
food,3
record,3
enhanced softness,1
recyclability,1
chemical product,1
portfolio0,1
operational excellence,2
discipline,2
a balanced product,1
integration,7
an unparalleled range,1
this capability,1
addition,19
an olefins production,1
secure,1
feedstock,2
commodity,27
global population,1
middle class,2
a recognition,1
an increase,6
everyday products0,1
new capacity,1
that demand,1
the building,1
the feed,1
polyethylene polypropylene,1
consumer,16
polyester,1
clothing,1
insulation,1
optimization,3
material save,1
waste,1
leadership,1
extensive customer,1
collaboration,3
mitigate,1
advantaged technology,2
plastic waste,2
a founding member,1
an organization,1
the environment,3
heavy equipment,1
nonprofit ocean research,1
telecommunication,1
insurance,3
computer,1
hardware,1
software,3
consulting,1
years average tenure,1
standing,1
the fiscal year,1
the transition,1
period,37
name,1
registrant,1
charter,1
other jurisdiction,1
incorporation,1
principal executive,1
telephone,1
number,2
code,1
pursuant,5
each class,1
par value,3
check,8
mark,8
the registrant,11
a wellknown seasoned issuer,1
section,15
such filing,1
this chapter,1
filer,6
a nonaccelerated filer,1
reporting,6
the extended transition,1
financial accounting,1
a report,1
attestation,1
assessment,8
the effectiveness,10
internal control,16
the registered public accounting,1
firm,8
audit report,1
a shell,1
the aggregate,1
stock,19
the last business,1
