token,frequency
committed,1
world,2
premier,1
petroleum,1
petrochemical,1
company,1
to,1
end,1
must,2
continuously,1
achieve,1
superior,1
financial,1
operating,1
result,1
adhering,1
highest,1
standard,2
business,1
conduct,1
these,1
unwavering,1
expectation,1
provide,1
foundation,1
commitment,1
interact,1
fundamental,1
economy,1
improving,1
living,1
around,1
globe,1
requires,1
affordable,1
reliable,1
energy,2
providing,1
enormous,1
challenge,1
one,1
met,1
practically,1
safely,1
environmentally,1
socially,1
responsible,1
manner,1
