token,frequency
securities,64
dc,14
form,126
k,311
annual,47
report,115
pursuant,109
to,37
section,31
or,5
of,30
exchange,31
act,112
for,192
fiscal,32
year,293
ended,102
december,497
transition,23
period,240
file,22
number,97
name,8
registrant,16
specified,67
charter,41
chartered,3
corporation,22
th,8
state,33
jurisdiction,4
incorporation,1
organization,48
address,27
principal,210
executive,378
office,17
including,324
zip,1
code,10
registrants,1
telephone,1
area,50
registered,24
b,24
class,28
none,10
trading,47
g,5
without,47
par,10
value,512
preferred,448
stock,563
series,70
t,4
stated,41
per,58
share,185
mandatory,6
convertible,12
fixedtofloating,1
noncumulative,8
s,3
r,9
q,36
p,3
o,4
n,3
m,7
l,3
i,6
h,3
f,102
e,5
d,4
check,8
mark,15
wellknown,1
seasoned,4
issuer,6
defined,25
rule,84
yes,4
no,10
þ,5
indicate,7
required,130
whether,75
ha,204
filed,82
preceding,18
month,41
shorter,4
wa,276
subject,124
filing,24
requirement,147
past,35
day,52
submitted,8
electronically,2
every,10
interactive,3
data,92
regulation,77
st,1
chapter,1
submit,17
large,26
accelerated,9
filer,8
nonaccelerated,2
smaller,9
reporting,88
company,233
emerging,10
growth,29
see,69
definition,7
if,77
elected,18
use,131
extended,5
complying,3
new,141
revised,14
financial,626
accounting,114
standard,100
provided,85
shell,1
the,786
aggregate,60
market,377
common,165
held,134
nonaffiliates,1
computed,2
reference,100
last,18
reported,69
sale,144
price,135
quoted,12
operated,8
june,46
business,682
recently,15
completed,33
second,25
quarter,87
approximately,62
billion,260
as,224
january,64
outstanding,167
part,63
ii,4
item,38
introduction,2
summary,44
managing,38
mortgage,1058
securitizations,20
conservatorship,284
employees,1
where,3
you,6
can,3
find,7
forwardlooking,18
statements,87
a,67
risk,913
factors,26
unresolved,3
staff,4
comments,2
properties,4
legal,60
proceedings,4
mine,1
safety,10
disclosures,4
selected,14
managements,6
discussion,65
analysis,41
condition,201
results,17
operations,14
key,42
indicators,5
consolidated,362
liquidity,142
capital,202
management,344
offbalance,22
sheet,118
arrangements,12
critical,26
policies,36
glossary,6
terms,25
used,97
this,76
quantitative,7
qualitative,8
supplementary,2
changes,16
disagreements,1
accountants,1
disclosure,75
controls,6
procedures,10
other,202
information,239
iii,2
directors,55
officers,25
corporate,97
governance,64
page,4
compensation,344
committee,69
assessment,70
tables,16
security,758
ownership,40
certain,139
beneficial,23
owners,3
related,195
stockholder,33
matters,5
relationships,5
transactions,19
director,169
independence,31
relating,98
persons,7
iv,2
exhibits,6
statement,163
index,16
we,706
fhfa,98
acting,22
conservator,136
since,62
september,117
succeeded,4
right,77
title,13
power,44
privilege,7
shareholder,37
officer,191
respect,53
asset,357
exercise,31
authority,49
our,329
fiduciary,5
duty,42
person,19
entity,84
except,36
accordingly,37
obligated,15
consider,32
interest,425
holder,56
equity,59
debt,444
unless,24
specifically,11
directed,32
know,8
terminate,20
change,294
made,51
following,142
current,131
hold,44
u,367
terminated,17
continue,90
exist,12
released,12
plan,171
housing,183
finance,61
reform,41
includes,114
recommendation,24
ending,21
established,28
performance,188
objective,76
include,135
preparing,7
eventual,8
exit,28
administration,7
option,47
system,69
permitted,21
retain,46
reserve,98
pay,66
dividend,155
distribution,23
agreement,377
covenant,17
significantly,55
restrict,8
activity,195
additional,128
uncertainty,32
future,150
recent,47
development,24
based,209
expectation,16
significant,150
circumstance,37
describe,22
businessforwardlooking,1
event,122
result,350
may,434
differ,10
materially,44
reflected,15
due,138
variety,17
factor,112
discussed,26
elsewhere,3
mda,83
leading,4
source,25
financing,19
earnings,32
primarily,121
driven,50
guaranty,344
fee,187
receive,64
credit,675
mortgagebacked,34
issue,88
mission,22
provide,123
stable,6
support,97
low,26
moderateincome,9
borrower,189
renter,6
operate,25
secondary,26
working,17
lender,213
originate,11
loan,1520
lend,2
money,3
directly,42
primary,127
instead,3
securitize,27
originated,18
guarantee,51
refer,27
mbs,137
purchase,324
mortgagerelated,102
securitization,111
later,12
date,118
manage,79
engage,24
access,46
supply,13
affordable,49
through,8
single,37
family,47
multifamily,385
segment,45
enabled,2
million,221
home,107
refinancings,8
rental,20
unit,34
over,7
unpaid,141
balance,286
units,1
purchases,7
singlefamily,465
please,1
read,5
together,20
accompanying,8
note,59
dollars,98
net,419
