token,frequency
movement,4
human progress,4
the beginning,3
today,2
a smart world,7
mission,6
the center,1
everything,1
the world,18
plan,55
portfolio,23
new propulsion,1
a highvalue autonomous business,1
mobility,25
revenue,48
the engine,1
future,4
a role,2
this mission,1
every area,1
business,86
a smarter,3
top,1
fullyelectric performance,1
utility,4
micromobility,1
different future,1
available online,2
share,54
net income,34
attributable,17
company,24
operating,75
cash,165
flow,49
trusted company,4
vision,2
the future,21
transportation,4
neighborhood,1
this former railroad,1
station,1
the centerpiece,1
a vibrant new campus,1
electric vehicle,2
design,6
a transportation,1
system,10
convenient,1
a collection,1
a magnet,1
talent,1
a catalyst,1
change,15
new mobility,1
campus,1
past,2
a small factory,1
mass,1
production,41
the first affordable car,1
the 0st century,1
internal combustion,5
engine,7
automobile,4
smart public transit,1
home,2
the air,1
everyone,1
access,9
the efficiency,2
focus,3
traditional automotive business,1
the same time,6
sustainable mobility,1
a leader,1
the mobility,2
tomorrow,1
this vision,1
a reality,1
ninth consecutive year,1
positive operatingrelated cash,1
last year,2
a total,3
the nearer term,1
percent,6
north american vehicle,1
lineup,3
volume,50
radar,1
mapping,1
artificial intelligence,1
a strategic alliance,1
powertrain,1
sharing,1
connected vehicle,1
an alliance,1
pickup,2
this alliance,1
scale,3
vehicle,80
competitive advantage,1
forward,4
the trust,1
a century,1
the end,14
the introduction,4
this year,3
form,12
board,5
product,22
consistent,2
electrification,6
leadership,4
team,6
family,1
that trust,1
support,6
performance,25
capital,32
autonomous vehicle,9
investment,46
letter,1
exciting time,1
the transportation,2
sector,1
freedom,1
industry,30
the midst,1
profound change,1
anything,1
aspiration,2
record,4
safer,3
technology,16
the auto,2
history,6
this disruption,2
innovation,2
the promise,2
a deep need,2
the pairing,2
the industry,6
intelligent world,1
the opportunity,2
significant value,1
r,26
d,16
p,7
lo,1
e,22
passion,1
deep customer,1
a fresher,1
targeted vehicle,1
a presence,1
current product,1
customer,24
interest,144
commercial vehicle,2
franchise,1
streams,1
a compelling,1
propulsion,1
companys commitment,1
part,36
this strategy,3
nextgeneration,1
a blend,1
nocompromise,1
capability,2
efficiency,13
a r,3
t,2
o,10
b,30
i,18
a cq,1
u,1
s,24
n,1
ci,1
co,4
a s,1
le c,1
tr,1
s co ote,1
rs,1
h,3
ar,2
g,3
m,5
any th,1
ov,1
cu,3
e r,2
a n alte,1
n ati,1
ve,4
f,6
s tan,1
la,1
s tm,1
tra n s,1
tati,1
building,1
a healthy business,1
a financial standpoint,1
a disappointing year,1
no question,1
a year,8
progress,6
the global redesign,1
every market,1
electric utility,1
focused vehicle,1
stunning design,1
the business,9
the restructuring,1
decision,3
unit,15
the company,8
complexity,5
global orderto,1
delivery,2
efficient product,1
development,27
alliance,2
a plan,7
the technology,1
user experience,1
the massive potential,1
great progress,1
this front,1
the human need,1
this new technology,1
every choice,1
a portfolio,3
successful mobility,1
example,17
work,1
every new vehicle,1
cloud,1
connectivity,1
escooter company,1
smarter world,1
deliver,1
lastmile mobility,1
ln,1
n c,1
th,1
alln,1
ew,2
a n d,2
co r,1
a th,1
s t,1
a ny n,1
i cle,1
u i,1
u r,1
the foundation,2
dynamic business,2
a business,7
k,1
g w,1
ith,1
tm,1
ate,2
a n o,1
n d,1
li,2
y,2
lat f,1
a s e,1
lf,1
v,1
failure,2
instance,1
nonemergency,1
medical transport,1
the culture,1
the strong ethos,1
this company,1
that end,1
an organizational redesign,1
workforce,2
the core,1
a trusted company,1
bureaucracy,1
the focus,1
full execution,1
mode,1
clear direction,1
a sense,1
urgency,2
use,15
innovating,1
integrity,2
a long history,1
sound corporate governance,1
longterm value,1
core,1
fit,1
space,4
risk,65
a transparent,1
accountable way,1
optimized leadership,1
structure,8
the organization,1
strategic plan,1
the chairman,2
the board,2
a lead independent director,1
management,51
a diverse range,1
international executive,1
experience,11
finance,50
marketing,4
government,49
global leadership,1
special attention,1
review,5
environment,4
this process,3
a review,3
the status,2
compensation,10
executive behavior,1
improved financial performance,1
the long term,3
executive,6
an annual sayonpay,1
vote,1
the compensation,2
a culture,1
compliance,13
proxy statement,1
visit,3
corporatefordcom,1
ld,1
a d,1
q,1
te,1
sustainability,3
journey,1
recognition,6
the scale,1
climate,4
the commitment,1
world,1
global reach,1
positive impact,1
drive human progress,1
corporate responsibility,1
supply,4
chain,2
report,7
commitment,2
course,1
the road,1
responsible development,1
the selfdriving,1
car,5
carbon,1
dioxide,1
manufacturing,19
reduction,7
goal,1
schedule,5
first formal human,1
saliency,1
assessment,4
line,7
guiding,1
framework,5
responsible sourcing,1
severe negative impact,1
action,7
reporting,4
program,16
the help,1
the firstofitskind,1
education,1
the royal decree,1
the ban,1
a driving,1
license,1
the country,4
a deep understanding,1
safe driving,1
practice,3
overall environmental impact,1
community,1
sustainabilityfordcom,1
pursuant,17
the fiscal year,1
the transition,1
period,30
file,2
number,7
name,6
charter,1
incorporation,1
principal executive,2
telephone,1
area,2
code,1
each class,1
each exchange,1
par,3
value,73
check,8
mark,8
the registrant,15
a wellknown seasoned issuer,1
section,15
such filing,1
this chapter,2
disclosure,11
herein,3
definitive proxy,1
information,26
reference,18
any amendment,2
filer,6
a nonaccelerated filer,1
growth,21
the extended transition,1
financial accounting,2
a shell,1
price,34
that date,2
the aggregate,7
market,71
no quoted market,1
class,13
any time,4
an equal number,1
the purpose,4
the sale,16
other disposition,1
any such person,1
an affiliate,1
ownership,3
such document,1
page,5
the year,63
table,7
a global company,2
a full line,2
luxury,2
addition,40
