token,frequency
ford,36
motor,36
company,36
f,18
o,90
r,72
d,18
m,36
t,36
c,18
p,36
a,54
n,54
y,18
u,18
l,18
e,18
one,18
road,18
dearborn,18
mi,18
wwwcorporatefordcom,18
usa,18
postconsumer,18
waste,18
paper,18
please,18
recycle,18
am,2
cidcidcidcidcidcidcidcidcidcidcidcidcid,146
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,51
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,61
cidcidcidcidcidcidcidcidcidcid,312
cidcid,2200
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,17
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,43
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,12
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,46
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,44
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,81
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,22
cidcidcidcidcidcidcidcid,621
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,73
cid,3917
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,94
cidcidcidcidcidcidcidcidcid,243
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,35
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,46
cidcidcidcidcid,631
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,41
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,27
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,108
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,43
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,166
cidcidcidcid,1678
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,34
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,100
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,55
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,74
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,74
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,17
cidcidcidcidcidcidcidcidcidcidcidcid,218
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid,229
