token,frequency
wwwgazpromcom,24
gazprom,1280
r,284
p,128
e,301
l,122
u,75
n,261
a,65
z,2
g,104
c,173
s,18
j,4
years,1
business,102
over,20
past,12
year,149
unified,6
global,60
energy,160
company,153
ha,131
successfully,17
built,6
disparate,1
facility,141
run,15
former,2
linked,2
process,56
chain,8
the,520
resource,35
base,17
system,94
retained,3
also,73
greatly,1
enhanced,1
expansion,43
new,106
production,364
region,113
use,63
advanced,15
often,1
unique,10
technology,56
took,8
gas,1014
transportation,101
entirely,1
level,29
through,3
growing,11
oil,234
evolved,2
one,37
russias,12
leading,16
in,232
line,24
strategic,37
objective,26
diversi,1
fication,1
confidently,1
expanded,7
power,89
market,126
becoming,4
largest,41
generator,5
implementing,18
dozen,1
project,202
many,4
country,118
across,56
continent,2
continuously,7
consolidating,1
position,17
ever,4
conscious,1
corporate,108
social,40
responsibility,20
annually,8
hundred,3
initiative,29
pro,26
mote,1
culture,6
sport,31
provide,32
support,62
people,16
fifteen,1
facili,3
tie,4
cultural,11
site,13
renovated,3
programme,147
alone,1
pjsc,462
this,18
prepared,10
based,47
gazproms,163
management,261
committee,80
on,21
holding,21
dated,122
january,14
term,37
used,45
refer,2
parent,3
ie,6
open,11
joint,79
stock,20
jsc,20
june,33
mean,8
aggregate,17
entity,68
includes,8
subsidiary,112
for,66
purpose,11
list,22
groups,152
associate,18
venture,19
well,106
investment,87
classified,35
operation,150
principle,32
preparation,21
ifrs,12
consolidated,13
financial,74
statement,19
similarly,2
neft,31
group,96
energo,3
refers,2
energoholding,22
neftekhim,17
salavat,3
annual,56
report,44
determines,5
operating,53
economic,40
parameter,8
accordance,18
included,21
ended,2
december,129
therefore,5
may,54
differ,8
similar,6
statutory,5
requirement,37
moreover,3
determined,9
underlying,4
reporting,61
calculated,15
using,22
method,15
might,1
comparable,5
due,54
difference,4
methodology,2
preparing,4
analysis,10
result,38
read,1
conjunction,1
audited,3
consolid,1
ated,2
thing,4
discloses,1
information,54
future,13
activity,56
forecast,9
estimate,13
considering,2
current,24
situation,4
actual,24
said,4
effect,9
various,5
factor,16
chairman,77
dear,2
shareholders,15
february,24
marked,1
th,16
anniversary,1
these,12
saw,6
evolve,1
national,18
leader,13
industry,40
strong,14
efficient,17
diversified,3
major,55
player,3
establish,3
develop,27
hub,25
we,5
high,24
tech,3
pipeline,145
brought,4
underground,32
storage,84
deliverability,8
established,17
export,56
route,24
far,49
abroad,63
almost,6
doubled,2
wa,215
first,41
launch,12
supply,132
number,78
international,60
hydrocarbon,73
exploration,57
produc,12
