token,frequency
refer,1
the parent,1
company,17
an aggregate,2
the princi,1
the preparation,1
some operating,2
accordance,20
enti,1
the year,24
russian statu,1
tory,1
management,78
reporting,7
consoli,1
manage,5
ment,22
conjunction,1
information,41
the future,4
production,235
the current situation,1
fore,1
the effect,2
the reporting,30
year,53
an impressive operational performance,1
bcm,99
gas,586
bcm yearonyear,1
substantial progress,1
field,77
core field,1
design,5
capacity,71
the field,3
the peninsula,1
fullscale,1
development,51
launch,2
an important step,1
hub,7
a strong focus,1
compressor,16
sta,2
pipeline,74
a new hightech,1
construction,55
the gas,32
pipe,10
line,38
the seaport,3
point,2
deepwater,2
installa,1
tion,16
high consumer,1
demand,25
supply,52
the region,4
installation,6
another export,1
schedule,3
trunk pipeline,1
a pipe diameter,1
mm,66
a depth,1
the pipe,1
a rate,2
day,2
a world,1
record,5
energy,89
security,5
domestic gas,8
a record,4
high,2
the third year,2
share,66
an alltime high,2
the asian market,1
route,7
onsite equipment,2
the linear section,3
the border,3
station,21
the share,22
the production,22
natural gas,119
importer,4
this trend,1
consumption,47
the countrys,4
domestic production,7
the agenda,4
chinese partner,1
strong focus,2
the oil,11
power,56
generation,67
tremendous long term,1
business,87
oil,127
refining,13
the industry,4
efficiency,24
exploration,36
a major discovery,1
the global oil,1
industry,17
energoholding,3
heat,43
electricity,31
the launch,5
the final step,1
the ambitious investment,1
programme,21
a total,11
installed electrical capacity,7
active contribution,1
economic growth,3
a top priority,1
project,35
this area,1
russian re,2
grid,1
a result,7
infrastructure,41
cover,1
age,3
expansion,17
living,2
a powerful impetus,1
industrial growth,1
focus,3
import,18
substitution,8
breakthrough technology,1
a number,19
the accelerated devel,1
opment agenda,1
technology,18
ex,3
leadership,10
success,4
outstanding financial performance,1
profit,23
attributable,3
history,4
efficient business,2
clear goalsetting,1
strong performance,2
stable growth,1
o,236
i,140
a m,40
r,174
n,69
a p,17
m,34
market,49
capitalisation,10
bn,86
revenue,30
net revenue,43
crude oil,20
condensate,69
transportation,69
total headcount,2
cost,16
debt,16
russian classification,1
efficient,2
other energy,1
a leader,3
global energy,2
certification,5
compliance,37
national sustainability,1
hydrocarbon,36
free cash,5
flow,11
processing,43
net debt,6
the ratio,2
structure,6
cash,11
agency,2
date,15
foreign currency,5
rating,6
stable outlook,8
positive outlook,2
the cumulative shareholding,1
direct addition,1
the full ownership,2
stake,4
recognised sustainability,1
dividend,21
policy,17
commitment,2
longterm growth,2
shareholder,10
public nonfinancial reporting,1
injury,5
frequency,3
rate,37
yield,4
relative greenhouse,1
baseline,3
toe,3
the relevant period,2
a ratio,3
total dividend,2
the relevant year,2
price,37
the world,5
geography,3
marketing,11
major production,2
operation,17
storage,36
region,20
projected power,1
trunk,28
t,100
n gio,1
a ore,1
s,115
ntrie e,1
ciﬁ,2
u o,5
er,1
a sia,1
gio s,1
a ntrie e,1
u,1
uth,1
d,77
oth,1
sia,2
th,1
refiningprocessing,1
chemical,8
access,11
the refinerys,1
chemistry,1
regasification,9
export,26
terminal,6
plant,27
shipping,7
complex,9
section,42
the global leader,3
national oil,1
major global public oil,1
supplier,5
the absolute leader,1
the russian market,5
major public oil,3
data,6
global natural gas,2
other major public oil,1
comparability,2
total length,3
system,35
total gas,4
major gas,6
the time,7
the russian standard,1
value,24
cu,3
portfolio,11
account,20
participation,9
the total gas,2
russia,1
stable gas,10
russian oil,3
total oil,1
the liquid,1
leader,2
installed capacity,2
output,17
electrical capacity,7
total electricity,2
uninterrupted supply,1
integrated business,1
model,4
strategic goal,1
reliability,3
complement,1
the same time,7
each element,1
a complex system,1
accumulated experience,1
knowledge,7
the focus,1
the founda tion,1
longterm,5
a major global energy,1
performance,36
a great number,1
other gas,2
reﬁning,2
petrochemical production,2
distribution,26
a strong reputation,1
capital,36
aggregate,2
underground,1
underground storage,4
the start,4
the autumn,1
winter,5
period,11
associated gas,12
active gas,1
reserve,9
replacement,8
ratio,11
active oil,1
crude,5
a helium,1
pretransportation,2
preparation,4
stabilisation,3
the russian classification,1
total,4
a reliable supplier,1
international capital,2
contribution,2
the energy,9
other highquality,1
economic potential,1
investment,20
activity,7
improved business,1
environment,10
job,1
creation,2
training,7
tax,29
land,6
environmental protection,13
sustainable use,3
transport,4
economic infrastructure,1
education,9
science,3
culture,4
control,18
equipment,27
the company,23
the global energy,6
core,5
addition,10
top oil,1
number,9
installed heat,1
the geography,2
a player,1
trade,7
the development,16
shelf,4
new gas,8
largescale gas,1
infra,1
underwater production,1
extraction,3
abovewater,1
first largescale,1
this success,1
strategy,9
tight vertical integration,1
sound,1
governance,4
a firm foundation,1
equal footing,1
pursuant,5
shipment,2
an asian market,1
tanker,1
the resolution,1
the implemen tation,2
producer,2
stream,4
international gas,1
asset,13
swap,2
a platform,2
further development,2
the law,3
the acquisition,1
lin,1
transmis,1
sion,4
the first string,1
full design,1
produc,4
an underwater production,1
skoye field,1
the deal,1
the owner,2
the construction,22
the laid,1
the foundation,1
stone,1
facility,15
an essential part,2
the pro cess,1
chain,6
com,5
additional gas,1
support,18
the commissioning,5
a new route,1
transit,11
the mountainous part,1
first coal,1
bed,1
methane,5
pavlovskkamchatsky trunk,1
first natural gas,2
the capital,2
chatka,1
genera,1
powerful combined cycle,1
turbine,2
unit,49
new major gas,1
a contract,4
con,5
tract,2
tcm,3
kind,1
the entire history,1
sian gas,1
the first joint,1
hubs,5
a unique oil,1
load,4
the first time,5
sea,1
ment commercial production,1
the deepwater,4
the offshore installation,2
final gas,2
site,8
the core,3
sup,1
ply,1
work,12
a new export,1
the new pipeline,1
a direct connection,1
the high reliability,1
spective gas,1
