token,frequency
a hallmark year,1
business,1
position,1
the global energy,1
industry,1
the russian economy,1
the firstever,1
russian pipeline,1
gas,15
promising gas,1
pipeline,4
the mainstay,1
a new powerful system,1
supply,2
the construction,3
a new hightech,1
the launch,1
commercial gas,1
energy,1
low carbon,1
footprint,1
line,1
history,1
reputation,1
a responsible supplier,1
market,2
demand,1
a wide choice,1
contract,1
the extension,1
transportation,1
an important factor,1
this context,1
bcm,1
level,1
field,3
significant contributor,1
production,2
a core,1
asset,2
infrastructure,4
construction,2
another core,1
a giant gasbearing,1
basin,1
the year,2
the capacity,1
order,1
the eastern route,1
the preinvestment,1
phase,1
revenue,1
processing,1
natural gas,1
project,2
completion,1
end0,1
complex,1
the domestic demand,1
a priority,1
domestic gas,1
the future,1
reliability,1
example,1
an offshore,1
storage,1
regasifi cation,1
unit,1
the creation,1
this alternative supply,1
option,1
the energy,1
security,1
the region,1
a special focus,1
the expansion,2
signifi cant,1
total gas,1
network,1
km,1
the gas,1
penetration,1
rate,1
the necessary environment,1
the countrys,1
quality,1
life,1
industrial output,1
the support,1
work,1
new gas,1
expansion,1
the fi veyear term,1
another highlight,1
the successful completion,1
largescale power,1
generation,1
capex,1
programme,1
summer,1
fi,1
international power,1
plant,1
operational performance,1
annual production,1
oil,1
equivalent target,1
the subsidiary,1
this target,1
further integration,1
broad experience,1
expertise,1
complex hydrocarbon,1
the company,1
a considerable safety,1
margin,1
effi,1
ciency,1
all business,1
excellence,1
corporate governance,1
the global economy,1
progress,1
was a hallmark year,1
develop the russian economy,1
launched the firstever,1
became the mainstay,1
finished the construction,1
exporting gas,1
seeing the launch,1
continued the construction,1
taking low carbon,1
offering a wide choice,1
started field,1
is a giant gasbearing,1
entered the preinvestment,1
supplied the domestic demand,1
is a priority,1
secure domestic gas,1
enhancing supply,1
oating storage,1
improved the energy,1
placed a special focus,1
creating the necessary environment,1
improve the countrys,1
started work,1
is the successful completion,1
commenced the construction,1
rst international power,1
reach this target,1
develop complex hydrocarbon,1
maintaining a considerable safety,1
achieving excellence,1
making progress,1
business strengthen,1
pipeline became,1
pipeline linking,1
field is,1
production serving,1
production hub,1
pipeline entered,1
natural gas produced,1
complex is already,1
the future enhancing,1
gas receiving,1
option has fundamentally,1
project covered,1
network grew,1
infrastructure is,1
fi rst,1
the company continues,1
margin improving,1
