token,frequency
dear,2
shareholders,2
in,6
many,1
respect,1
wa,2
hallmark,1
year,7
gazprom,12
company,2
implemented,1
strategic,2
project,4
diversify,1
business,2
strengthen,1
position,1
global,2
energy,3
industry,1
develop,2
economy,2
launched,1
firstever,1
pipeline,5
gas,22
supply,10
one,2
world,1
promising,1
market,3
having,1
commissioned,3
became,1
mainstay,1
new,5
powerful,1
system,1
export,2
eastern,2
region,4
finished,1
construction,5
hightech,1
exporting,1
january,2
seeing,1
launch,1
commercial,1
across,3
also,2
continued,4
linking,1
germany,1
via,1
taking,1
low,1
carbon,1
footprint,1
route,2
fully,2
line,2
interest,1
customer,2
bcm,2
best,1
result,1
history,1
the,11
live,1
reputation,1
responsible,1
supplier,1
flexibly,1
responding,1
demand,2
offering,1
wide,1
choice,1
contract,2
term,2
extension,1
transportation,1
negotiated,1
important,1
factor,2
context,1
produced,2
highest,1
level,1
last,1
eight,1
starting,1
field,3
becoming,1
increasingly,1
significant,1
contributor,1
production,3
serving,1
core,2
asset,2
hub,1
ha,8
already,2
started,2
infrastructure,4
kharasaveyskoye,1
another,2
yamal,1
megaproject,1
giant,1
gasbearing,1
basin,1
international,2
consumer,1
during,1
actively,1
ramp,1
capacity,2
transmission,1
corridor,1
baltics,1
order,1
entered,1
preinvestment,1
phase,1
stream,1
revenue,1
group,1
coming,1
include,1
processing,2
recovering,1
valuable,1
component,1
natural,1
completion,2
plant,2
gpp,1
stood,1
end,1
first,1
train,1
early,2
complex,2
stage,1
previous,1
supplied,1
domestic,2
priority,1
continue,1
secure,1
future,1
enhancing,1
reliability,1
creating,2
option,2
for,1
example,1
since,2
able,1
draw,1
offshore,1
receiving,1
terminal,1
fl,1
oating,1
storage,1
regasifi,1
cation,1
unit,1
creation,1
alternative,1
fundamentally,1
improved,1
security,1
historically,1
placed,1
special,1
focus,1
expansion,3
this,1
socially,1
signifi,1
cant,1
covered,1
focused,2
primarily,1
rural,1
area,1
total,1
network,1
grew,1
km,1
cover,1
location,1
as,1
penetration,1
rate,1
reached,1
fi,3
rst,2
foremost,1
necessary,1
environment,1
improve,1
country,1
quality,1
life,1
boost,1
industrial,1
output,1
with,1
support,1
regional,1
authority,1
work,1
programme,2
veyear,1
highlight,1
successful,1
groups,2
largescale,1
power,2
generation,1
capex,1
energoholding,2
built,1
close,1
gw,1
advanced,1
generating,1
including,1
summer,1
commenced,1
pao,1
neft,1
improving,2
operational,1
performance,1
consistently,1
ramping,1
annual,1
million,1
tonne,1
oil,1
equivalent,1
target,2
subsidiary,1
reach,1
among,1
integration,1
operation,1
decided,1
use,1
nefts,1
broad,1
experience,1
expertise,1
hydrocarbon,1
deposit,1
continues,1
steadily,1
grow,1
maintaining,1
considerable,1
safety,1
margin,1
effi,1
ciency,1
achieving,1
excellence,1
corporate,1
governance,1
headwind,1
faced,1
prevent,1
making,1
progress,1
towards,1
longterm,1
goal,1
