token,frequency
high quality,1
energy,1
business,1
care,1
a leader,1
efficiency,1
stable growth,1
the company,1
a large russianbased international player,1
diversified portfolio,1
the context,1
the entire value,1
chain,1
regional development,1
a high degree,1
environmental responsibility,1
conduct business fairly,1
take care,1
be a leader,1
become a large russianbased international player,1
efficiency guaranteeing longterm,1
a large russianbased international player owning,1
