token,frequency
to,2
offer,1
consumer,1
high,2
quality,1
energy,1
resource,1
conduct,1
business,1
fairly,1
responsibly,1
take,1
care,1
employee,1
leader,1
efficiency,1
guaranteeing,1
longterm,1
stable,1
growth,1
company,1
become,1
large,1
russianbased,1
international,1
player,1
owning,1
regionally,1
diversified,1
portfolio,1
in,1
context,1
report,1
subsidiary,1
affiliate,1
gazprom,1
neftassets,1
across,1
entire,1
value,1
chain,1
actively,1
participating,1
regional,1
development,1
degree,1
social,1
environmental,1
responsibility,1
