token,frequency
everyday life,11
total shareholder,1
a strong investment,1
grade,13
rating,18
a responsible operator,4
glencorecom,5
regardless,7
location,12
role,23
the heart,3
culture,29
the way,6
business,198
safety,46
work,36
the courage,1
hard,1
respect,78
unnecessary complexity,1
look,2
responsibility,14
environmental performance,7
honest,1
straightforward,1
information,55
encouraging dialogue,1
feedback,3
value,138
year,86
artisanal mining,1
page,86
journey,2
net,80
model,36
natural resource,2
office,15
sustainability,22
reduction,40
net lossincome,1
equity,89
capital,110
purchase,11
sale,68
property,44
plant,70
equipment,71
total,8
time,47
injury,7
frequency,12
rate,92
total recordable injury,4
debt,24
introduction,1
case,17
market,113
strategy,68
a sustainable future,3
change,86
performance,113
statement,29
stakeholder,10
marketing,77
management,162
governance,25
report,97
committee,27
remuneration,51
plc,24
income,158
comprehensive income,7
financial position,31
cash,188
additional information,3
quarter,5
alternative performance,5
refer,13
section,47
explanation,2
use,40
reconciliation,16
debtnet debt,1
ratio,10
annual report,6
a discussion,2
the need,13
clear purpose,1
aligned culture,1
a sustainable business,1
a perfect example,1
a positive outlook,1
the beginning,5
the year,156
an unprecedented challenge,1
the world,30
protect,1
a range,22
the incidence,1
production,210
the collateral impact,1
a group,1
the rapid shift,1
distribution,31
structure,24
a reduction,5
net debt,46
back,1
target,27
range,24
end,35
the effective operation,1
control,54
mechanisms,1
reporting,28
assurance,13
compliance,86
exceptional stress,1
the combination,3
empowered business,1
central governance,1
support,30
appropriate way,1
situation,1
spite,1
backdrop,2
retirement,5
the first half,8
this year,16
the succession,1
plan,50
the senior business,1
leadership,13
team,36
principal senior business,1
a period,7
a material,6
risk,198
continuity,4
a testament,1
a seamless succession,1
the next generation,2
tomorrow,1
retire,1
ethical company,1
a positive culture,1
the considerable ongoing work,1
the rollout,1
campaign,4
direct engagement,2
workforce,20
last year,13
the future,13
response,34
the government,3
the timing,13
outcome,6
ambition,24
a leader,6
the decarbonisation,6
energy,49
usage,9
the global effort,7
own operational footprint,3
commitment,29
a net zero,3
footprint,19
thereby,1
a trajectory,1
the transition,23
the final part,1
the generational shift,1
a new executive,1
exceptional new management,1
place,38
society,9
the challenge,1
population,7
carbon,28
an important role,1
this endeavour,1
source,6
the benefit,6
ceo designate,1
this business,1
every confidence,2
the strong foundation,1
statementsgovernancestrategic report,1
the global economy,7
pandemic,10
an extraordinary challenge,1
top priority,1
the safety,7
health,36
line,43
regional guidance,1
assessment,42
the majority,17
implementation,18
industry,35
mine supply,6
disruption,3
the initial demand,1
shock,3
the corresponding slowdown,1
global economic activity,1
demand,132
rapid recovery,1
material,56
global central bank,1
governmental fiscal support,2
supply demand,3
favourable sector,1
sentiment,1
price,117
momentum,3
yearonyear,1
this outcome,1
recessionary pricing,1
the end,36
pricing,15
c0,5
pressure,4
reduced economic activity,1
trade,30
force,2
the last twelve,1
global momentum,1
consensus,1
agreement,5
net zero,15
global carbon,1
neutrality,2
decarbonisation,15
contribution,19
a holistic approach,3
a supportive policy,8
environment,39
zero,26
meeting,6
reliable energy,3
the economy,1
a key global challenge,1
the supply,8
acceleration,3
such transition,1
order,25
annual average mine supply,1
growth,35
supply,73
pathway,8
scenario,32
a lowcarbon economy,8
copper,69
nickel,24
zinc,33
vanadium,7
cobalt,35
investment,46
addition,45
recycling,5
a fundamental role,1
the circular economy,4
new metal,1
consumption,9
waste,1
generation,25
natural gas,4
oil,58
primary energy,2
global energy,9
some contribution,1
all plausible climate,1
an affordable secure,1
industrial development,1
the primary pathway,1
key infrastructure,1
economic growth,1
thermal coal,23
the region,3
the medium term,6
term,17
coal,96
underway,1
a key determinant,1
the continued operation,2
responsible stewardship,2
a commitment,5
decline,7
portfolio,36
a focus,5
highquality,3
an example,2
the recent announcement,1
the process,8
mining,42
climate,48
intention,3
part,57
the solution,1
resilient business,1
capex,4
a material portion,1
the impact,26
the business,45
the second half,8
commodity,85
recovery,12
flat yearonyear net income,1
a net loss,1
attributable,20
colombian coal,6
african oil,1
supportive market,1
result,6
conjunction,6
agriculture,1
guidance,23
extent,12
yearonyear production,1
stopped,2
reduced work,3
various marketrelated coal,1
a notable improvement,1
coppercobalt,3
asset,36
a material turnaround,1
a loss,5
further throughput,1
optimisation,3
processing,20
an agreement,10
interest,132
completion,9
the second quarter,3
the strong second half,1
related marketing,1
funding,17
account,28
base,21
metal,69
the start,3
illustrative,2
free cash,4
flow,57
spot,3
credit,130
the middle,3
a mediumterm,1
the range,9
closer,4
a responsible manner,2
an extensive process,1
the dignity,1
transform artisanal mining,2
child,7
labour,5
security,17
a priority,4
the tragic loss,1
this performance,1
an enhanced fatality,1
programme,57
the relaunch,1
the necessary stepchange,1
a fatalityfree business,1
experience,26
the resource,5
sector,12
great benefit,1
board,4
statementsgovernanceadditional informationstrategic,34
the uncertainty,3
overall financial position,3
period,49
share,119
attributable free cash,2
priority,1
additional deleveraging,1
the c0,1
lease,15
operating,36
track,2
outlook,14
the time,26
topup shareholder,1
an internal assessment,1
appropriate equity,1
trading,16
the inherent cyclical nature,1
volatility,19
hand,3
successor,3
this transition,7
dedication,1
success,6
date,49
appointment,11
a seamless,1
senior management,29
transition,29
next generation,1
the strength,3
depth,1
a feature,1
a century,1
a physical trader,1
integrated natural resource,1
the expected resource,1
sustainable longterm value,1
netzero,1
unique portfolio,1
a low carbon,6
economy,15
leader,3
key milestone,1
the ambition,3
strong diversification,1
geography,2
activity,12
major supplier,1
mobility,4
high return,1
extraction,4
customer,12
a major producer,3
the infrastructure,1
battery,10
chemistry,2
power,21
storage,30
cashflow,1
a unique marketing,1
the entire supply,2
chain,21
a decarbonisation,1
significant cash,1
shareholder,15
potential,3
a marketer,3
climate strategy,1
the fullrange,1
physical arbitrage,1
financing,23
policy,49
a fixed payout,1
prior year,3
accumulation,1
balance,14
sheet,12
surplus capital,1
future commodity,2
a global temperature,2
rise,14
fossil fuel,5
pace,2
greenhouse,4
gas,15
the targeting,2
the global temperature,2
this century,2
pursue,2
the temperature,2
increase,9
timing,7
the economic cycle,6
new mine,4
the procyclical nature,2
the long development,2
excess supply,3
the market,21
total capital,2
expenditure,53
average,6
c0bn,2
the last decade,2
significant growth,2
rapid growth,2
this period,6
half,3
global demand,7
this growth,2
all potential decarbonisation,2
nonfossil fuel,2
the cost,16
monitoring,21
approach,48
renewable energy,6
renewable energys,1
disciplined approach,3
allocation,10
prolonged period,2
low commodity,2
the unpredictability,3
the experience,3
the last economic cycle,2
increased investor,2
cautious capital,1
efficientlower,2
new supply,2
the expectation,2
resource,10
spending,4
grow,1
expected future demand,2
an inherent challenge,2
this demand,2
isolation,4
negative demand,2
no generate excess supply,1
largescale government,2
infrastructure,13
additional demand,2
a leading producer,2
lowcarbon,8
life,19
extension,6
a lowcarbon future,2
the industrialisation,2
urbanisation,5
industrialisation,3
annual average growth,2
scarcity,3
the risk,29
material substitution,2
significant new demand,2
the current enabling,2
lithium,2
the quantum,2
potential new demand,2
a size,2
current annual production,2
that commodity,2
the financial impact,2
a negative demand,2
shift,2
the event,13
a rapid decarbonisation,2
a significant increase,8
substitution,5
research,3
current renewable technology,2
widespread adoption,1
the revenue,12
industrial diversification,1
the quantity,2
a certain application,2
similar technical performance,2
a commodity,6
the same technical performance,2
no cobalt,2
renewable energys market,1
investor,5
the extensive part,1
no carbon,1
adoption,5
a means,1
industrial asset,6
a particular commodity,1
the underlying demand,1
sustained commodity,3
content,3
statementsgovernanceadditional informationstrategic report,5
a global producer,1
marketer,4
industrial business,7
an enhanced entrepreneurial focus,1
many longlife,1
high quality,1
a disciplined producer,1
volume,4
established marketing,1
global reach,2
deep understanding,1
a broad range,6
a disciplined manner,1
profitability,5
absolute price,2
integrated commodity,1
producer,5
every stage,1
the commodity,9
acquisition,19
development,45
focus,16
brownfield,1
exploration,15
profile,15
realise,1
refining,13
expertise,9
technological advancement,1
mean,2
a wider,1
valuable market,1
impact,21
delivery,13
advantage,2
these value,1
a preferred counterparty,1
ability,26
a wide range,5
product,23
an ability,2
specific,4
a highquality,1
service,18
an essential role,3
modern life,1
framework,23
societys energy,4
help,2
continued demand,1
the energy,6
today,3
responsible portfolio,4
responsible product,5
core,10
everything,2
the carbon,3
fullfilment,1
operational excellence,1
meet,2
various climate action,1
the electrification,2
this strategy,1
the optimal balance,1
reinvestment,4
abatement,6
medium term,1
alignment,15
netzero ambition,3
availability,7
efficiency,2
future,12
the proportion,3
extensive marketing,1
reportadditional informationfinancial statementsgovernance,4
excellence,3
margin,19
first quartile costmargin,2
the nickel portfolio,2
exkoniambo,2
a second quartile,2
cost,67
position,21
enhanced fatality,2
relaunch,2
the elimination,4
the target,2
the cycle,8
an upper net debt,6
cap,7
net loss,6
responsible water,2
water,27
community,25
an integral part,15
engagement,42
negative outlook,5
facility,13
available liquidity,1
yearend,5
bond,5
new partnership,2
a member,15
expansionary capital,2
operation,39
project,9
legitimate artisinal,1
smallscale,1
align,6
the prevention,8
aluminium,8
exchina,5
book,10
this footprint,2
maximise,2
integration,5
continue,1
a part,3
the global energy,7
mix,9
the decline,2
local expertise,2
accretive abatement,2
healthy workplace,2
occupational disease,6
leverage,3
the low end,2
purpose,9
a robust capital,2
this regard,6
related lease,4
the midpoint,4
net funding,26
annual capital,4
return,8
net income,14
exchange,48
expand,1
the volume,3
progress,18
global network,2
responsible sourcing,4
an essential contributor,3
strategic longterm,2
a reliable supply,2
the lowcarbon,3
licence,6
enforcement,6
majority,1
first quartile,1
total management,1
an integral reduction,1
total part,1
liquidity,23
partnership,5
smallscale mining,3
participate,2
child labour,4
supplychain,1
uptake,1
circular economy,1
a major copper,1
miner,1
the issue,5
civil society,7
this engagement,1
largescale mining,2
a successful mining,2
any cobalt,1
sustainable role,3
the use,11
mission,1
the professionalisation,1
the adoption,3
responsible mining,1
poverty,2
the endemic poverty,2
this region,3
cause,2
child labour stories,1
study,4
light,7
recent membership,1
alternative livelihood,1
sustainable economy,1
example,10
an alternative livelihood,1
an industrial mining,1
buy,1
unemployment,1
subsistence,1
living,2
a responsible miner,1
any form,5
a significant source,1
employment,17
the country,5
geological cobalt,1
endowment,1
industrial cobalt,1
the legitimacy,1
the global supply,1
the ground,2
tolerance,5
a responsibility,2
social development,1
a series,4
the community,5
food,1
selfsufficiency,1
small business,1
association,3
secondary age,1
school,2
ran school,1
holiday,1
transport,3
the demand,7
these vital everyday,1
the global importance,1
all supply,1
both cobalt,1
third report,1
this report,19
environment0,1
company,16
group,31
ongoing engagement,1
resilience,1
website,14
the role,4
the diversity,4
strategic ambition,1
a leading role,1
action,13
the global climate,1
collective global action,1
electrification,2
associated infrastructure,2
global climate,1
science,1
a global transformation,1
diversified natural resource,1
the achievement,3
low emission,3
capture,7
adaptation,2
coordinated government,2
accelerated uptake,2
a competitive leastcost,1
practice,16
guide,1
social provision,1
closure,12
planning,18
a material part,1
the mining,12
significant contributor,1
region,3
the key destination,1
south african coal,3
the predominant source,1
fuel,4
a vital transition,1
such time,1
alternative infrastructure,1
a decrease,4
challenging year,1
the oil,6
refinery,7
scope,16
any post0 production,1
utilisation,5
a competitive least,1
a full disclosure,1
the coronavirus,2
both mine supply,1
industrial demand,1
the baseline year,1
the local expertise,1
the implementation,16
groupwide marginal abatement,1
curve,7
costranked emission,1
measure,22
operational control,4
combustion,2
the production,8
electricity,6
secure,1
a day,1
a year,8
the calculation,7
the relevant grid emission,1
specific renewable electricity,3
relate,4
the indirect greenhouse,1
downstream,2
intensity,6
baseline,6
the reduction,3
operational abatement,2
seam,3
the closure,3
a coal,2
underground operation,2
forward,3
new target,2
investing,1
key input,1
overall footprint,1
a way,5
material capital,1
the exploration,4
emission,3
the scenario,2
analysis,38
the evolution,1
metalintensive wind,1
solar,1
no single pathway,1
the rate,3
the resilience,4
the chart,1
mediumterm,2
longterm ambition,1
capacity,10
electric vehicle,1
copper demand,1
the pressure,1
chrome,4
the ongoing operation,1
the accelerated adoption,1
wind power,1
amongst,1
the generation,1
transmission,2
ferroalloys,1
ferrochrome smelting,1
displacement,1
nickel demand,4
a continued growth,1
an alloy,1
household,1
the major transformation,1
system,12
offshore,1
windenergy,1
zinc demand,2
coal demand,1
the absence,2
substantial investment,1
significant coal,3
the ongoing use,2
negative carbon,1
limit,11
global temperature,1
the agility,1
benefit,21
various trading,1
arbitrage,7
the addition,1
any scenario,1
the responsible sourcing,3
direct emissions0,1
locationbased0,1
operated assets0,1
methane,2
appropriate countrybycountry,1
grid emission,1
purchased electricity,4
the basis,17
baseline year,2
average commodity,2
total energy,1
coal seam,1
a number,35
those underground coal,1
the necessary supply,1
concentration,1
consideration,32
regulation,8
future mechanisms,1
no uniformity,1
the manner,1
the competitiveness,1
different energy,1
full value,1
turn,5
drive demand,1
the current battery,1
various south american copper,1
african copper,1
polymetallic,1
industrial capital,2
expansionary expenditure,1
joint venture,9
an increase,12
the commissioning,1
the coal,1
the finalisation,2
progression,1
mine,31
the mediumterm capital,1
a material investment,1
cycle,8
a desalination,1
local freshwater,1
favour,5
the sea,1
managing,2
strategic management,1
continued ability,1
process,40
a common methodology,1
treating,1
the mitigating,1
marginal abatement,1
diverse,5
this portion,1
deployment,2
global decarbonisation,1
review,31
constructive role,2
public policy,2
relevant trade,3
the importance,10
membership,5
these industry,1
advocacy,1
significant movement,1
indirect advocacy,1
pragmatic policy,1
table,21
oversight,9
b,5
such information,4
the organisation,7
the short medium,1
long term,8
financial planning,1
viability,8
assessing,2
nonfinancial key performance,2
a measure,8
key performance,3
net fundingnet debt,1
lossincome,1
servicing,2
tax,155
net interest,7
prescribed distribution,1
formula,1
segment,40
performance net loss,1
noncash impairment,2
confidence,11
the sustained reduction,1
steam,1
insight,3
overall business,2
a combination,7
the corresponding flow,2
objective,4
the net result,3
revenue,51
dividend,7
the attributable share,3
relevant material,17
proportionate consolidation,3
depreciation,18
amortisation,26
the initial impact,1
the pandemic leading,1
precovid,1
fundingnet debt,4
an important factor,2
an investment,4
status,9
a competitive cost,2
the relationship,3
an indication,6
financial flexibility,4
strength,4
these target,1
a leverage,1
recordable injury,4
withdrawn,2
m0,5
every workrelated incident,1
illness,1
a safe workplace,1
