token,frequency
sourcing,27
the,870
that,1
advance,53
everyday,16
life,76
our,214
purpose,41
responsibly,22
commodity,282
strategy,87
to,145
sustainably,4
grow,6
total,110
shareholder,114
return,47
maintaining,20
strong,39
investment,162
grade,25
rating,31
acting,3
responsible,91
operator,7
glencorecom,8
living,7
values,7
value,385
reflect,47
priority,34
belief,19
conduct,28
they,16
define,9
mean,29
work,102
regardless,10
location,29
role,63
heart,3
culture,50
way,33
business,369
simplicity,4
we,410
never,3
compromise,1
safety,70
look,10
one,59
another,10
stop,3
safe,17
courage,2
whats,4
right,144
even,10
hard,3
say,3
treat,3
fairly,5
respect,86
efficiently,4
focus,50
important,25
avoid,12
unnecessary,2
complexity,13
simple,3
pragmatic,2
solution,17
openness,6
entrepreneurialism,5
take,37
responsibility,55
action,40
talk,4
listen,2
others,11
understand,31
expect,16
u,40
improve,20
commercial,17
social,42
environmental,39
performance,242
were,2
honest,2
straightforward,2
communicate,3
push,2
sharing,5
information,134
encouraging,2
dialogue,4
feedback,8
encourage,10
new,95
idea,2
quickly,6
adapt,6
change,274
always,13
looking,15
opportunity,73
create,16
find,8
better,10
safer,1
working,91
stories,3
from,26
year,484
read,10
story,1
show,10
transform,8
artisanal,6
mining,110
page,139
recycling,23
journey,2
net,351
zero,57
emission,135
at,36
a,91
model,57
world,46
largest,14
natural,22
resource,91
company,128
continent,2
country,65
c,45
employee,117
contractor,19
office,38
map,1
key,209
head,24
industrial,160
asset,615
marketing,165
officeother,1
integrating,2
sustainability,43
throughout,29
scope,62
million,865
tonne,90
co,12
targeted,7
reduction,73
level,144
financial,562
highlights,2
adjusted,86
ebitda,52
us,143
bn,29
lossincome,16
attributable,80
equity,119
holder,56
generated,20
operating,115
activity,262
capital,157
purchase,61
sale,130
property,66
plant,82
equipment,76
two,34
segment,60
lost,12
time,114
injury,34
frequency,13
rate,163
per,53
hour,10
worked,22
recordable,8
borrowing,53
debt,92
report,267
chairmans,10
introduction,10
chief,24
executive,54
officer,27
review,118
case,61
market,243
driver,16
sustainable,24
future,142
indicator,25
section,64
statement,383
stakeholder,69
engagement,77
people,57
compliance,113
risk,560
management,345
governance,52
directors,103
committee,58
remuneration,117
independent,47
auditors,10
member,88
plc,39
consolidated,117
income,263
comprehensive,76
position,109
cash,278
flow,105
additional,58
alternative,33
measure,118
other,175
reconciliation,36
production,293
quarter,20
q,166
resources,66
reserve,56
referred,3
defined,71
specified,15
requirement,78
reporting,140
standards,17
refer,21
definition,19
explanation,6
use,78
note,188
xxxxnet,1
ratio,20
chairman,40
dear,2
shareholders,5
i,32
introduced,10
last,38
annual,71
discussion,18
need,55
clear,19
underpinned,7
robust,11
aligned,20
these,70
essential,18
ha,277
provided,55
perfect,1
example,16
positive,22
outlook,34
beginning,10
emerged,2
unprecedented,4
challenge,44
moved,6
protect,16
support,109
community,105
this,104
involved,6
range,82
across,99
depending,8
incidence,2
regulation,67
expectation,44
government,55
host,20
operation,279
price,346
fell,6
rapidly,8
early,17
required,107
difficult,9
decision,45
around,38
continuing,17
uneconomic,1
collateral,9
impact,173
nearby,1
group,198
rapid,9
shift,7
led,16
suspend,6
proposed,31
distribution,71
structure,34
accelerate,6
back,12
within,130
target,71
wa,278
successfully,3
achieved,14
end,88
managing,31
effective,39
control,148
mechanism,14
also,158
critical,27
ensure,68
assurance,25
procedure,71
whether,66
human,71
accounting,105
elsewhere,3
would,71
continue,78
operate,62
robustly,1
exceptional,6
stress,12
often,8
remote,10
combination,36
empowered,1
leader,14
central,11
meant,3
able,14
react,2
appropriate,118
situation,12
adhering,1
standard,65
in,277
spite,1
challenging,19
backdrop,10
strategic,38
progressed,4
including,269
retirement,8
first,36
half,31
complete,8
succession,15
plan,175
senior,51
leadership,18
team,71
ceo,20
principal,43
retire,5
period,157
normally,7
considered,82
material,241
continuity,5
however,42
testament,1
former,5
partner,25
managed,19
seamless,3
next,28
generation,30
confident,3
ability,54
lead,60
tomorrow,1
after,8
nine,6
service,70
sorry,1
see,145
delighted,1
welcome,4
director,83
determined,46
seen,13
ethical,22
as,156
well,93
overseeing,15
supporting,26
considerable,10
ongoing,38
ethic,21
rollout,2
campaign,14
sought,6
increase,100
direct,38
workforce,26
virtual,7
meeting,79
survey,12
summarised,12
stakeholders,2
investigations,9
manage,36
response,46
investigation,63
continues,21
fully,27
cooperate,5
various,102
authority,41
timing,25
outcome,39
remain,26
uncertain,35
announced,11
ambition,40
enabling,11
decarbonisation,28
energy,106
usage,11
recognise,23
contribute,16
global,150
effort,27
achieve,42
goal,32
decarbonising,10
operational,76
footprint,35
amongst,7
peer,13
commitment,81
reduce,42
achieving,15
thereby,3
putting,2
trajectory,5
with,18
transition,74
final,12
part,99
generational,1
place,48
drive,16
forward,57
society,22
facing,9
