token,frequency
wa,50
record,10
year,125
company,45
im,1
proud,1
financial,175
result,79
prouder,1
still,1
responded,2
unprecedented,2
number,52
natural,6
disaster,7
across,13
geography,3
our,118
associate,62
supplier,27
came,1
together,8
provide,41
customer,194
time,38
need,26
also,73
support,7
impacted,11
community,10
during,13
fiscal,343
sale,154
grew,3
percent,20
billion,84
comparable,28
growth,18
total,29
us,10
we,207
saw,2
region,2
net,139
earnings,78
per,51
share,147
increase,25
prior,12
while,6
pleased,1
know,1
work,10
done,3
the,202
retail,30
landscape,5
changing,14
rate,71
many,11
say,1
ha,38
changed,1
last,10
three,17
decade,1
store,114
hub,2
business,74
shopping,13
interacting,2
u,51
differently,2
for,23
example,5
online,53
make,18
order,14
picked,3
inside,1
expectation,21
continue,21
evolve,4
to,17
address,9
win,1
market,59
proactively,1
investing,16
creating,5
calling,2
one,28
home,52
depot,35
experience,50
put,2
vision,4
frictionless,4
regardless,3
shop,10
accomplish,1
next,7
invest,10
supply,38
chain,31
digital,8
course,4
people,3
future,37
create,14
value,104
seamless,5
interconnected,13
increasingly,7
blend,1
physical,11
world,4
believe,33
come,2
great,4
told,1
find,2
hard,1
navigate,2
take,5
long,3
check,11
acting,1
feedback,4
investment,37
navigation,3
well,30
frontend,1
facilitate,3
faster,4
easier,3
checkout,4
stop,2
adding,1
locker,3
with,8
automated,1
picking,1
never,1
offer,19
product,156
service,114
professional,10
doityourself,3
vendor,22
partner,5
bring,1
innovation,4
save,4
money,3
and,9
assortment,15
continues,2
in,92
purchased,8
equipment,26
leading,2
provider,26
rental,8
maintenance,10
this,19
acquisition,25
allows,3
improve,5
particularly,4
enhanced,9
tool,14
offering,17
based,44
plan,36
leverage,10
destination,1
expanded,8
décor,10
category,9
recent,12
purchase,47
retailer,20
textile,2
accelerates,1
effort,13
advocate,1
delivering,6
best,4
every,6
single,3
day,13
built,1
strong,6
foundation,2
improvement,28
making,5
ensure,11
maintain,23
momentum,1
today,3
position,25
longterm,40
success,6
over,7
past,2
ten,1
journey,2
transform,1
team,3
fantastic,1
job,6
move,1
good,6
anyone,1
else,1
as,46
around,4
fulfillment,8
delivery,39
grow,1
worldclass,1
unique,3
item,43
part,15
five,9
approximately,33
these,23
enable,4
nextday,1
capability,9
population,1
goal,12
fastest,4
efficient,7
strategy,13
driven,5
desire,3
stakeholder,2
includes,19
shareholder,21
serve,10
aspect,4
extends,1
far,1
beyond,9
current,38
enhancing,1
already,2
able,10
return,25
party,13
rock,1
solid,1
even,3
stronger,3
capital,46
allocation,5
philosophy,1
straightforward,1
drive,16
productivity,7
efficiency,9
flexible,1
schedule,3
competitive,17
compensation,34
benefit,40
look,4
meaningful,2
percentage,8
dividend,25
repurchase,27
fact,1
returned,1
form,73
ahead,2
expect,11
continued,12
profitability,2
by,4
could,70
reach,2
high,15
operating,54
margin,15
invested,10
culture,8
path,1
i,4
want,2
founder,2
established,8
nearly,2
forty,1
ago,2
alive,1
orangeblooded,1
live,2
they,1
singlegreatest,1
asset,76
differentiate,5
marketplace,1
defined,14
profit,33
tax,156
measure,17
twelvemonth,6
period,51
divided,3
average,38
beginning,24
ending,7
debt,47
including,74
installment,12
equity,36
reconciliation,7
calculation,7
see,14
measures,3
page,3
k,54
stretch,1
remember,1
taking,4
care,5
committed,6
million,140
help,9
recover,1
devastating,1
earthquake,2
struck,1
flooding,1
wildfire,1
addition,28
c,1
entity,10
created,2
gave,1
charitable,1
grant,10
relief,3
positively,1
impact,47
life,14
military,3
veteran,2
family,1
completing,1
volunteer,1
project,12
city,2
country,3
since,29
facility,13
contributed,7
quarter,62
dollar,12
veteranrelated,1
cause,5
focus,7
social,6
environmental,12
received,17
tenth,3
consecutive,1
recognition,10
made,13
significant,30
progress,2
sourcing,9
megawatt,2
renewable,3
alternative,6
energy,16
expansion,4
solar,3
wind,2
fuel,5
cell,3
technology,24
simple,2
reality,1
require,11
dedication,1
forward,2
growing,4
protecting,1
excited,1
opportunity,3
lie,1
throughout,5
march,14
united,1
states,1
securities,11
dc,1
annual,7
report,30
pursuant,34
section,24
or,3
of,16
exchange,16
act,28
transition,5
ended,38
commission,5
file,11
inc,13
exact,2
name,11
registrant,9
specified,5
charter,1
state,26
jurisdiction,3
incorporation,2
organization,3
ferry,1
road,1
atlanta,1
georgia,1
principal,12
executive,27
office,8
irs,4
employer,1
identification,1
no,16
registrants,4
telephone,3
area,4
code,4
registered,14
b,11
title,1
each,4
class,3
on,4
which,1
stock,96
g,2
mark,9
wellknown,1
seasoned,1
issuer,2
rule,13
yes,4
indicate,9
required,23
whether,17
filed,51
preceding,2
month,6
shorter,3
subject,24
filing,6
requirement,25
submitted,2
electronically,1
posted,4
corporate,13
web,1
site,3
interactive,1
data,39
st,1
submit,1
post,2
disclosure,19
delinquent,1
filer,9
contained,5
herein,7
knowledge,5
definitive,1
proxy,7
information,67
statement,63
incorporated,14
reference,19
amendment,6
large,4
accelerated,7
nonaccelerated,2
smaller,2
reporting,49
emerging,4
definition,3
if,18
elected,3
use,27
extended,6
complying,1
new,31
revised,1
accounting,42
standard,20
provided,15
shell,1
aggregate,8
common,40
held,10
nonaffiliates,1
july,9
outstanding,19
portions,1
extent,2
described,9
commonly,1
used,24
terms,4
cautionary,2
table,7
a,32
risk,34
factors,4
unresolved,2
staff,3
comments,2
properties,2
legal,7
proceedings,1
mine,1
safety,11
disclosures,3
ii,4
selected,7
discussion,15
analysis,11
condition,39
results,6
operations,7
quantitative,5
qualitative,4
about,2
supplementary,4
changes,5
disagreements,2
accountants,2
controls,3
procedures,3
other,33
iii,4
directors,8
officers,4
governance,4
security,20
ownership,4
certain,68
beneficial,2
owners,2
management,32
related,66
stockholder,6
matters,2
relationships,2
transactions,2
director,25
independence,2
accountant,2
iv,2
exhibits,3
summary,7
signatures,2
asr,3
asu,5
bodfs,3
bopis,2
boris,2
difm,2
diy,5
ehs,1
epa,2
espp,1
fasb,7
gri,2
interline,4
mda,1
mro,2
nopat,3
nyse,1
plcc,1
pro,12
roic,1
sec,3
ser,1
sga,4
standards,2
codification,1
update,6
buy,6
from,11
doitforme,1
health,3
protection,3
sales,22
amended,8
february,52
week,11
january,88
generally,13
accepted,5
principle,12
hd,4
holdings,3
global,6
initiative,12
interbank,1
offered,6
repair,1
operation,70
private,6
label,6
credit,31
card,24
restoration,7
futurebuilder,3
responsibility,11
selling,5
general,23
administrative,3
cuts,2
jobs,2
managements,3
litigation,11
reform,1
written,3
oral,1
release,2
regarding,13
performance,28
constitute,1
forwardlooking,5
may,86
relate,2
among,4
thing,1
demand,17
effect,27
competition,9
implementation,5
issue,10
payment,46
method,32
accept,4
economy,2
residential,2
construction,5
housing,3
mortgage,2
loan,3
consumer,8
inventory,60
instock,1
relationship,13
continuation,1
program,67
target,5
expenditure,13
liquidity,6
expense,66
stockbased,14
commodity,6
price,32
inflation,7
deflation,5
ability,22
term,18
acceptable,1
expected,19
outcome,6
investigation,7
inquiry,3
claim,19
charge,12
adopting,1
opening,1
closure,1
outlook,1
integration,4
acquired,16
recognize,16
anticipated,7
synergy,4
currently,11
available,23
assumption,11
projection,5
event,7
you,3
rely,5
guarantee,3
uncertainty,11
control,40
dependent,3
action,9
third,27
unknown,1
potentially,5
inaccurate,1
actual,9
differ,8
materially,10
include,23
limited,4
elsewhere,1
speak,1
date,25
undertake,1
law,17
advised,1
however,6
review,5
periodic,3
introduction,1
largest,2
wide,6
building,12
material,43
lawn,3
garden,7
installation,17
end,40
located,5
territory,2
mexico,1
square,9
foot,5
enclosed,1
space,7
additional,20
outside,8
network,14
distribution,16
center,20
ecommerce,3
website,16
when,3
refer,3
referring,1
consolidated,66
subsidiary,14
corporation,4
two,12
primary,5
objective,1
historically,4
guided,2
exceptional,2
authority,5
maintaining,5
disciplined,2
approach,6
reflect,6
fundamentally,1
run,1
rapidly,5
must,13
become,9
agile,1
responding,1
preference,5
providing,10
multiple,4
channel,3
featuring,4
curated,2
innovative,5
choice,2
personalized,1
individual,7
shopper,1
delivered,5
fast,1
costefficient,1
manner,7
key,8
enabler,1
focused,2
mind,1
refined,1
strategic,10
following,12
designed,8
connect,3
shelf,2
model,2
way,3
needs,2
group,11
different,5
meet,11
customers,3
typically,4
owner,2
complete,11
assist,2
resource,10
medium,4
variety,10
clinic,1
workshop,1
build,3
emotional,1
connection,10
pros,9
primarily,18
renovatorsremodelers,1
contractor,7
handyman,1
property,25
manager,2
specialty,4
tradesman,2
installers,4
client,1
strive,3
range,7
special,2
willcall,1
dedicated,3
designated,2
parking,1
close,4
entrance,2
bulk,2
pricing,4
instore,11
loyalty,2
xtra,1
provides,8
discount,14
useful,9
exclusive,4
tracking,2
receipt,5
lookup,1
institution,10
educational,1
healthcare,4
hospitality,1
national,8
multifamily,1
apartment,1
complex,7
through,6
entry,1
gained,1
competency,1
relevant,8
account,10
mile,1
rolling,1
giving,2
access,13
similarly,1
launched,3
give,3
using,27
house,3
differing,1
depending,2
type,7
perform,5
develop,7
comprehensive,16
set,4
solution,2
supplying,1
recurring,2
renovation,1
replenishment,2
bringing,1
bear,2
differentiated,1
proposition,1
intersecting,1
hire,1
inhome,3
consultation,1
flooring,5
cabinet,3
countertop,1
water,12
heater,2
shed,1
thirdparty,20
sold,8
roofing,2
siding,1
window,2
refacing,1
furnace,1
central,1
air,3
system,37
demographic,4
increasing,5
baby,1
boomer,1
looking,1
someone,1
serving,3
higher,13
finance,3
policy,11
commercial,8
reward,1
opened,2
active,4
holder,6
accounted,9
putting,1
first,23
begin,1
excellent,2
remove,2
complexity,2
inefficient,1
process,22
allow,7
freight,2
handling,2
endtoend,2
optimize,3
flow,29
improves,2
onshelf,1
availability,7
decreasing,1
amount,64
spends,1
locating,1
receiving,1
dock,1
overhead,1
storage,4
implementing,3
called,1
consolidate,1
existing,4
legacy,1
intuitive,2
user,1
interface,2
devote,1
working,9
better,4
at,18
employed,1
salaried,1
remainder,3
compensated,1
hourly,5
temporary,4
basis,22
attract,5
retain,5
qualified,6
personnel,3
seek,5
salary,2
wage,7
level,28
announced,6
onetime,4
bonus,5
light,4
receive,8
semiannual,1
sharing,2
nonmanagement,1
satisfaction,3
regularly,6
employee,17
relation,2
several,7
taken,4
step,1
convenience,2
speed,4
phone,1
webenabled,1
handheld,1
device,6
expedite,1
locate,1
aisle,2
hand,2
empowered,1
selfhelp,1
storespecific,2
map,1
pinpoint,1
location,20
mobile,8
undertaken,1
pilot,4
response,1
signage,1
lighting,5
redesign,1
front,2
added,4
selfservice,1
convenient,2
pick,1
roll,1
broadly,2
apps,1
enhancements,1
critical,2
research,1
go,2
view,4
person,2
talk,1
rating,1
compare,4
implemented,6
platform,7
search,1
functionality,2
increased,33
chat,1
contact,2
begun,1
voiceenabled,1
commerce,2
friction,1
specific,5
transaction,28
rather,3
encompasses,2
entire,1
inspiration,2
knowhow,1
postpurchase,1
further,6
connecting,1
traffic,2
improved,6
conversion,1
enhance,4
introduce,1
remaining,12
everyday,2
typical,1
brand,13
proprietary,15
merchandising,21
understand,1
localized,3
fit,1
dedicate,1
right,17
footage,5
complement,1
significantly,7
broader,1
homedepotcom,2
blindscom,1
though,1
routinely,5
refine,1
balance,24
introduced,2
distinctive,1
attractive,2
cordless,2
selfpropelled,1
mower,2
paint,4
highefficiency,1
washer,1
smart,1
highlights,2
bench,1
resistant,1
glove,1
dual,1
beam,1
flashlight,1
diamond,1
tip,1
screwdriver,1
screwdrivernut,1
driver,1
inch,1
torque,1
wrench,1
ceiling,1
fan,1
kitchen,1
bath,2
fixture,4
toilet,3
lifeproof,1
carpet,2
laminate,1
vinyl,1
allglass,1
bulb,4
power,6
push,1
ass,6
department,15
line,2
expand,5
within,10
portfolio,6
noted,6
particular,2
canada,1
