token,frequency
every person,14
home,24
organization,25
intelligent world,14
global information,1
technology,56
provider,5
the world,65
a private company,3
employee,9
this scheme,1
no government,2
agency,3
outside organization,1
a sound,1
effective corporate governance,1
system,84
board,6
deputy,1
executive,3
the companys,30
chairman,2
office,4
the board,4
authority,10
corporate strategy,4
management,134
body,4
customer,42
satisfaction,14
important company,1
profit,52
distribution,13
capital,11
work,19
the center,2
everything,15
value,62
a core part,1
industry,113
source,6
research,40
ecosystem,30
success,27
this way,4
the industry,24
a whole,2
local employment,1
comply,2
secure network,1
equipment,39
infrastructure,38
addition,27
stable secure,1
trustworthy cloud,1
life,9
entertainment,4
secure,15
stable network,4
cyber security,24
privacy,32
protection,35
carrier,11
a solid track,2
record,9
security,90
development,85
openness collaboration,3
joint innovation,5
the value,9
symbiotic industry,1
an active member,2
open source,13
the foundation,8
forward,3
sustainable development,7
the digital divide,5
digital inclusion,4
the importance,5
emergency,4
nuclear contamination,1
the tsunami,3
the massive earthquake,1
disaster,1
the reliable operation,1
further promote,1
sustainability,9
a lowcarbon,1
footprint,1
environmental protection,4
the development,22
the next generation,1
talent,15
the digital economy,4
message,3
way,10
a fortress,2
progress,15
this backdrop,5
every industry,2
the longterm,1
electricity,8
prosperity,1
a digital intelligent transformation,1
community,4
the driving,1
force,1
digital economy,2
the digital world,4
a digital world,3
the opportunity,2
experience,40
a society,1
an industry,2
an approach,1
fact,1
verification,3
intelligence,10
heart,1
efficiency,48
soul,1
forwardlooking,1
business,171
the lab,2
the ivory,1
tower,1
property,27
the tremendous investment,1
digitization,8
patent,2
artificial intelligence,3
total number,3
core,13
society,6
goal,8
user,10
the absolute top,1
agenda,2
building,10
innovation,32
collaboration,26
a trustworthy digital world,1
revenue,61
robust growth,1
the face,3
suspicion,1
exclusion,1
the trust,3
motivation,2
build trust,2
action,3
era,14
an advantage,1
the next wave,1
growth,14
the rest,2
investment,34
lifeblood,1
annual revenue,2
continued investment,1
the ability,5
significant value,1
information,30
a global scale,2
own intellectual property,1
commercial deployment,4
essential patent,1
the first company,2
base,10
performance,44
maintenance,9
unique value,1
example,5
proprietary core,1
the bandwidth,1
microwave transmission,1
fiber,2
ultrabroadband,1
backhaul,1
site,9
deployment,9
possible performance,1
the minute,1
the market,4
the worlds,1
network,69
possible networks,1
the industrys,5
simplicity,2
standalone,2
product,41
antiattack,1
architecture,23
antipenetration,1
transaction,16
resilience,7
compliance,72
powerful nextgeneration,1
possible quality,1
the way,9
trustworthy,3
high quality,3
responsibility,8
a global challenge,1
all share,1
all equipment,1
secure equipment,1
software,33
engineering,21
above industry,1
average,3
the process,3
the end,44
a formal resolution,1
an initial budget,2
a companywide transformation,1
part,13
this transformation,6
legacy,3
code,8
trust,6
quality,31
all applicable privacy,3
a technology,2
telecom,6
own customer,1
highquality,11
this responsibility,1
that security,1
the lifecycle,1
design,14
a robust set,3
process,29
continuity,21
delivery,12
priority,1
the same time,6
thirdparty verification,1
pursue,1
open collaboration,1
an endtoend security,2
assurance,9
plant,24
allow anyone,1
an endtoend,2
procurement manufacturing,4
the support,2
effective management,3
mature,1
response,9
conduct,2
regular training,3
the past business,1
the past ten,1
wellorganized increase,1
involvement,2
local manner,1
the flood,2
the earthquake,1
a supply,1
diversification,1
strategy,20
supply,18
multiple production,1
multiple transportation,1
a bulwark,1
political uncertainty,1
full lifecycle,2
openness,2
transparency,4
support,21
decade,1
any third party,1
company,15
the ecosystem,3
a public company,1
the publication,1
other ecosystem,1
independent thirdparty,1
single company,1
country,3
help,3
the company,36
prosper,1
integrity,7
independence,2
diverse ecosystem,1
a wide range,6
focus,4
world,12
position,6
smart device,3
the uncertainty,4
collaborate,1
export,5
control,47
sanction,1
strategic procurement,1
mutual trust,1
possible transaction,1
a decade,1
continuous investment,1
both organization,1
resource,6
a compliance,3
the external environment,1
procurement,8
policy,7
culture,5
an active role,2
a member,19
awareness,15
evaluation,5
an equitable business,1
environment,14
challenge,1
inequitable treatment,1
the full extent,1
law,6
total,3
adversity,1
the first wave,1
strategic leadership,1
enhance,3
innovative business,1
profitability,2
enterprise,25
a specific set,1
application,16
pain,2
a practical reality,1
integrate,1
cloud,46
competitive edge,1
presence,1
safe city,4
highspeed growth,1
the pillar,1
the driver,1
consumer,14
an ecosystem,11
chipdevicecloud,1
synergy,9
both hardware,1
brand,12
image,7
a leader,5
an intelligent,8
passion,2
the harvest,4
longterm business,2
fertility,2
wellorganized business,1
a successful track,1
this happen,1
coordination,8
the number,11
a way,3
perfectionism,1
ability,4
the strategic high ground,1
a race,1
time,22
vision,5
a reality,4
full range,2
domain,32
emtc,1
program,21
place,7
intelligent,17
broadband,14
transport,8
solution,66
a fullstack,2
allscenario,7
portfolio,8
series,12
chip,5
a full range,3
government,16
platform,50
this platform,9
an allscenario,1
clouds,1
storage,14
device,10
photography,3
the competitiveness,1
smartphone,7
secure digital platform,2
devicepipecloud,1
digital faster,1
partner,7
digital transformation,19
robust ecosystem,2
fullstack,9
cloud intelligent experience,1
the smart home,2
smart home,5
the connected vehicle,2
vehicle,2
the health,2
fitness,3
worldwide,3
a robust application,1
service,49
strong support,3
hardware software,1
the digital transformation,8
comprehensive ecosystem,1
a wide array,5
operating,25
margin,3
net profit,4
flow,12
equity,41
the closing,1
rate,27
preparation,3
related accounting,1
the cumulative effect,4
the adoption,12
an adjustment,3
the balance,2
comparative information,5
proﬁt,1
ﬂow,1
the course,2
social progress,2
a changing world,1
mission,6
digital digital technology,1
a vertical industry,1
a platform,5
this future,1
a new revolution,1
open collaborative,1
everyone,11
a great cloud,1
economic uncertainty,1
potential course,1
new value,1
promote,3
widespread adoption,1
opportunity,1
reach,1
the globe,6
continuous innovation,4
simpler,3
access,16
digital technology,1
ultimate goal,2
socioeconomic development,1
half,1
population,4
an ongoing challenge,1
insufficient investment,1
low affordability,1
top,1
space,3
connectivity,14
a fiberlike service,1
fixed wireless,1
wide coverage,1
lastmile access,1
traditional fixedline,1
date,17
highspeed,1
award,4
the device,2
lack,1
reliable mobile broadband,1
a significant number,1
an intelligent inspired experience,1
coverage,6
this solution,14
the first time,1
the sustainable growth,1
urban infrastructure,1
station,3
largescale application,1
full potential,1
instance,1
systematic innovation,1
hardware,6
professionalquality,2
doesnt,1
stop,1
