token,frequency
who,2
leading,46
global,123
provider,18
information,76
communication,43
technology,228
infrastructure,53
smart,113
device,110
we,376
committed,48
bringing,13
digital,220
every,42
person,14
home,32
organization,97
fully,45
connected,45
intelligent,259
world,200
employee,115
operate,16
country,71
region,73
serving,9
three,41
billion,26
people,44
around,59
owns,1
private,21
company,143
wholly,2
owned,4
through,24
investment,116
holding,26
co,31
ltd,31
implement,17
involving,3
only,3
eligible,3
participate,4
no,10
government,72
agency,8
outside,15
hold,44
share,35
control,124
manages,4
ha,278
robust,13
corporate,30
governance,34
system,202
shareholding,22
elect,5
representative,18
form,18
representatives,7
this,160
commission,13
chairman,41
remaining,21
board,16
director,25
the,356
directors,3
four,16
deputy,23
chair,7
executive,26
take,22
turn,5
rotating,9
lead,18
office,48
exercise,12
decisionmaking,4
authority,19
strategy,68
operation,112
management,220
highest,9
body,12
responsible,18
customer,265
satisfaction,15
meanwhile,6
make,59
decision,9
major,46
matter,15
like,46
profit,87
distribution,15
capital,15
increase,42
election,3
member,52
doe,18
work,115
externally,2
rely,6
partner,146
customers,5
center,82
everything,10
create,49
value,149
innovative,44
product,222
hardworking,1
dedicated,11
at,69
contribute,15
get,8
stakeholder,14
including,109
supplier,86
industry,377
open,97
source,36
community,46
standard,94
university,25
research,85
institute,21
cultivate,6
broader,8
ecosystem,116
thrives,2
shared,30
success,40
in,268
way,39
help,132
drive,44
advancement,3
grow,11
whole,15
local,38
employment,2
opportunity,35
pay,3
tax,103
comply,6
applicable,22
law,37
regulation,27
also,144
go,26
openly,4
engage,7
medium,14
fiveyear,7
financial,215
highlights,2
message,1
discussion,11
analysis,22
independent,24
auditors,3
report,50
consolidated,76
statements,2
summary,36
risk,130
factors,2
sustainable,31
development,190
abbreviations,2
terminology,3
exchange,44
rates,2
what,1
offer,19
together,47
provide,85
telecom,20
carrier,114
network,255
solution,255
simplified,22
secure,25
trustworthy,30
capability,83
providing,29
service,304
with,48
improve,55
experience,128
life,36
travel,9
entertainment,4
ensure,63
stable,12
cyber,54
security,163
privacy,71
protection,66
always,13
remain,10
top,18
priority,7
believe,12
strongly,1
power,98
openness,9
transparency,12
keep,11
working,45
software,55
engineering,46
business,298
continuity,29
enhancing,8
resilience,6
for,43
year,183
worked,48
closely,15
build,149
maintained,8
solid,10
