token,frequency
notice,49
statement,131
priceimpact,1
home,9
shareholders,16
is,2
more,3
exciting,3
ever,6
a,153
majority,27
americans,3
identify,8
foodie,1
virtuallyunlimited,1
number,104
option,125
combine,2
taste,2
flavor,1
type,16
meal,5
available,73
today,5
and,11
shopper,1
plan,389
purchase,47
food,47
online,10
year,302
vision,4
serve,15
inspiration,3
uplift,3
we,192
uniquely,1
positioned,2
partner,6
customer,85
turn,5
need,19
expertise,9
every,6
day,50
since,23
one,81
place,7
center,17
everything,1
nine,5
million,141
walk,1
door,1
savor,1
save,2
favorite,1
our,100
brands,25
product,72
search,2
recipe,1
digital,13
saving,23
pick,3
order,20
receive,30
delivery,7
scale,4
data,17
physical,8
asset,208
human,3
connection,23
win,2
future,74
energetically,1
creating,2
seamless,4
experience,54
providing,16
personalized,3
help,13
decide,1
whats,2
dinner,1
as,71
pursue,2
change,129
way,17
eats,1
reflecting,1
wa,185
much,2
celebrate,1
krogers,45
total,83
sale,185
reached,6
billion,77
grew,1
expanded,4
location,18
offer,11
twothirds,3
gained,2
market,76
share,325
th,11
consecutive,2
directors,30
raised,5
quarterly,19
dividend,45
ha,143
grown,1
compound,1
annual,175
growth,27
rate,208
reinstated,1
achieved,20
natural,7
organic,5
including,175
simple,3
truth,1
created,4
new,52
job,5
supermarket,68
across,14
country,1
demonstrating,2
essential,6
role,29
industry,13
play,5
generating,2
economic,13
activity,54
opportunity,14
community,12
launched,2
ambitious,1
commitment,37
end,45
hunger,8
call,8
eliminate,6
waste,20
business,119
at,24
investor,12
conference,1
october,5
discussed,15
retail,24
company,178
constantly,1
reinvent,1
remain,4
relevant,4
kroger,30
right,21
middle,1
reinvention,1
proactively,3
addressing,3
making,16
strategic,21
investment,116
create,11
customercentric,1
technology,15
solution,5
enhanced,4
associate,39
spaceoptimized,1
store,103
smartpriced,1
these,63
effort,15
came,2
together,6
four,21
driver,7
live,4
purpose,39
executing,4
meaningful,8
shareholder,260
value,282
expect,13
generate,6
free,14
cash,290
flow,78
incremental,7
operating,160
profit,68
next,15
three,38
long,17
term,54
strategy,43
reviewed,12
approved,26
engaged,8
several,20
aggressive,1
havent,1
run,2
redeploying,1
capital,71
prioritize,1
shopping,7
choose,2
want,7
shop,2
u,47
forming,1
partnership,3
grow,6
alternative,10
revenue,38
stream,2
for,43
example,4
last,41
precision,1
marketing,5
powered,1
monetize,1
medium,2
reach,3
set,33
eye,1
property,29
redoubling,1
expand,4
worldclass,1
personalization,3
work,14
using,46
insight,8
optimize,3
space,2
investing,15
starting,7
halfbilliondollar,1
wage,17
many,18
announced,14
part,29
the,696
federal,25
tax,244
cuts,2
jobs,2
act,28
important,22
catalyst,1
enabling,1
accelerate,3
were,3
taking,7
balanced,5
approach,13
ensure,14
reform,2
benefit,206
alike,2
approximately,45
third,29
flowing,1
net,245
earnings,145
per,99
diluted,40
another,5
reinvested,1
redefining,1
grocery,13
lower,47
price,87
better,11
service,92
added,1
convenience,16
final,5
invested,15
applaud,1
enthusiasm,1
significant,53
bonus,111
employee,89
wanted,1
take,12
slightly,1
different,16
instead,1
onetime,4
award,66
so,3
weve,1
increased,40
k,27
contribution,90
match,7
retire,2
money,3
pocket,2
plus,13
discount,31
keep,2
but,1
excited,1
tuition,1
assistance,6
attend,7
class,9
build,2
interested,4
undergraduate,1
degree,6
professional,2
certification,2
advantage,2
theyve,1
least,19
six,6
month,20
full,27
even,5
parttime,4
basis,68
calling,6
industryleading,2
education,5
your,3
under,16
increase,91
five,38
time,72
someone,1
got,2
start,2
stocking,1
shelf,3
night,1
shift,3
i,31
attest,1
lifechanging,1
power,31
worked,3
college,1
upon,45
graduation,1
proud,2
accept,3
fulltime,3
always,2
people,4
come,4
stay,2
career,4
believe,44
generous,1
level,45
best,33
support,27
mean,7
fully,7
strong,27
return,45
all,34
built,2
foundation,3
operational,21
excellence,1
everyday,2
productivity,4
improvement,39
longdefined,1
wont,1
leave,3
penny,1
table,84
seek,7
reinvest,1
optimistic,1
confident,1
encourage,7
date,117
progress,10
regularly,5
visiting,4
irkrogercom,9
also,90
rising,1
to,25
spirittm,1
stakeholder,6
increasingly,2
understand,5
participate,13
shaping,1
environmental,7
social,7
sustainability,15
choosing,1
shared,4
clarity,1
differentiating,1
strength,3
presence,3
fabric,1
neighborhood,1
taught,1
thing,9
know,4
matter,25
families,1
child,3
aspect,4
life,19
throughout,16
history,8
provided,55
nourishment,1
fact,9
donated,1
feed,1
hungry,2
family,3
local,12
feeding,2
bank,7
yet,8
fundamental,2
absurdity,2
system,11
produced,6
go,3
struggle,1
in,155
that,5
doesnt,1
make,51
sense,2
must,40
something,1
address,19
perhaps,1
anyone,1
tremendous,1
resource,7
passion,1
combined,8
tackle,1
challenge,1
head,1
called,4
aim,3
setting,4
big,1
goal,56
leveraging,2
companywide,1
asking,4
trusted,1
join,5
journey,2
especially,1
america,1
world,6
wildlife,1
fund,63
cant,1
alone,1
well,36
tell,1
story,1
along,9
inspire,1
moonshot,1
mission,2
transform,1
improve,11
health,25
this,88
beginning,47
welcome,1
you,12
follow,7
wwwthekrogercocom,4
zerohungerzerowaste,1
successfully,2
competed,1
everchanging,1
landscape,1
success,10
depend,1
ability,44
see,19
going,7
changing,10
preference,1
accomplish,1
cid,221
competitor,6
lead,16
deep,4
knowledge,5
unparalleled,1
use,29
incredibly,1
convenient,1
platform,5
pickup,2
within,45
onetotwo,1
mile,4
leadership,27
team,16
creative,1
talent,9
ii,25
household,6
