token,frequency
unlocking,15
the,1181
our,79
mission,2
is,1
to,97
serve,2
mankind,1
through,5
resources,5
lukoil,575
one,69
largest,30
publicly,7
traded,12
vertically,8
integrated,16
oil,632
gas,376
company,555
world,17
each,6
day,66
improve,42
quality,32
life,16
million,297
consumer,14
country,45
around,5
globe,2
supply,69
product,288
power,96
heat,21
we,84
employ,5
people,9
join,1
effort,40
expertise,17
ensure,46
efficient,40
development,243
secure,4
market,106
leadership,2
about,74
responsibility,104
key,147
events,3
achievements,3
presidents,13
letter,22
global,37
scale,8
business,170
model,20
exploration,134
production,483
refining,120
marketing,63
distribution,80
priority,39
directions,3
macroeconomic,23
overview,8
reserves,8
licenses,3
growth,80
projects,8
technologies,4
environmental,43
protection,20
energy,51
efficiency,53
health,17
safety,35
corporate,275
governance,201
structure,58
system,156
general,118
shareholders,53
meeting,178
president,184
remuneration,142
management,311
internal,207
control,141
audit,136
external,32
appendices,44
appendix,19
code,21
compliance,85
report,130
risks,6
major,59
related,134
executive,125
bodies,2
performance,190
indicators,7
directors,127
positioning,3
industry,23
factor,45
chairmans,4
strategy,35
lubricants,7
processing,54
petrochemicals,7
generation,67
wholesale,14
trading,41
premium,23
sales,49
interaction,14
society,9
information,194
security,55
sustainable,30
securities,9
dividends,5
openness,8
transparency,18
reference,9
subsidiaries,10
other,167
entities,8
within,91
transactions,15
pjsc,268
ordinary,15
consolidated,157
financial,328
statements,43
managements,4
discussion,19
analysis,24
condition,50
results,38
operations,6
references,2
throughout,8
document,79
equivalent,31
purpose,34
refer,7
andor,35
subsidiary,108
depending,12
upon,23
context,5
term,119
used,66
integration,20
highquality,4
asset,229
portfolio,14
wide,9
and,51
professional,50
team,16
reach,2
new,124
heights,1
look,1
into,1
with,10
confidence,4
potential,51
ramped,3
up,1
high,62
viscosity,3
p,16
a,64
increase,122
highviscosity,19
wa,314
driven,32
commissioning,17
steamgenerating,4
facility,111
drilling,62
well,201
field,304
reservoir,26
at,42
filanovsky,8
phase,10
construction,64
work,47
mostly,28
completed,41
fourth,29
quarter,68
schedule,15
first,65
second,23
fixed,21
ice,2
resistant,1
platform,14
started,15
tonne,222
improved,27
slate,14
refinery,148
russias,4
vacuum,15
gasoil,5
deep,5
conversion,13
complex,34
achieved,14
design,22
capacity,51
yield,33
increased,175
pp,19
in,380
channels,5
branded,6
fuel,121
nonfuel,14
good,27
service,93
filling,39
station,51
substantially,10
bunkering,13
lubricant,30
demonstrated,2
rate,239
sale,221
facilities,4
uzbekistan,19
project,182
commissioned,31
ramping,4
daily,17
target,31
level,71
six,25
month,70
ahead,9
grew,12
share,289
billion,212
cubic,58
meter,66
innovative,8
ecto,2
launched,27
gasoline,35
octane,4
grade,5
operational,29
characteristic,5
dividend,99
policy,145
recordhigh,4
result,174
following,101
structural,1
improvement,42
better,6
pricing,2
environment,53
guarantee,40
annual,92
per,215
least,30
inflation,15
growing,20
consistently,11
year,240
row,3
for,87
detail,35
see,37
page,25
rub,160
recommended,19
update,9
december,246
approved,99
focus,23
primarily,30
available,45
website,17
wwwlukoilcom,6
all,30
figure,28
presented,33
unless,54
indicated,9
otherwise,56
important,25
achievement,17
longterm,60
took,11
decision,58
organic,7
formed,4
many,7
dear,2
delivered,13
outstanding,13
despite,14
volatile,6
macro,4
limitation,18
segment,68
steadily,2
reached,16
historical,6
peak,1
yet,9
proved,55
continued,63
develop,30
create,11
shareholder,175
value,121
this,40
path,3
among,29
thing,1
requires,5
proactive,2
technology,50
advancement,4
leveraging,3
accumulated,9
competency,3
main,32
goal,34
updated,10
focused,15
increasing,12
highmargin,13
continuous,10
network,38
channel,20
delivery,22
progressive,8
conservative,7
price,207
assumption,16
also,124
allows,7
additional,51
reinvestments,1
case,35
favorable,9
an,22
strategic,33
responsible,22
conduct,17
adherence,6
principle,67
track,6
fully,21
line,83
volume,113
total,127
almost,9
half,15
time,74
compared,54
average,71
brought,11
online,6
output,41
exceeded,12
allow,7
already,2
pyakyakhinskoye,15
plan,98
produced,60
condensate,13
bln,3
launch,24
steam,19
hard,2
torecover,1
reserve,130
including,146
use,80
appropriate,13
technological,12
solution,11
completion,16
drove,1
lowpermeability,3
hydrocarbon,88
rapid,2
i,10
would,25
like,4
emphasize,1
specifically,8
evidence,10
ability,15
efficiently,7
largescale,1
built,3
train,3
plant,81
record,10
planned,12
plateau,6
group,131
led,4
performed,13
substantial,14
preparatory,2
discovered,19
baltics,1
that,3
u,18
readiness,2
far,3
le,32
impressive,2
as,57
throughput,17
significantly,24
refined,96
valueadded,3
decreased,60
active,14
crossrefinery,1
due,133
customer,23
respectively,33
aircraft,12
refueling,20
tech,2
ecological,5
immediately,7
recognition,16
conitnued,1
optimize,10
logistics,3
end,40
via,33
pipeline,63
region,94
addition,23
diesel,18
export,97
port,13
these,26
change,126
meaningfully,1
area,36
industrial,28
remarkable,1
indicator,27
useful,4
associated,22
petroleum,89
utilization,47
lowered,1
greenhouse,14
emission,32
water,35
consumption,24
utilized,2
waste,16
full,42
taking,25
account,46
future,61
planet,1
aspiration,1
towards,5
low,10
carbon,3
economy,12
continue,12
alternative,7
source,16
installed,5
solar,12
panel,1
mw,19
unutilized,4
large,14
became,5
possible,28
government,31
support,59
renewable,11
standard,51
personnel,25
training,46
closer,2
subcontractor,4
cooperation,13
allowed,4
maintain,17
decreasing,2
trend,7
accident,21
not,6
employee,111
partner,13
using,60
unique,12
center,29
astrakhan,2
speak,3
alltime,3
amount,257
ruble,156
free,15
cash,118
flow,78
exceeds,6
percentage,10
point,16
twentieth,2
population,2
form,28
demand,25
participant,11
satisfy,2
understand,2
attention,9
matter,68
inevitably,1
evolving,1
steady,2
chance,1
significant,62
volatility,14
quite,1
circumstance,11
think,1
highest,9
flexibility,3
capable,1
operating,105
effectively,1
changing,6
succeed,1
today,3
vast,5
resource,41
base,32
advanced,14
welldeveloped,5
effective,38
businessmodel,1
based,88
vertical,5
ensures,16
capital,96
reinvestment,2
order,38
accelerate,1
involvement,13
existing,36
boost,10
invest,3
skill,16
talent,16
attain,2
strong,17
looking,2
stakeholder,18
maintaining,9
leading,9
position,44
socially,3
taxpayer,7
reliable,6
employer,8
operation,181
calculated,26
income,176
depreciation,35
amortization,14
thank,2
unfailing,1
trust,4
pleased,3
present,24
reported,12
upstream,13
cover,27
twelve,3
concentrated,7
central,8
petrochemical,40
located,22
close,10
four,15
produce,18
topgrade,1
south,5
bulgaria,7
romania,5
include,76
gasfired,4
retail,43
extensive,4
vessel,2
infrastructure,38
airport,7
abroad,14
international,110
barrel,77
europe,3
wind,4
hydro,2
boe,28
continent,1
obtained,13
right,66
sea,10
speeding,5
preparation,32
d,19
boosting,2
counter,7
steamassisted,4
gravity,6
drainage,6
depression,8
deploying,2
novgorod,2
made,67
construct,2
delayed,11
coker,8
activity,119
carried,24
ass,22
adopting,4
permeability,5
cluster,3
stage,23
yu,13
korchagin,9
finance,61
roace,1
able,4
across,40
element,5
chain,5
characterized,4
social,53
constantly,7
payment,80
intellectual,4
human,17
borrowed,2
fund,17
creation,2
stateoftheart,1
patent,2
process,63
automation,6
constitute,1
competitive,11
advantage,4
developing,38
natural,45
continuously,9
facilitate,2
relies,2
air,10
land,16
commitment,14
sustainability,22
contribution,22
operate,8
reputation,6
stakeholders,1
products,8
range,13
bitumen,9
