token,frequency
dear,1
shareholder,8
colleague,1
customer,135
partner,25
while,7
start,6
new,82
decade,2
typically,5
brings,7
hope,3
quickly,1
saw,3
world,47
come,4
near,1
standstill,1
conf,6
ronted,1
compounding,1
crisis,5
public,18
health,15
economic,17
persistent,1
issue,17
systemic,2
racial,6
injustice,6
inequity,4
devastating,1
ef,92
f,1700
ect,38
climate,6
change,56
it,18
easy,3
prey,1
pessimism,1
sense,1
individually,5
company,47
cant,2
make,22
dif,22
erence,2
but,2
helplessness,1
corrosive,1
plus,4
work,35
required,24
disruption,4
whats,1
clear,3
onceinageneration,1
opportunity,28
harness,1
digital,25
technology,59
def,31
ine,3
want,10
live,6
and,32
i,2
optimistic,1
time,32
like,9
ability,21
stay,4
true,1
mission,7
corporate,14
p,5
urpose,1
utmost,1
importance,2
as,37
steadf,1
ast,1
empower,13
every,31
person,7
organization,65
planet,9
achieve,16
our,116
enduring,1
drive,16
everything,4
emphasizing,1
passion,1
e,36
mpower,1
people,32
lasting,2
institution,4
build,18
mean,3
must,6
always,1
use,59
help,42
address,12
challenge,9
create,17
one,33
im,1
proud,1
ecosystem,9
ha,32
stepped,1
past,6
year,275
country,14
resilient,3
transf,55
orm,45
trying,1
circumstance,10
acted,1
irst,17
responder,3
supporting,3
ront,5
line,10
rom,176
healt,1
hcare,1
education,3
sector,10
critical,11
manuf,27
acturing,10
grocery,1
retail,14
helping,5
navigate,3
response,6
recovery,3
reimagine,3
phase,4
equipping,2
open,10
business,152
innovate,1
witnessed,1
ormation,56
mere,1
month,14
rapid,4
delivered,3
strong,5
result,36
commercial,46
cloud,168
surpassed,1
billion,197
revenue,201
percent,9
yearoveryear,1
operating,109
income,195
cash,80
low,30
returned,1
although,4
taught,1
u,28
ortif,1
ied,32
capable,2
orming,6
aced,1
sweeping,1
experiencing,1
the,147
way,15
interact,4
undamentally,3
shif,13
ting,1
going,3
back,1
malleable,1
tool,35
ever,6
created,5
believe,19
capability,9
recover,2
ster,1
emerge,1
stronger,1
at,7
call,6
dynamic,6
tech,6
intensity,4
adopting,2
bestinclass,1
platf,35
orms,17
purpose,7
building,9
proprietary,1
product,215
service,260
inspired,1
ingenuity,3
creativity,3
many,16
industry,21
around,21
applying,5
big,2
including,114
in,141
healthcare,2
dr,1
using,41
power,11
conduct,3
hundred,1
million,141
simulation,1
patient,1
access,18
ventilator,1
state,8
ornia,1
built,6
inf,71
rastructure,15
devops,1
reducing,2
take,7
stand,2
website,10
mont,1
h,5
three,26
hour,3
telecom,2
two,6
analyst,1
used,24
app,3
helped,1
keep,3
associate,1
employed,3
connected,4
week,2
patagonia,1
ship,2
inventory,14
directly,15
store,6
warehouse,1
optimizing,1
send,3
single,9
shipment,2
load,2
location,11
moved,2
course,2
student,2
online,22
within,12
day,6
university,4
history,1
sport,1
nba,1
game,27
experience,30
eel,1
heyre,1
together,25
saf,9
ety,4
home,6
player,3
energy,2
