token,frequency
the start,1
a new decade,1
hope,1
the world,17
come,1
a near standstill,1
a public health,1
economic crisis,1
systemic racial injustice,2
inequity,3
climate,1
change,2
prey,1
pessimism,1
the sense,1
a company,2
a difference,1
helplessness,1
plus work,1
this disruption,1
a onceinageneration,1
opportunity,4
digital technology,3
ability,1
mission,5
corporate purpose,1
the utmost importance,1
every person,2
every organization,8
the planet,6
everything,3
passion,1
technology,12
proud,1
ecosystem,2
the past year,2
every country,1
use,2
transform,1
the front,1
healthcare,2
public sector,1
critical manufacturing,1
grocery,1
the response,1
recovery,1
reimagine,1
the crisis,2
business,8
digital transformation,1
this rapid change,1
commercial cloud,1
revenue,2
the first timeup,1
percent,6
income,1
operating,3
cash,1
flowand,1
this year,7
no business,1
resilient,1
the way,1
malleable tool,1
own digital capability,1
this dynamic tech intensity,1
bestinclass,1
the purpose,1
the ingenuity,1
creativity,1
every industry,3
tech intensity,2
the power,1
access,5
the public,2
sector,2
the state,1
infrastructure,4
the time,1
a new website,1
telecom,2
an app,1
the company,2
inventory,1
a store,1
a warehouse,1
the load,1
education,2
year,1
history,1
the game,1
experience,1
theyre,1
the safety,1
the energy,1
the arena,1
the era,1
the intelligent cloud,1
intelligent,2
edge,2
ambient intelligence,1
multisense,1
multidevice,1
precision,2
medicine,1
agriculture,1
ecommerce,1
manufacturing,2
collective opportunity,1
this intelligent cloud,1
era,1
customer,5
solution,2
this era,1
a new culture,1
hybrid work,1
engage,1
new business,1
tech,1
a business,1
model,2
success,4
healthcare triage,1
retail today,1
every industryincluding,1
azure,2
computer,1
datacenter,1
any other provider,1
online,1
the only cloud,2
the edge,1
consistency,1
development,4
stack,2
management,5
any infrastructure,1
rapid machine,1
closer,1
data,3
disaster,1
response,1
space,1
anyone,4
satellite,1
this data,1
real time,1
layer,1
a cloudnative data,1
estate,1
comprehensive portfolio,1
hear speak search,1
understand,1
accelerate,1
decisionmaking,1
build,1
deploy,1
platform,3
supercomputer,1
a new breakthrough,1
natural language,1
understanding,1
generation,1
the majority,2
job,2
the tech,1
every business,1
process,2
function,2
developer,2
any app,1
any platform,2
popular code,1
software,2
cloudnative apps,1
power,1
productivity,4
collaboration,2
code,1
realtime collaboration,1
location,1
any developer,1
any device,1
secure infrastructure,1
apps,1
transformation,1
a new category,1
domain,1
unique business,1
collaborate,1
a citizen developer,1
an application,1
a virtual agent,1
a workflow,1
analyze,1
the clear leader,1
intelligence,1
the cloud,1
an intelligent bot,1
a point,1
click,1
manual business,1
both legacy,1
the pc,1
work,8
school,1
life,1
a remote everything,1
world,1
usage,1
enterpriseclass,1
information,1
every layer,1
the silicon,1
form,2
the role,1
new device,1
atscale experiment,1
remote work,1
nature,1
the future,1
a system,1
doesnt,1
begin,1
a meeting,1
the entire workflow,1
a meetingbefore,1
the only solution,1
content collaboration,1
a secure,1
user experience,1
learning,1
the flow,1
app,1
reskill,1
content,2
other content,1
employee,2
wellbeing,1
mode,1
cognitive load,1
a new virtual commute,1
muchneeded structure,1
the remote workday,1
every part,1
service,2
contactless,1
shopping,1
omnichannel,1
cloud,2
view,1
the combination,1
effective remote,1
selling,1
market,1
role,1
economic opportunity,1
every member,1
the global workforce,1
learn,1
plan,1
retain,1
talent,1
portfolio,1
security,5
compliance,2
entire tech,1
the shift,1
the need,2
architecture,1
both cost,1
complexity,1
the only company,1
integrated endtoend,1
identity,2
broad coverage,1
the entire organization,1
investigate,1
device,1
a unified management,1
comply,1
expansive category,1
the entertainment,1
industry,2
look,1
entertainment,1
community,3
achievement,1
ambition,1
record,1
engagement,1
monetization,1
strength,1
console,1
socialize,1
play,1
a time,1
xbox,1
the engine,1
growth,1
pending acquisition,1
game,1
highquality,1
a phone,1
tablet,1
enormous responsibility,1
the technology,1
everyone,4
this urgent need,1
partnership,1
action,2
lasting impact,1
inclusive economic opportunity,1
the economic growth,1
public health,1
a healthy society,1
a healthy economy,1
initiative,1
global health,1
research,1
the indemand,1
economy,1
broadband,2
equal ground,1
inclusive,1
indemand,1
accessibility,1
culture,3
accessible world,1
own accessibility,1
journey,1
fiveyear investment,1
impact,2
company,2
match,1
program,2
democracy,1
a bright light,1
much work,1
injustice,1
racial injustice,2
own culture,1
racial justice,1
own cultural transformation,1
the number,2
the percentage,1
transaction,1
justice,1
reform,1
attack,1
the integrity,1
disinformation,1
finite resourcethe,1
planetby,1
sustainable future,1
weve,1
ambitious climate,1
carbon negative zero,1
waste,1
water,1
the climate,1
crisis,1
own climate,1
the creation,1
innovation,1
trust,4
none,1
progress,1
privacy,5
the responsible use,1
approach,2
protection,1
belief,1
a commitment,2
meaningful privacy,1
the data,1
the first major technology,1
core,1
date,1
a central challenge,1
the digital age,1
complex world,1
international team,1
example,1
control,1
a powerful tool,1
a principled approach,1
reliability,1
safety,1
inclusiveness,1
transparency,2
accountability,1
clear information,1
law,1
enforcement,1
the root,1
every decision,1
a culture,2
a growth,2
mindset,3
a belief,1
that potential,1
the gap,1
espoused culture,1
the lived experience,1
every employee,2
unmet,1
no customer,1
diversity,1
embrace,1
inclusion,3
a core,1
priority,1
part,1
annual performance,1
this past year,1
global allyship,1
the work,1
home,1
aspiration,1
representation,1
no limit,1
an inflection,1
point,1
the next decade,1
spending,1
a percentage,1
gross domestic product,1
that growth,1
drive,1
building,1
the key,1
brings hope,1
saw the world,1
fall prey,1
make a difference,1
hope plus work,1
have a onceinageneration,1
harness digital technology,1
define the world,1
empower every person,2
use technology,2
navigate the response,1
operating income,1
experiencing the way,1
call this dynamic tech intensity,1
adopting bestinclass,1
applying tech intensity,1
using the power,1
have access,1
reducing the time,1
build an app,1
helped the company,1
ship inventory directly,1
reducing the load,1
reimagine the game,1
experience the energy,1
computing ambient intelligence,1
personalized ecommerce,1
personalized education,1
connected manufacturing,1
channel this intelligent cloud,1
reimagine the world,1
fostering a new culture,1
help every organization,1
intensitywith a business,1
come online,1
is the only cloud,2
brings rapid machine,1
inferencing closer,1
enabling anyone,1
processing this data,1
deliver a cloudnative data,1
see hear speak search,1
supercomputing platform,1
constitutes a new breakthrough,1
influence every business,1
loved developer,1
build any app,1
including the majority,1
build software together,1
build cloudnative apps,1
remote development,1
enables realtime collaboration,1
drive transformation,1
enable a new category,1
developersequipping domain,1
become a citizen developer,1
create an application,1
build a virtual agent,1
automate a workflow,1
is the clear leader,1
enables anyone,1
build an intelligent bot,1
automate manual business,1
learning the pc,1
sustain productivity,1
find information,1
reimagining every layer,1
device form,1
create new device,1
changing nature,1
creating a system,1
chat content collaboration,1
integrated user experience,1
skill reskill,1
learning content,1
prioritizing employee,1
reduce cognitive load,1
provide muchneeded structure,1
make every part,1
supplychain management,1
personalized customer,1
creating economic opportunity,1
connect learn,1
attract retain,1
remote everything,1
increased the need,1
reduces both cost,1
are the only company,1
offers integrated endtoend,1
provides identity,1
offers broad coverage,1
analyzes security,1
detect investigate,1
saw record,1
connect socialize,1
differentiated content,1
minecraftis the engine,1
held game,1
bringing cloud,1
ensure the technology,1
including the planet,1
see this urgent need,1
usin partnership,1
take action,2
have lasting impact,1
protecting public health,1
sustain a healthy economy,1
equip everyone,1
pursue the indemand,1
changing economy,1
intensified the need,1
expand broadband,1
prioritize accessibility,1
serve this year,1
including company,1
giving program,1
defending democracy,1
addressing systemic racial injustice,1
shining a bright light,1
seeing injustice,1
addressing racial injustice,1
create change,1
advance racial justice,1
includes work,1
doubling the number,1
doubling the percentage,1
protect the integrity,1
set ambitious climate,1
be carbon negative zero,1
computing platform,1
addressing the climate,1
including the creation,1
accelerate innovation,1
building trust,1
include a commitment,1
offer meaningful privacy,1
manage the data,1
were the first major technology,1
is a central challenge,1
took control,1
be a powerful tool,1
taking a principled approach,1
provide clear information,1
covering everything,1
need a culture,1
develop that potential,1
claiming a growth,1
close the gap,1
needs no customer,1
seek diversity,1
create a culture,1
be a core,1
address racial injustice,1
increase representation,1
including a commitment,1
double the number,1
being customer,1
obsessed operating,1
is no limit,1
achieve the world,1
helplessness is,1
plus work is,1
this disruption whats,1
corporate purpose is,1
mission is,1
the crisis equipping,1
commercial cloud surpassed,1
flowand returned,1
this year has,2
no business is,1
digital technology are more,1
technology is,1
this dynamic tech intensity adopting,1
the world applying,1
the company keep,1
a warehouse optimizing,1
multidevice experiences,1
collective opportunity is,1
every industry build,1
tech intensitywith,1
rapid machine learning,1
data is,1
space enabling,1
model was,1
generation promising,1
popular code editing,1
power remote,1
any platform using,1
an application build,1
a virtual agent automate,1
the pc has,1
usage is,1
new device categories,1
atscale experiment weve ever,1
process workflows,1
a secure integrated,1
wellbeing is core,1
every industry digitize,1
service including,1
the world is still,1
the global workforce has never,1
the world go,1
everything has only,1
broad coverage spanning,1
the entire organization using,1
ambition is,1
this year led,1
cloud gaming,1
the planet including,1
initiative were,1
global health including,1
the world enabling,1
employee giving,1
the world calls,1
own cultural transformation doubling,1
ecosystem doubling,1
planetby working,1
weve set,1
crisis is,1
progress is,1
trust is,1
protection is,1
accountability are,1
transparency is,1
a culture founded,1
that potential is,1
success is,1
inclusion continues,1
program adapting,1
inclusion including,1
customer obsessed,1
the world is,1
gross domestic product is,1
