token,frequency
dear,1
shareholder,2
colleague,1
customer,22
partner,6
while,1
start,4
new,19
decade,2
typically,1
brings,4
hope,3
quickly,1
saw,2
world,26
come,3
near,1
standstill,1
confronted,1
compounding,1
crisis,5
public,5
health,3
economic,4
persistent,1
issue,1
systemic,2
racial,5
injustice,5
inequity,3
devastating,1
effect,1
climate,4
change,5
it,8
easy,1
fall,1
prey,1
pessimism,1
sense,1
individually,1
company,7
cant,2
make,6
difference,1
but,2
helplessness,1
corrosive,1
plus,2
work,15
required,2
disruption,1
whats,1
clear,3
onceinageneration,1
opportunity,9
harness,1
digital,10
technology,18
define,1
want,1
live,4
and,17
i,2
optimistic,1
time,4
like,7
ability,1
stay,3
true,1
mission,5
corporate,1
purpose,3
utmost,1
importance,1
as,5
steadfast,1
empower,5
every,22
person,2
organization,30
planet,6
achieve,8
our,13
enduring,1
drive,6
everything,4
emphasizing,1
passion,1
people,17
lasting,2
institution,3
build,14
mean,3
must,5
always,1
use,6
help,15
address,3
challenge,6
create,6
one,5
im,1
proud,1
ecosystem,2
ha,11
stepped,1
past,4
year,12
country,3
resilient,3
transform,2
trying,1
circumstance,1
acted,1
first,9
responder,3
supporting,1
front,3
line,3
healthcare,3
education,3
sector,4
critical,4
manufacturing,4
grocery,1
retail,5
helping,4
navigate,1
response,2
recovery,1
reimagine,3
phase,1
equipping,1
open,1
business,17
innovate,1
witnessed,1
transformation,3
mere,1
month,4
rapid,3
delivered,2
strong,1
result,1
commercial,1
cloud,10
surpassed,1
billion,10
revenue,2
timeup,1
percent,6
yearoveryear,1
operating,5
income,1
cash,1
flowand,1
returned,1
although,1
taught,1
u,3
fortified,1
capable,1
transforming,2
faced,1
sweeping,1
experiencing,1
the,4
way,2
interact,2
fundamentally,2
shifting,1
going,1
back,1
malleable,1
tool,11
ever,6
created,3
believe,3
capability,5
recover,1
faster,2
emerge,1
stronger,1
at,2
call,3
dynamic,1
tech,6
intensity,3
adopting,1
bestinclass,2
platform,7
building,5
proprietary,1
product,8
service,9
inspired,1
ingenuity,1
creativity,1
many,1
industry,7
around,11
applying,2
big,2
including,12
in,10
dr,1
using,5
power,3
conduct,1
hundred,1
million,15
simulation,1
patient,1
access,5
ventilator,1
state,1
built,3
infrastructure,6
devops,1
reducing,2
take,3
stand,1
website,1
three,4
hour,2
telecom,2
two,1
analyst,1
used,3
app,3
helped,1
keep,3
associate,1
employed,1
connected,3
week,2
patagonia,1
ship,1
inventory,1
directly,1
store,2
warehouse,1
optimizing,1
send,2
single,1
shipment,1
load,2
location,2
moved,1
course,1
student,1
online,3
within,2
daysa,1
university,2
history,1
sport,1
nba,1
game,7
experience,7
fan,1
feel,1
theyre,1
together,6
safety,2
home,3
player,2
energy,1
cheering,1
fansvirtuallyin,1
arena,1
we,12
living,1
era,3
intelligent,5
edge,3
shaped,1
advance,3
distributed,2
computing,2
ambient,1
intelligence,2
multisense,1
multidevice,1
this,7
place,1
go,3
thing,1
increasingly,4
become,2
digitized,1
creating,3
breakthrough,3
precision,2
medicine,1
agriculture,1
personalized,3
ecommerce,2
floor,1
collective,1
channel,1
solution,7
area,3
they,1
enable,4
entire,4
thrive,1
so,1
employee,8
fostering,1
culture,9
hybrid,1
engage,2
intelligently,1
virtually,1
model,7
optimize,1
operation,3
safe,1
secure,4
across,12
expanding,2
intensitywith,1
trusted,1
aligned,1
success,4
more,2
relying,1
running,1
support,4
workload,1
triage,1
bot,2
twin,1
today,2
leader,3
industryincluding,1
fortune,2
run,4
azure,2
computer,1
datacenter,1
region,1
provider,2
fifty,1
device,8
extends,2
consistency,1
development,4
stack,2
enables,4
deploy,2
anywhere,1
extend,1
management,6
machine,1
learning,9
inferencing,1
closer,1
data,22
generated,1
harshest,1
condition,2
disaster,1
acquisition,2
along,2
expand,3
offering,1
operator,1
move,1
g,1
taking,2
space,1
enabling,3
anyone,4
satellite,1
ai,10
there,1
zettabyte,1
processing,1
real,1
imperative,1
layer,2
limitless,1
analytics,2
warehousing,1
scientist,1
generate,1
immediate,1
insight,2
structured,1
unstructured,1
able,3
deliver,2
cloudnative,2
estate,1
comprehensive,1
portfolio,2
framework,1
services,1
easier,2
application,4
see,2
hear,1
speak,1
search,1
understand,2
accelerate,3
decisionmaking,1
ensuring,3
responsibly,3
safely,2
pushing,1
bound,1
generalize,1
beyond,1
narrow,1
domain,3
collaborating,1
supercomputing,1
train,1
unprecedented,1
scale,1
their,1
wa,1
trained,1
supercomputer,1
constitutes,1
natural,2
language,1
understanding,1
generation,1
promising,1
scenario,2
deployed,1
majority,2
job,4
opening,1
developer,12
outside,1
influence,1
process,6
function,2
loved,1
with,3
popular,1
code,2
editing,1
vs,2
codedevelopers,1
productive,2
collaborate,2
software,2
apps,3
modernize,1
existing,1
went,1
give,3
remote,7
productivity,4
collaboration,4
wherever,2
best,5
second,3
share,1
realtime,1
regardless,1
integrate,1
rich,1
communication,1
reliable,1
to,2
category,3
developerscitizen,1
developersequipping,1
expert,1
lowcode,1
nocode,1
solve,1
unique,1
need,9
better,3
professional,3
citizen,1
virtual,2
agent,1
automate,2
workflow,3
analyze,1
day,1
point,2
click,1
manual,1
legacy,1
modern,1
empowering,3
adapt,1
fluid,1
working,5
missioncritical,1
school,1
life,1
sustain,2
active,2
usage,1
higher,1
enterpriseclass,1
securityprotects,1
individual,4
privacy,7
find,1
information,2
surface,1
reimagining,1
stackfrom,1
infuse,1
silicon,1
form,2
factor,1
role,3
systemsinvesting,1
six,1
served,1
largest,2
atscale,1
experiment,1
weve,4
seen,1
studying,1
closely,1
changing,3
nature,1
inform,1
think,1
future,4
vector,1
system,2
doesnt,1
begin,1
end,1
inside,1
meeting,2
focused,1
meetingbefore,1
its,3
chat,1
content,4
office,2
integrated,2
user,2
flow,1
important,2
a,1
teams,1
skill,5
reskill,1
upskill,1
surfacing,1
finally,3
prioritizing,1
wellbeing,1
core,3
mode,1
reduce,1
cognitive,1
commute,1
provide,4
muchneeded,1
structure,1
workday,1
dynamics,2
digitize,1
part,2
supplychain,1
sale,2
contactless,1
shopping,1
much,2
still,2
analyzed,1
omnichannel,1
degree,1
view,1
unify,1
unlock,1
combination,1
effective,1
selling,1
rapidly,1
market,1
member,1
global,3
workforce,2
never,1
acute,1
connect,2
learn,2
plan,2
turning,1
acquire,1
attract,1
retain,1
develop,2
talent,1
security,5
compliance,2
underlie,1
cybercrime,1
cost,2
government,5
trillion,1
shift,1
increased,1
architecture,1
reduces,1
complexity,1
offer,3
endtoend,1
protect,5
identity,3
provides,1
monthly,1
defender,1
broad,1
coverage,1
spanning,1
iot,1
complement,1
analyzes,1
signal,1
detect,1
investigate,1
automatically,1
remediate,1
threat,3
monitor,1
manages,1
unified,1
govern,1
comply,1
increasing,2
regulatory,1
requirement,1
gaming,5
expansive,1
entertainment,2
look,1
community,9
achievement,1
ambition,1
play,3
record,1
engagement,1
monetization,1
led,1
strength,1
console,1
everywhere,1
turn,1
socialize,1
friend,1
social,1
distancing,1
xbox,2
pass,2
subscriber,2
differentiated,1
engine,1
behind,1
growth,5
pending,1
media,1
privately,1
held,1
publisher,1
add,1
iconic,1
franchise,1
highquality,1
already,1
available,1
were,2
also,7
played,1
viewed,1
bringing,2
stream,1
phone,1
tablet,1
nearly,1
pursue,2
recognize,1
enormous,1
responsibility,1
ensure,3
benefit,1
everyone,4
urgent,1
looking,1
usin,1
partnership,3
themto,1
action,2
committed,3
private,1
foster,1
impact,3
redefine,1
for,2
four,1
attribute,1
inclusive,4
protecting,1
underscored,1
without,2
healthy,2
society,1
economy,2
initiative,2
tackle,1
toughest,1
research,1
requires,2
equip,1
indemand,2
accelerating,2
effort,3
close,2
broadband,2
gap,2
underrepresented,1
overlooked,1
compete,1
equal,1
ground,1
intensified,1
forcing,1
ten,1
thats,3
asset,1
github,1
seeker,1
gain,1
unserved,2
underserved,1
rural,2
globally,2
july,1
prioritize,1
accessibility,3
design,1
accessible,2
billionplus,1
disability,1
continue,1
journey,1
seek,2
inspire,1
others,1
fiveyear,1
investment,1
nonprofits,1
solving,1
pressing,1
affordable,1
nonprofit,2
greater,1
cause,2
serve,3
provided,1
donated,2
discounted,1
additional,2
match,1
giving,1
program,2
care,2
fundamental,2
right,5
unequivocally,1
defending,2
democracy,2
addressing,3
recent,1
event,1
shining,1
bright,1
light,1
seeing,1
vulnerable,1
supplier,2
includes,2
strengthening,1
include,2
investing,1
justice,2
cultural,1
doubling,2
number,2
blackowned,1
percentage,2
transaction,1
volume,1
financial,1
reform,1
stop,1
attack,1
integrity,1
democratic,1
academic,1
explore,1
technological,1
preserve,1
electoral,1
defend,1
disinformation,1
sustainable,2
third,1
finite,1
resourcethe,1
planetby,1
toward,1
over,2
set,2
ambitious,1
goal,2
outlined,1
detailed,1
carbon,1
negative,1
zero,1
waste,1
water,1
positive,1
planetary,1
manage,2
good,2
innovating,2
creation,1
innovation,1
earn,1
trust,5
none,1
progress,1
possible,1
responsible,2
transparency,3
approach,3
protection,1
grounded,1
belief,2
principle,3
commitment,2
transparent,1
practice,1
meaningful,1
choice,1
early,1
supporter,1
general,1
regulation,1
gdpr,1
major,1
date,1
visited,1
central,1
age,1
complex,1
alone,1
enough,1
combat,1
international,1
team,1
technical,1
legal,1
expertshas,1
coordinated,1
disrupt,1
targeting,1
human,2
example,1
took,1
control,1
covidthemed,1
