token,frequency
e,6
s,3
t,3
l,1
a n n,1
a l,1
v,1
i,2
quality,11
life,13
future,3
nutrition,20
health,11
wellness,4
a way,1
portfolio,17
all life,1
the day,2
cover,1
an integral part,1
healthier,5
healthy eating,1
each year,1
the brand,6
a positive difference,2
letter,1
strategy,33
a changing world,3
review,5
information,6
performance,11
the engine,1
value,29
creation,15
growth,46
costreduction,1
bps,2
margin,48
improvement,3
internal growth,7
trading,65
operating,90
profit,91
basis,33
constant currency,8
currency,2
share,33
cash,10
flow,9
net financial debt,3
dividend,4
increase,2
evolution,2
page,13
financial review,1
business,42
food,20
contribute,3
company,9
a global company,2
local engagement,1
success,9
trust,6
innovation,26
relevance,1
place,8
dedication,3
the right,1
lifeenhancing,1
premiumization,3
affordable highquality,2
meaningful differentiation,2
cream,10
total group,1
social welfare,1
chapter,1
every day,2
the natural environment,2
decrease,3
coffee,16
a target,1
the volume,1
priority,2
the planet,4
job,1
the age,1
indirect greenhouse,1
gas,2
tonne,4
product,13
waste,9
disposal,3
reduction,3
direct water,1
every category,1
electricity,1
healthy delicious convenient,1
beverage,2
a rapidlychanging,1
environment,4
the key,1
ability,11
continuity,3
change,12
discipline,3
sustainable value,6
the long term,5
journey,1
purpose,5
evolving consumer,2
science,8
agility,1
passion,1
confidence,2
the future,2
track,5
model,6
a balance,5
topline growth,2
bottomline performance,1
capital,25
efficiency,10
mid singledigit organic growth,11
strong real internal growth,1
pricing,16
momentum,2
infant nutrition,6
a positive impact,1
foreign exchange,4
restructuring,2
a 0th consecutive increase,1
the yearly dividend,1
strategic focus,3
nutritional health,2
the highgrowth,1
petcare,9
nutrition water,1
industry,10
detailed analysis,1
future growth,2
lie,1
strategic scope,1
longterm interest,1
this business,2
the review,1
mid0,1
management,19
high growth,2
potential deliver,1
leadership,8
the perpetual global license,2
consumer,23
foodservice,2
iconic coffee,1
a global leader,1
natural nongmo,1
addition,8
the divestiture,1
confectionery,4
low market,1
that market,1
the sale,1
right,1
society,14
long term,1
a fastchanging,1
improved revenue,1
profitability,2
the context,2
a volatile economic environment,1
significant disruption,1
the retail sector,1
an unprecedented rate,1
simpler,1
the pace,2
disciplined execution,2
short innovation,1
order,5
rapid prototyping,2
network,2
quick inmarket,2
fast product,1
snack,2
bar,4
an authentic vegan,1
meat,2
analogue,1
offering,7
the rise,1
online shopping,1
the retail industry,1
the digital transformation,1
ecommerce,5
impact,8
the environment,6
packaging,13
the top,2
agenda,2
goal,2
recyclable,4
collective action,1
an industry,2
level,2
collaboration,1
input,2
energy,2
distribution,6
the world,7
reinflation,1
the strength,2
operational efficiency,3
drive,3
belief,1
good progress,1
significant costreduction,1
administration,2
procurement,4
manufacturing,6
focus,5
the penetration,2
service,4
size,3
scale,5
global purchasing,2
hubs,2
source,4
factory,3
footprint,2
increased capacity,2
utilization,2
a significant contribution,2
the improvement,3
underlying trading,45
the area,2
the primary focus,2
organizational structure,1
new consumer,1
a regionallymanaged,1
transformation,2
organization,5
the connection,1
parallel,2
compensation,7
part,11
the threeyear buyback,1
program,11
the form,1
an active role,2
guidance,5
highlyrelevant expertise,1
experience,9
a strategic review,1
an analysis,2
the food,5
the year,9
the companys financial structure,1
approach,8
record,1
financial investment,1
the progress,1
the companys,3
talent,1
pool,1
gender,4
balance,3
cultural diversity,1
the companys talent,1
acquisition,1
retention,1
development,9
work,3
force,2
annual visit,1
a major market,1
ongoing review,1
governance,6
thorough risk,1
a longterm positive impact,1
the trust,1
the way,2
pursue,1
profitable growth,4
a balanced approach,1
an inclusive view,1
the core,2
this opportunity,1
initiative,5
gratitude,1
continued support,1
billionaire,1
brand,13
the superior nutrition,1
profile,5
the life,1
the pet,1
the source,1
sustainable financial performance,1
way,3
market,14
the short term,1
strength,1
an attractive product,1
a unique ability,1
core,8
the tastiest,1
a convenient manner,1
the other end,1
the spectrum,1
offer,1
the taste,1
convenience,3
knowledge,3
healthy aging,1
benefit,1
interest,3
good health,1
longterm value,5
the balanced pursuit,1
resource,6
efficient top,1
bottomline growth,1
differentiation,2
the goal,1
the past,1
organic growth,14
the high end,2
the industry,2
a clear path,1
highgrowth,4
attractive growth,1
petcare nutrition water,1
strong market,1
particular emphasis,1
a capital,2
allocation,5
standpoint,1
marketing,4
expenditure,4
external growth,1
a combination,1
presence,1
a high level,1
understanding,2
turnaround,1
bringing,1
faster,1
the same time,3
cuttingedge,1
technology,9
new business,2
a strong focus,1
digital transformation,1
messaging,1
new digitallycentric,1
all consumer,1
average,2
attractive highgrowth,1
position,2
the acquisition,2
us confectionery,1
much work,1
access,4
costeffective way,1
a disciplined way,1
an aim,1
potential disruption,1
the value,3
facility,2
real estate,1
site,1
closure,1
fuel,2
an example,6
a balanced pursuit,1
the primary driver,1
competitiveness,1
sustainability,6
shareholder,3
the longterm,1
decision,1
making,1
a local level,1
the right balance,1
flexible access,1
this regard,1
support,2
economic profit,1
the fivequarter,1
the end,3
the restated figure,1
a 0th consecutive dividend,1
commitment,8
cultural fit,1
a disciplined acquisition,1
policy,5
the price,1
coffee nutrition,1
water,23
solid integration,1
clear accountability,1
buyback,4
the total,1
structure,4
positive societal impact,1
a nutritional benefit,1
the consumer,3
the development,2
the practice,1
stewardship,6
new competitive advantage,1
scientificallyproven infant,1
blend,1
a healthy baby,1
gut,1
the risk,1
the immune,1
system,3
continuous innovation,2
dna,1
a cornerstone,1
key,1
unmatched expertise,1
the relationship,1
demand,8
this investment,1
solid scientific foundation,1
new breakthrough,1
longterm innovation,1
the potential,1
maternal nutrition,1
personalized nutrition,2
the microbiome,1
sugar,8
salt,1
fat,1
top,1
agile,1
fastmoving,1
the rate,1
a desire,1
transparency,3
new product,1
global trend,1
vegetarian lactosefree,1
speed,2
the real opportunity,1
the marketplace,1
fast prototyping,1
the start,1
feasible,1
the business,3
a pragmatic approach,1
entry,2
industrial footprint,1
evidence,1
the market,4
an innovation,1
traction,1
local consumer,2
the forefront,1
advantage,1
this strength,1
create,2
ambition,8
a steady stream,1
innovative standout,1
the nutrition,1
a special focus,1
recyclable packaging,1
alternative packaging,1
sustainable nutrition,1
nutritious dairy,1
a taste,1
affordable nutrition,4
expertise,4
low cost,1
a companywide drive,1
the institute,1
the research,1
functional paper,1
this work,1
a pipeline,1
the science,2
pet nutrition,1
that tradition,1
the newlylaunched stateoftheart,1
global collaboration,1
scientific thought,1
veterinary knowledge,1
the critical role,1
pet,2
plantbased protein,1
platform,6
a new growth,2
capture,1
crosscategory,1
vegan product,1
the continued expansion,1
range,11
sustainable future,1
unique solution,1
appetite,3
a new segment,1
ice,1
a unique recipe,1
cocoa,4
peanut,1
butter,1
coconut,1
almond,1
milk,4
team,2
the trend,1
signature,1
thin chocolate,1
an indulgent experience,1
incubator,1
rapid product,1
launch,4
pizza,3
a startup mentality,1
pizzas,2
the product,6
concept,3
a day,1
ko,2
white scoop,1
outline,2
process,2
match,1
pms,1
cone,1
field,1
usage,1
this logo,1
effect,1
the same percentage,1
malt,3
tea,1
favorite coffee,1
premium coffee,1
popular chocolate,1
a glance,10
an international rollout,1
campaign,2
the relaunch,1
premium,4
soluble coffee,1
single advertising,1
single origin,1
a premium authentic coffee,1
a new brand,1
license,2
agreement,1
roast,1
ground,1
retail internationally,1
a range,5
craftmanship,1
reinforce,1
authenticity,1
zero,2
a prime example,1
content,4
this new product,1
a recipe,1
carbohydrate,1
no added sucrose,1
seed,1
the appeal,1
an exciting experience,1
coffeeshop,1
generation,2
an experience,1
infant formula,3
baby,1
these highgrowth,1
an additional growth,1
medical nutrition,2
care,2
a megabrand,1
gold,1
a unique ingredient,1
brain,1
the launch,6
research,4
the rollout,1
history,1
fundamental research,1
pure,1
a pureborn brand,1
strong consumer,1
line,7
the new line,1
use,3
ontrend organic,1
illuma,1
naturality,2
the new product,1
the success,3
the integrity,1
chain,14
farm,2
powder,1
successful rollout,1
a clean label,1
vegetal origin,1
side,1
collagen,1
a successful launch,1
the link,1
gut health,1
skin beauty,1
organic range,1
new growth,2
this iconic brand,1
glass,1
the combination,1
transparent packaging,1
a category,1
ambient,2
dairy,3
a key pillar,1
nutritional expertise,1
early childhood,1
old age,1
creamer,2
constant innovation,1
a wide range,2
delicious indulgent,1
affordable price,1
a trusted brand,1
the addition,5
this lactosefree format,1
appeal,1
vegan trend,1
the nondairy bar,1
a unique firsttomarket,1
format,5
this superpremium,1
flexitarian ice,1
the new cookie,1
the sandwich,1
segment,8
reputation,2
clean label,1
exotic premium,1
the super premium,1
mini,1
a format,1
portioncontrol,1
treat,1
a big hit,1
permissible indulgence,1
the premium snack,1
new formulation,1
fruitfirst approach,1
brighter,1
role,1
a new snacking,1
natural wholesome indulgence,1
the range,2
corn,1
syrup,1
this product,1
plantbased nondairy,1
portfoliowide,1
new range,1
a nondairy,1
solution,1
address consumer,1
natural pet food,1
advance,1
global demand,1
worldwide,1
proven science,1
capacity,4
robust growth,1
the cat,1
production,5
online,2
lead,1
the segment,1
investment,3
taste,4
competitive advantage,1
robust brand,1
loyalty,1
the flagship,1
digestive health,1
specialty,1
pet food,1
diet,1
epilepsy,1
an adjunct,1
veterinary therapy,1
cognitive dysfunction,1
leading research,1
the veterinary segment,1
move,1
proprietary nutritional algorithm,1
convenient,2
subscription,1
home,1
delivery,1
a majority,1
stake,1
the opportunity,1
further expand,1
the field,1
personalized petcare,2
the platform,1
a new digital business,1
same dedication,1
successful premiumization,1
superior taste,1
healthy growth,1
a pioneering,1
chew,1
tartar,1
buildup,1
healthy pet,1
category,5
a number,2
cater,1
natural tasty,1
the authentic taste,1
italian pizza,1
an authentic italian pizza,1
neapolitan knowhow,1
the unique taste,1
texture,1
dough,1
culture,4
insight,1
recipe adaptation,1
the bottom,1
the pot,1
partner,1
convenient world,1
cuisine,1
flavor,1
top family,1
the partner,1
every main meal,1
a digital recipe,1
the whole family,1
successful relaunch,1
target,1
proposition,1
highprotein,1
sandwich,1
the new offering,1
plantbased portfolio,1
the shift,1
sustainable food,1
the iconic global brand,1
a large portfolio,1
the category,1
aim,2
a new chocolate,1
world,1
chocolate,2
innovative chocolate,1
the ruby chocolate,1
special,1
the intense taste,1
any flavor,1
color,1
new brand,2
the moment,2
consumption,3
temporary popup,1
the approach,1
a showcase,1
building,1
immersive personalized experience,1
personalization,1
own sweet mix,1
each tin,1
significant consumer,1
excitement,1
buzz,1
this approach,1
seasonal product,1
local hero,1
a new layered fruit,1
nut,1
dark chocolate,1
the first mainstream clean,1
label,1
organic chocolate,1
specific appeal,1
first product,1
breakthrough,1
microaeration,1
this innovation,1
indulgence,1
a natural alternative,1
new allnatural brand,1
an internal startup,1
vegetarian glutenfree snack,1
the rapid growth,1
great texture,1
lemon,1
quinoa,1
meaningful product,1
a fastgrowing,1
hydration,1
bottled water,1
affordable healthy hydration,1
international sparkling water,1
strong growth,3
the premium segment,1
premium sparkling,1
flagship,3
aluminum,1
flavored water,2
heritage,1
sourcing,1
premium differentiation,1
novel flavor,1
cold brew,1
bioinfusion,1
fruit,1
ambient temperature,1
natural taste,1
no added aromas,1
natural healthy hydration,1
authentic taste,1
a premium,1
a major transformation,1
image,2
timely support,1
international expansion,1
functional water,1
mineral,1
improved muscle,1
function,4
reduced tiredness,1
regional spring,1
sparkling,1
local spring,1
the move,1
response,2
a significant shift,1
healthyhydration,1
the new range,1
pure water,1
a goto,1
sugary drink,1
cube,1
a social impact,1
an improved nutritional profile,1
consultation,1
rural development,5
a solid foundation,1
compliance,10
a culture,2
respect,2
a firm commitment,1
social sustainability,2
these focus,1
progress,4
materiality,3
assessment,5
regular feedback,1
case,2
the expense,1
a business,2
overall sense,1
nonfinancial value,1
reporting,1
an impact,2
the next decade,1
the study,1
the initiative,1
a positive business,1
return,2
bridge,2
school,1
divoire,3
partnership,1
education,1
labor,2
societal return,1
detail,1
methodology,2
website,1
this impact,1
valuation,1
application,1
an impact valuation,1
the work,3
conversation,1
additional content,1
online report,1
section,1
corporate website,1
happier,2
lead healthier,2
sharing,2
biomedical science,1
tastier,2
sodium,2
ingredient,1
undernutrition,1
micronutrient fortification,1
nutrition information,1
point,2
sale,1
healthy cooking,1
eating,1
breastfeeding,1
an industryleading,1
breastmilk,1
healthy food,1
align,1
environmental impact,3
decent employment,3
diversity,6
climate,6
agricultural supply,1
integrity,4
the organization,1
effective grievance,1
workforce,1
the entire value,1
effective water,1
agriculture,2
awareness,2
conservation,1
sanitation,2
proactive longterm engagement,1
the environmental performance,1
loss,2
meaningful,1
accurate environmental information,1
dialogue,2
natural capital,1
economics,1
availability,1
dietary diversity,1
responsible sourcing,1
supply,5
promote,1
animal,1
welfare,3
green coffee,1
clear nutrition,1
portion,1
help,3
good nutrition,1
