token,frequency
n,11
e,13
l,6
é,1
a,20
u,35
r,6
v,1
w,1
quality,21
life,42
contributing,6
healthier,37
future,24
our,85
purpose,15
food,67
go,3
together,8
what,4
people,22
eat,4
drink,6
fundamental,13
health,36
wellbeing,2
we,153
create,34
good,33
nurture,1
happier,4
tomorrow,2
front,3
cover,4
accompanying,1
report,15
innovation,57
ingenuity,1
enjoyed,4
one,17
best,6
ever,5
performance,24
the,139
business,131
grows,1
harnessing,1
power,1
lifechanging,1
nutrition,61
letter,3
shareholder,40
pursuing,6
valuecreation,3
strategy,22
innovating,5
fast,8
ensure,17
longterm,26
growth,146
creating,28
value,49
digitalization,6
connecting,4
brand,70
review,8
information,15
compensation,5
financial,33
statements,2
online,8
you,1
find,4
wwwnestlecom,3
wwwnestlecomcsv,2
wellness,10
engine,2
creation,12
wa,50
another,2
year,50
strong,45
progress,18
key,22
operating,96
metric,3
improved,14
significantly,3
second,5
consecutive,9
organic,44
reached,15
internal,20
accelerated,8
full,6
highest,4
level,21
last,10
six,7
profitability,4
reach,6
guided,3
range,31
ahead,4
plan,13
cash,23
flow,18
underlying,58
earnings,14
per,27
share,52
return,16
record,2
on,3
right,23
summary,1
result,13
achieved,2
group,14
sale,88
billion,65
trading,86
profit,91
margin,54
constant,9
currency,14
point,28
chf,32
net,24
debt,9
proposed,5
dividend,21
increase,34
measure,8
defined,4
detail,4
see,12
page,8
for,23
ha,42
producing,1
beverage,26
enhance,12
contribute,4
across,38
globe,1
provide,10
healthy,26
delicious,4
convenient,3
product,154
modern,2
timeconstrained,2
lifestyle,4
portfolio,36
includes,14
attractive,6
growing,5
category,37
offering,22
solution,22
stage,5
every,11
moment,2
day,13
sell,9
powdered,1
ice,24
cream,26
prepared,9
dish,9
cooking,13
aid,9
confectionery,10
water,44
where,2
aoa,5
ams,2
number,18
employee,21
country,14
salary,1
social,14
welfare,5
expense,6
tax,5
paid,3
commitment,21
environmental,26
guide,3
effort,14
force,10
benefit,5
positive,31
societal,5
impact,46
must,10
mutually,1
reinforcing,1
this,66
core,7
approach,27
company,27
successful,9
long,7
term,13
stakeholder,19
individual,10
family,9
over,7
new,81
launched,16
addressing,1
specific,8
nutritional,23
need,18
gap,4
baby,5
child,17
expecting,2
woman,8
mother,7
million,30
community,25
coffee,34
plantlet,2
distributed,3
cumulative,1
since,15
farmer,19
target,10
volume,4
priority,9
raw,6
material,11
responsibly,7
sourced,6
planet,9
serving,1
fortified,1
delivered,4
higher,12
vulnerability,1
micronutrient,3
fortification,2
portion,3
vegetable,3
added,8
job,1
opportunity,20
traineeship,1
apprenticeship,1
offered,3
age,4
nestlé,16
initiative,15
trained,1
capacitybuilding,1
program,26
reduction,11
greenhouse,9
gas,9
emission,13
tonne,4
manufacturing,14
operation,18
factory,12
zero,16
waste,11
disposal,4
direct,1
withdrawal,1
electricity,2
come,8
renewable,6
source,5
dear,1
fellow,1
stand,1
today,4
journey,9
live,4
responsibility,6
operate,10
aim,12
trusted,1
dependable,1
that,1
mean,4
managing,3
supply,34
chain,33
bringing,6
meaningful,5
market,43
building,17
delight,3
way,21
true,2
built,6
because,1
delivering,2
sustainably,4
industryleading,2
balance,8
top,8
bottomline,4
highlights,1
include,11
actively,3
sharpened,3
strategic,17
focus,16
accelerating,3
science,15
technology,24
made,23
change,37
research,14
development,27
empowering,1
anticipate,6
changing,7
consumer,97
trend,16
faster,6
launch,27
embracing,2
continued,23
advance,3
capability,3
digital,36
marketing,18
ecommerce,10
traceability,4
taking,10
leadership,7
role,4
sustainability,17
action,14
tackle,3
climate,27
committed,14
substantial,1
make,24
packaging,34
recyclable,9
reusable,6
making,10
toward,11
model,23
based,19
balanced,4
pursuit,3
topline,2
well,21
capital,35
efficiency,24
ambition,10
sustainable,26
mid,23
singledigit,29
pleased,2
increased,44
real,5
pricing,36
supported,18
momentum,10
largest,8
reported,19
divestments,3
negative,19
foreign,5
exchange,9
reduced,8
basis,29
left,1
chief,7
executive,12
officer,7
th,5
yearly,1
around,12
busy,1
adjustment,1
announced,8
start,6
significant,8
transaction,4
divestment,4
longer,4
lie,1
increasingly,3
outside,1
nestlés,2
boundary,2
shift,8
disciplined,6
maximize,4
asset,6
agreement,3
usd,5
also,34
agreed,4
stake,5
joint,6
venture,6
harmonizing,2
simplifying,2
organizational,2
structure,7
took,7
decision,4
migrate,1
globallymanaged,1
three,11
geographic,6
zones,8
represents,1
step,9
move,13
expected,8
responsiveness,1
competitiveness,1
generates,1
local,24
follows,1
migration,1
professional,2
an,2
engaged,4
generation,8
driving,5
ideology,1
natural,21
plantbased,20
protein,5
simpler,2
ingredient,14
they,6
expect,2
experience,9
beyond,6
authentic,1
act,7
socially,1
environmentally,1
these,19
led,1
redefine,2
shorter,1
cycle,2
during,5
shortened,2
timeline,2
project,8
average,7
fifty,1
fasttrack,2
idea,8
within,6
month,14
in,72
total,21
introduced,1
worldwide,5
reformulated,1
improve,18
starbucks,4
rapid,6
prime,2
example,11
urgency,1
speed,7
acquiring,1
license,4
successfully,5
first,27
wave,1
generated,4
incremental,4
believe,7
offer,14
better,21
profile,4
lower,5
footprint,10
compared,2
meat,4
through,7
capacity,1
developed,10
burger,3
demonstrate,4
contribution,7
society,13
helping,9
global,22
challenge,11
to,16
give,5
set,6
goal,7
governance,12
practice,11
both,2
wide,4
plant,5
including,26
vegan,1
alternative,9
chicken,1
cheese,1
bacon,1
scale,11
major,6
player,1
area,14
leveraging,4
touch,2
part,11
farm,5
fork,1
as,6
supplier,6
customer,11
going,2
adapting,3
evolving,4
working,10
take,15
practical,2
