token,frequency
dear,1
fellow,1
shareholder,9
for,2
year,13
ha,11
built,1
success,4
profound,1
understanding,1
nutrition,9
that,1
based,4
continuous,2
compelling,1
strategy,7
lead,2
sustainable,2
value,13
creation,4
it,8
also,10
ability,2
change,11
adapt,2
wa,6
exception,1
continuity,3
we,22
continued,4
build,1
company,15
long,1
term,1
increasing,2
speed,2
efficiency,5
around,4
u,4
competition,1
intensifying,1
consumer,9
expectation,1
shifting,1
digital,1
disruption,1
reshaping,1
connect,1
communicate,1
buy,1
product,4
engage,1
anticipating,1
responding,2
healthy,2
sense,1
urgency,1
setting,2
agile,1
course,2
future,5
organic,5
growth,11
supported,1
real,1
internal,1
pricing,1
consistent,1
prior,1
net,1
divestments,1
reduced,2
sale,2
foreign,1
exchange,1
minimal,1
negative,1
impact,2
reported,2
increased,2
billion,2
emerging,2
market,6
developed,1
underlying,2
trading,2
operating,3
profit,3
margin,2
basis,3
point,2
constant,1
currency,1
result,2
directors,1
proposing,1
rd,1
dividend,1
increase,3
underlining,1
commitment,4
centime,1
per,1
share,3
a,2
clear,2
path,2
forward,2
heart,1
since,2
invented,1
farine,1
lactée,1
saved,1
life,3
child,1
our,8
health,4
wellness,1
relevant,1
ever,1
people,6
globe,2
want,2
healthier,2
they,3
interested,1
role,3
play,2
personal,1
wellbeing,1
well,3
positioned,1
support,5
providing,1
quality,2
nutritious,1
food,5
beverage,3
delicious,1
convenient,2
broad,1
portfolio,2
includes,1
world,3
recognised,1
brand,2
leader,3
many,3
fastestgrowing,1
category,6
during,2
confirmed,1
longterm,5
model,5
midterm,1
target,2
underscore,1
right,2
balance,1
topline,1
bottomline,2
performance,3
set,2
aim,3
achieve,1
midsingle,1
digit,1
core,1
business,13
different,1
to,3
grow,1
steadily,1
managing,1
coffee,3
pet,1
care,1
bottled,1
water,1
infant,2
healthcare,2
additional,1
area,2
especially,1
meeting,2
nutritional,2
need,2
ageing,1
population,1
furthermore,1
building,3
strong,4
position,2
allocating,1
capital,7
actively,2
developing,1
reflect,1
new,6
taste,1
lifestyle,1
tastiest,1
healthiest,1
compete,1
capitalising,1
recent,1
trend,2
whole,1
grain,1
calorie,1
natural,1
delivering,2
plantbased,1
alternative,1
innovation,2
key,1
differentiator,1
fueling,1
within,1
driven,1
industryleading,1
research,1
development,2
network,1
combined,1
deep,1
insight,1
speeding,1
meaningful,1
bring,1
service,6
quickly,1
in,5
several,1
acquisition,3
helped,1
strengthen,1
fastgrowing,1
give,1
access,2
demand,1
experience,1
took,1
majority,1
stake,1
roaster,1
retailer,1
acquired,2
number,1
one,2
cold,1
brew,1
with,1
meal,3
growing,1
frozen,1
offering,1
highquality,1
vegetarian,1
dish,1
bought,1
minority,1
interest,2
online,1
delivery,1
platform,1
announced,1
global,3
left,1
chief,4
executive,3
officer,4
review,4
simplifying,2
manufacturing,2
footprint,1
ensured,1
transition,1
letter,1
across,2
focusing,1
structural,1
cost,1
saving,1
nonconsumer,1
facing,1
specifically,1
