token,frequency
dependability,2
agility,2
a challenging year,1
every aspect,3
much uncertainty,1
place,1
supply,3
essential food,1
support,2
business,5
crisis,3
volatility,1
further progress,1
value,1
creation,1
model,1
a balanced pursuit,1
topline,1
bottomline,1
growth,6
capital,1
efficiency,1
real internal growth,1
pricing,1
strong momentum,1
exchange,1
appreciation,1
the swiss franc,1
a negative impact,1
a result,1
trading,1
operating,2
profit,2
margin,2
basis,7
constant currency,2
the trading,1
share,2
free cash,1
flow,1
accounting,1
the consistency,1
company,1
resilience,1
the agility,1
the strength,1
diversified portfolio,1
product,1
decentralized model,1
speed,3
consumer,5
customer,1
strategic focus,1
significant progress,1
portfolio,1
transformation,1
attractive highgrowth,1
the decision,1
water,1
focus,1
iconic international premium mineral,1
peanut,2
milk,1
canned rice,1
porridge,1
the divestment,1
ice,1
cream,1
the sale,1
stake,2
a joint venture,1
a nutritional powerhouse,1
a combination,1
strong organic growth,1
treatment,1
allergy,1
presence,1
directtoconsumer meal,1
delivery,1
the acquisition,1
a majority,1
collage,2
the longterm,1
research,1
development,1
key growth,1
production,4
network,1
investment,1
the expansion,1
center,1
demand,3
worldwide,1
the development,3
chain,2
fastchanging consumer,1
ecommerce digital engagement,1
nutrition health,1
wellness,1
major change,1
the pandemic,3
the rapid shift,1
athome consumption,1
behavior,1
this new reality,1
innovation,5
example,2
nutritional balance,1
meal,1
the health,2
an enormous impact,2
a volatile environment,2
the challenge,2
purpose,2
life,2
relentless,1
dedication,1
time,4
relevance,1
average time,1
market,1
top priority,1
ability,1
a pipeline,1
breakthrough,1
new growth,1
the number,1
multimarket,1
approach,3
an emphasis,1
entrepreneurialism,1
creative ecosystems,1
plantbased dairy,1
scale,2
part,2
climate,5
change,4
packaging,3
waste,4
biodiversity,3
the progress,2
financial success,2
this sustainability,2
ongoing digital transformation,1
a powerful catalyst,1
engagement,1
digital marketing,1
directtoconsumer,1
the sudden acceleration,1
online shopping,1
the same time,1
disciplined forwardlooking,1
flexibility,1
the use,2
remote assistance,1
augmented reality,1
the setup,1
new production,1
ontime product,1
a key driver,1
evolution,1
insight innovation,1
sustainable profitable growth,1
a leadership,1
role,1
sustainability,1
a force,1
full respect,1
the environment,1
agenda,2
substantial progress,1
a detailed timebound,1
roadmap,1
course,1
net zero,1
greenhouse,1
gas,1
the way,1
new business,1
food,2
regenerative agriculture,1
reforestation,1
program,1
renewable energy,1
emphasis,1
the need,1
disposable packaging,1
drive new behavior,1
management,2
infrastructure,1
oversight,1
social agenda,1
valuable guidance,1
strategy,1
practice,1
diverse experience,1
the appointment,1
a new independent director,1
beverage,1
expertise,1
the year,1
governance,2
framework,1
risk,1
the mission,1
diversity,1
inclusion,1
this opportunity,1
outstanding commitment,1
hard work,1
confidence,1
demonstrating dependability,1
was a challenging year,1
impacted every aspect,1
created much uncertainty,1
ensuring supply,1
inkind support,1
caused volatility,1
made further progress,1
continued appreciation,1
had a negative impact,1
underlying trading,1
reported basis,4
demonstrate the consistency,1
make significant progress,1
took the decision,1
completed the divestment,1
create a joint venture,1
growing consumer,1
accelerate the development,1
expanded production,1
meet fastchanging consumer,1
been the rapid shift,1
using nutritional balance,1
had an enormous impact,2
drive growth,1
build a pipeline,1
deploy breakthrough,1
create new growth,1
scale growth,1
increased the number,1
encouraging entrepreneurialism,1
fueling creative ecosystems,1
being part,2
face the progress,2
finance this sustainability,2
was a powerful catalyst,1
meet the sudden acceleration,1
increasing agility,1
accelerated the use,1
ensured ontime product,1
taking a leadership,1
made substantial progress,1
transform the way,1
exploring new business,1
advancing regenerative agriculture,1
reducing waste,1
eliminate the need,1
provide valuable guidance,1
adding diverse experience,1
expand the mission,1
including diversity,1
take this opportunity,1
crisis has,1
model based,1
growth reached,1
exchange reduced,1
margin reached,1
margin increased,1
basis underlying,1
share increased,1
share stayed,1
flow reached,1
resilience is,1
decentralized model enables,1
fastchanging consumer needs,1
major change brought,1
the pandemic has,1
behavior evolving faster,1
innovation leveraging,1
the pandemic is not,2
crisis had,2
innovation allows,1
new growth opportunities,1
financial success is,2
this sustainability agenda,1
ongoing digital transformation was,1
ontime product launches,1
sustainable profitable growth taking,1
roadmap setting,1
regenerative agriculture scaling,1
program making,1
agenda including,1
management including,1
