token,frequency
marketing,10
a recordsetting year,1
share,15
operating,6
cash,5
flow,5
quarterly dividend,1
percent,29
equal attention,1
commitment,3
direct financial support,1
volunteerism,1
an industry,1
scrutiny,1
environmental safety,1
human capital,1
governance,1
workforce,2
total recordable rate,1
low rate,2
process,3
safety,14
event,2
rate,6
the second year,1
a row,1
annual safety,1
recognition,2
the industry,2
reliability,2
financial support,2
education,3
environmental sustainability,1
community,2
time,1
service,3
the year,2
business,12
driven,1
growth,14
part,2
strategy,9
the key shale,2
export,6
capability,11
value,10
chain,3
storage,13
capacity,16
crude oil,6
completion,3
the end,3
this year,1
fractionation,4
strong free cash,2
the ethane,1
cracker,3
design,1
year,2
original design,3
further petrochemical,1
global demand,2
project,3
ethylene,1
derivative capacity,2
integrated system,1
crude,6
unit,6
modernization,1
clean product,1
yield,3
upgrade,2
production,8
highervalue petrochemical,1
higheroctane,3
gasoline,5
efficient offtake,1
refining,6
the reimaging,1
the total number,2
inception,1
retail,1
the companys,4
organization,3
culture,2
performance,6
core,1
honor,3
the right,1
portfolio,2
talent,1
place,1
superior value,1
ongoing commitment,1
excellence,6
capital,18
allocation,4
income,3
net income,1
attributable,2
common stock,2
debt,2
equity,3
common share,1
the increase,1
strong market,2
capture,1
tax,1
reform,1
balance,1
total debt,1
yearend,1
a debtto capital,1
ratio,1
a strong balance,1
sheet,1
investment,2
grade,2
credit,1
rating,1
disciplined capital,3
strong shareholder,1
long term,2
adjusted capital,1
budget,1
the growth,1
high return,2
proportional share,1
processing,2
feedstock,2
noncontrolling interest,1
thirdparty debt,1
debttocapital,2
a diversified energy,1
manufacturing,2
company,4
a portfolio,2
the company,3
master,2
partnership,2
the portfolio,1
segment,4
product,1
transportation,3
natural gas,1
petroleum,4
gas,2
this segment,1
pipeline,2
joint venture,3
interest,7
oil,9
aviation,2
margin,1
enhancement,1
day,1
throughput,1
the segment,1
the manufacturing,1
specialty,1
base,2
network,2
the midstream,1
downstream,1
diverse portfolio,1
continued oil,1
a strong foundation,1
longterm shareholder,2
progress,1
financial strength,1
dividend,3
environmental stewardship,1
shareholder,1
the right thing,2
a focus,1
a competitive advantage,2
health,3
environmental record,1
a testament,1
recordable injury,1
average,2
the rest,1
industry,2
utilization,3
a heavy turnaround,1
schedule,1
optimization,1
strong operating,1
fractionator,1
excess,1
strong execution,1
the startup,1
new ethane,1
the cracker,1
exemplary safety,1
level,1
leading performance,1
personal safety,1
energy,1
efficiency,1
certification,1
strong safety,1
comprehensive safety,1
management,2
longterm strategy,2
the expected growth,1
integrated infrastructure,1
key shale,1
the integration,1
a distinct advantage,1
access,4
the hub,2
associated pipeline,1
infrastructure,1
an option,1
ownership,1
the expansion,1
longterm third party,1
takeorpay,1
the pipeline,4
development,2
the marine terminal,1
large crude,1
carrier,1
mid0,1
additional crude,1
total crude,1
further expansion,1
the first quarter,4
the terminal,1
an export,1
nameplate capacity,1
market,1
an extension,1
a capacity,2
the delivery,1
advantaged crude,3
the project,2
the second quarter,2
an integral part,1
a competitive cost,1
predictable cash,1
distribution,1
scale financial strength,1
robust portfolio,1
organic program,1
program,3
fiveyear distribution,1
compound,2
annual growth,2
k,2
e,10
l,12
y,2
v,2
i,6
p,2
o,4
r,8
u t,2
h,2
l s,2
n,2
akke,2
a y,2
u,2
g,2
m,1
s,2
a n d,2
construction,5
facility,3
andor polyethylene,1
contruction,1
refinery,3
area,1
delivery,1
the operator,1
the capacity,1
highquality,2
the abundant supply,1
ethane,1
the costadvantaged feedstock,1
a leading position,1
world,1
scale,1
global ethylene,1
polyethylene,1
the new ethane,1
the third quarter,2
petrochemical,2
integrated ethylene,1
additional capacity,1
multiple product,1
debottleneck,1
focus,1
practice,1
cost,2
discipline,1
the integrity,1
advantaged feedstock,1
system,2
generate,1
global coking,1
low production,1
highsulfur,1
fuel,2
commercial supply,1
integration,1
the capability,1
costadvantaged crude,1
purchaser,1
heavy canadian crude,1
a large proportion,1
advantaged tight oil,1
a clean product,1
an industryleading,1
distillate yield,1
crude unit,1
isomerization,1
the refinery,1
blend,1
strong stable cash,1
a low capital,1
intensity,1
ratable pullthrough,1
inland,1
new signature,1
image,1
the inception,1
addition,1
private label,1
many original equipment,1
the marketer,1
manufacturer,1
satisfaction,1
a restructuring,1
base oil,1
the venture,1
an integrated manufacturing,1
the restructuring,1
quality,1
agility,1
graphite,1
anode,1
use,1
a variety,1
steel,1
aluminum,1
titanium,1
oxide,1
battery,1
mobile pay,1
repurchase program,1
formation,2
the quarterly dividend,1
eighth increase,1
total shareholder,1
outstanding cumulative shareholder,1
conduct,1
engage,1
the basis,1
diversity,1
an inclusive work,1
environment,1
thought,1
team,1
the organization,1
every day,1
training,1
this investment,1
vision,1
many volunteer,1
literacy,2
summer,1
equipment,1
local fire,1
food,1
waste,1
disposal,1
the last decade,1
preparedness environmental sustainability,1
civic enrichment,1
new dependent number,1
volunteer,1
annual meeting,1
the meeting,1
proxy,1
a direct stock,1
purchase,1
reinvestment,1
plan,1
a convenient way,1
stock,1
direct cash,1
payment,1
call,1
an enrollment,1
package,1
number,3
enroll,1
online,1
wwwcomputersharecominvestor,3
important investor,1
future shareholder,1
information,2
a change,1
address,1
form,1
webqueriescomputersharecom,1
guidance,1
compliance,1
ethicsp0com,1
wwwphillips0ethicspointcom,1
a request,1
website,1
the website,1
news,1
environmental performance,1
wwwdcpmidstreamcom wwwphillips0partnerscom,1
subsidiary,1
safe harbor,1
conjunction,1
this report,1
had a recordsetting year,1
deserves equal attention,1
increasing scrutiny,1
combined workforce,2
record low rate,2
fund reliability,1
promoting education,2
link the key shale,1
expanding export,1
expanded storage,1
transport crude oil,2
generating strong free cash,1
pursuing further petrochemical,1
growing global demand,2
include ethylene,1
increase clean product,1
increase production,3
bringing the total number,2
executing the companys,1
highperforming organization,3
have the right,1
deliver superior value,1
operating excellence,2
returnsfocused growth,1
ending cash,1
has a strong balance,1
delivering strong shareholder,1
sustaining capital approximately,1
selffunded capital,1
sustaining capital,2
is a diversified energy,1
limited partnership,2
provides crude oil,1
refined product,1
liquefied petroleum,1
refining segment,1
refined petroleum,1
includes the manufacturing,1
integrated network,1
creates longterm shareholder,1
made progress,1
capturing growth,1
investing capital efficiently,1
protecting shareholder,1
pursuing excellence,1
doing the right thing,1
improving health,1
is a testament,1
industryleading safety,1
create longterm shareholder,1
is industry,1
executed a heavy turnaround,1
ongoing optimization,1
had strong operating,1
demonstrated capacity,1
demonstrated strong execution,1
recognizes strong safety,1
investing capital,1
capture growth,1
providing export,1
including storage,1
refining marketing,1
expanding the hub,1
has an option,1
have access,1
planned storage,1
has an export,1
hub the pipeline,1
transports crude,1
has a capacity,2
facilitates the delivery,1
is an integral part,1
has a competitive cost,1
industryleading distribution,1
o u t,2
l l s,2
d g,2
ethylene andor polyethylene,1
expanding the capacity,1
furthermore the abundant supply,1
remain the costadvantaged feedstock,1
has a leading position,1
include integrated ethylene,1
evaluating additional capacity,1
maintain the integrity,1
integrated refining,1
industryleading global coking,1
yielding low production,1
have the capability,1
