token,frequency
letter,1
to,2
our,38
shareholders,2
table,1
of,2
businesses,2
financial,7
highlights,2
chemicals,3
refining,17
marketing,13
and,8
value,16
chain,5
strategy,13
operating,14
excellence,8
growth,22
returns,4
distributions,4
highperforming,6
organization,12
directors,1
executive,2
leadership,1
team,2
nongaap,1
reconciliations,1
form,4
k,6
lake,7
on,1
the,30
ponca,1
city,2
ok,2
phillips,22
recordsetting,1
year,12
earnings,11
billion,30
per,10
share,25
highest,7
ever,1
we,25
generated,2
cash,12
flow,6
rewarded,1
shareholder,20
strong,15
distribution,7
increased,4
quarterly,2
dividend,14
percent,29
repurchased,3
outstanding,5
returning,2
since,5
returned,1
repurchase,4
exchange,2
reducing,1
initial,1
what,1
deserves,1
equal,1
attention,1
achieved,4
result,4
continuing,1
commitment,6
safe,5
reliable,4
environmentally,2
sustainable,1
operation,8
also,11
gave,1
back,3
community,5
live,2
work,5
direct,3
support,3
volunteerism,1
employee,10
in,15
industry,9
facing,1
increasing,1
scrutiny,1
environmental,9
safety,20
human,1
capital,25
governance,1
issue,2
proactively,1
turn,1
risk,1
opportunity,7
combined,2
workforce,2
total,7
recordable,2
rate,11
wa,9
matching,2
last,4
record,5
low,5
refinings,1
tier,1
process,7
event,2
industryleading,5
for,4
second,6
row,1
one,1
refinery,16
received,6
annual,18
recognition,2
invested,1
million,16
fund,3
reliability,2
project,17
provided,3
promoting,2
education,3
sustainability,2
preparedness,2
volunteered,2
hour,3
time,3
hundred,1
charitable,1
service,5
below,1
highlight,1
business,21
segment,8
performed,1
well,6
driven,1
completed,13
placed,1
past,1
two,4
as,2
part,3
developing,2
pipeline,15
link,1
key,5
shale,3
basin,3
expanding,4
export,10
capability,12
strategic,3
gulf,5
coast,10
terminal,13
building,3
integrated,8
during,8
expanded,4
storage,14
capacity,23
barrel,9
transport,6
crude,22
oil,18
upon,2
completion,3
end,3
at,4
hub,4
adding,1
fractionation,5
expected,8
late,2
new,12
petrochemical,9
asset,12
running,1
generating,1
free,3
ethane,4
cracker,5
ha,14
consistently,1
operated,3
design,5
recently,2
pound,2
original,5
pursuing,2
meet,1
growing,4
global,6
demand,2
polymer,2
including,9
would,2
include,2
ethylene,4
derivative,2
report,13
ran,2
across,4
system,6
captured,1
margin,5
advantaged,7
feedstock,8
fluid,1
catalytic,1
cracking,1
unit,11
modernization,1
increase,7
clean,3
product,14
yield,4
started,2
upgrade,2
production,9
highervalue,1
higheroctane,3
gasoline,5
delivered,3
solid,2
efficient,2
offtake,1
continue,3
enhance,2
fuel,7
brand,3
reimaging,1
site,15
bringing,4
number,7
program,10
inception,2
approximately,5
enhancing,2
retail,2
added,2
thank,1
successfully,2
executing,2
company,12
deliver,2
defined,2
culture,2
performance,8
embrace,2
core,2
honor,3
hold,2
accountable,2
ethical,2
standard,2
optimistic,1
right,5
portfolio,7
talent,1
place,1
compete,1
superior,1
through,2
ongoing,2
returnsfocused,1
disciplined,3
allocation,4
confident,1
best,1
yet,1
come,1
c,2
chief,1
officer,1
cpchem,6
polyethylene,5
old,3
ocean,3
tx,7
roxana,1
il,1
sales,1
revenue,1
income,4
tax,3
net,1
attributable,2
common,3
stock,6
equivalent,1
longterm,6
debt,4
equity,3
activity,2
declared,1
adjusted,8
roce,1
may,12
dec,1
psx,8
peers,1
sp,1
celanese,1
corporation,5
delek,1
lp,2
hollyfrontier,1
huntsman,1
nv,1
pbf,1
energy,3
inc,1
targa,1
resources,1
compared,2
primarily,1
due,1
higher,3
associated,2
market,8
capture,3
benefited,1
favorably,1
impacted,1
lower,1
reform,1
funded,1
expenditure,2
paid,1
ending,1
balance,2
yearend,1
resulting,1
debtto,1
ratio,1
sheet,1
investment,4
grade,2
credit,1
rating,1
enables,2
u,11
grow,3
delivering,3
term,2
expect,1
reinvest,2
distribute,1
funding,2
budget,2
includes,4
sustaining,4
high,4
return,5
major,1
joint,4
venture,5
selffunded,1
proportional,1
consolidated,3
processing,6
enhancement,2
maintaining,2
midstream,5
partners,5
structure,1
b,8
noncontrolling,1
interest,8
thirdparty,1
debttocapital,2
excluding,1
investments,1
psxp,4
diversified,1
manufacturing,5
logistics,3
with,3
store,1
globally,1
master,2
limited,2
partnership,2
integral,2
headquartered,1
committed,4
provides,5
refined,2
transportation,3
terminaling,1
natural,2
gas,5
liquid,1
liquefied,1
petroleum,4
mainly,2
this,2
llc,2
mile,1
consists,1
manufacture,1
plastic,1
worldwide,1
cost,4
concentrated,1
facility,6
refines,1
distillate,3
aviation,2
focus,4
day,3
throughput,1
specialties,3
europe,1
specialty,1
base,3
lubricant,4
branded,8
outlet,2
international,1
network,2
downstream,1
diverse,1
wellpositioned,3
benefit,1
continued,1
wellhead,1
ngl,1
gathering,1
lpg,4
dcp,3
mt,1
priority,2
supported,1
foundation,1
believe,3
creates,1
made,2
progress,1
achieving,1
numerous,1
milestone,1
success,1
capturing,1
maximizing,1
existing,2
investing,2
efficiently,1
strength,2
stewardship,1
protecting,1
thing,2
responsible,1
long,1
competitive,4
advantage,3
continually,1
improving,1
health,3
testament,1
stakeholder,2
create,2
getting,1
injury,1
matched,1
better,1
average,2
rest,1
us,2
leading,3
five,2
utilization,4
executed,1
heavy,3
turnaround,1
schedule,1
optimization,1
effort,1
fractionator,2
excess,1
demonstrated,2
cpchems,1
execution,1
startup,1
reached,1
full,1
quickly,1
premised,1
rates,1
incidents,1
worked,1
s,9
a,2
f,1
e,16
t,2
y,1
r,9
o,2
g,3
n,10
i,2
manufacturers,1
recognized,2
four,1
exemplary,1
level,1
personal,1
river,1
recognizes,3
top,1
attaining,1
fortyfive,1
earned,1
star,1
topquartile,1
efficiency,1
lubricants,1
voluntary,1
protection,1
vpp,1
certification,1
