token,frequency
clearing,15
limited,75
the,1164
take,20
responsibility,41
content,8
announcement,18
make,45
representation,7
accuracy,8
completeness,2
expressly,1
disclaim,1
liability,327
whatsoever,1
loss,319
howsoever,1
arising,27
reliance,3
upon,20
whole,18
part,36
ping,1304
an,1282
insurance,1178
a,122
joint,8
stock,41
company,462
incorporated,5
of,130
audited,10
results,4
for,114
ended,117
december,669
directors,129
hereby,2
announces,1
result,101
subsidiary,204
year,773
this,20
containing,1
full,11
text,2
complies,6
relevant,110
requirement,113
securities,89
exchange,59
relation,15
information,152
accompany,1
preliminary,1
annual,43
both,1
chinese,4
english,1
version,2
available,34
website,23
wwwpingancn,5
wwwhkexnewshk,4
printed,1
report,190
delivered,2
holder,16
h,60
share,428
viewing,1
early,25
march,24
by,33
order,19
chairman,64
chief,38
executive,60
officer,29
shenzhen,52
prc,8
february,20
as,285
date,62
xiaoping,7
ming,12
contents,2
governance,95
fiveyear,3
summary,43
introduction,1
business,714
performance,79
glance,1
chairmans,1
statement,158
management,850
and,206
analysis,79
customer,378
development,205
technologypowered,13
transformation,40
overview,6
life,271
health,168
property,227
casualty,134
banking,124
asset,785
technology,200
embedded,42
value,525
liquidity,54
capital,239
resources,6
risk,848
sustainability,7
prospects,2
future,89
corporate,149
changes,16
supervisors,32
financial,940
statements,87
independent,90
auditors,6
consolidated,106
income,370
comprehensive,168
position,150
equity,136
cash,205
flows,5
notes,48
other,161
milestones,1
honors,1
awards,4
investment,658
regarding,52
forwardlooking,23
to,57
extent,20
made,60
contain,11
historical,14
essentially,1
forward,31
looking,5
these,33
include,66
projection,3
target,10
estimate,53
plan,128
expects,7
anticipates,2
may,122
occur,6
subject,34
known,11
unknown,1
uncertainty,14
general,95
specific,25
including,268
word,2
phrase,1
potential,25
objective,36
intends,1
belief,5
similar,19
expression,3
variation,2
considered,32
readers,1
cautioned,1
variety,6
factor,42
many,6
beyond,8
control,153
affect,13
operation,203
could,13
cause,4
actual,37
differ,6
materially,4
expectation,10
expressed,4
rate,266
fluctuation,13
market,171
competition,5
environmental,29
change,194
legal,33
regulatory,78
framework,39
international,32
economic,53
condition,34
carefully,2
reader,1
place,27
undue,2
companys,19
in,339
addition,39
undertakes,11
obligation,41
publicly,6
update,6
revise,2
contained,4
new,97
event,40
otherwise,22
employee,129
affiliate,1
responsible,60
making,22
concerning,5
embracing,1
true,7
heart,3
high,28
faraway,1
mountain,1
behind,1
tall,1
factory,1
building,38
cradle,1
real,49
economy,30
we,75
fighting,3
poverty,26
clean,4
water,9
green,28
hill,2
orange,1
clothes,1
color,1
song,1
happiness,1
folk,1
policy,208
chanted,1
smart,90
city,29
melody,1
datadriven,21
usher,1
next,19
thirty,1
spread,20
wing,1
ecosystem,61
no,23
matter,33
world,13
always,3
ha,297
remained,10
original,14
aspiration,3
committed,23
implementing,11
national,12
strategy,77
safeguarding,2
people,17
livelihood,7
promoting,11
rejuvenation,3
continued,243
pursue,14
finance,127
developed,44
five,41
namely,18
service,397
care,53
auto,67
estate,36
through,14
robust,22
data,70
driven,12
anticipated,1
trend,23
timely,16
decision,28
took,6
action,9
ahead,7
others,106
last,4
th,48
decisive,1
moderately,2
prosperous,2
society,12
critical,14
alleviation,21
complex,4
everevolving,1
adhere,3
focus,13
creation,5
seek,8
sustainable,42
growth,72
maintain,22
sound,8
prudent,10
transform,4
channel,59
personalized,5
exploit,3
strength,11
technological,30
expertise,13
serve,17
reward,11
shareholder,157
support,42
contribute,6
country,21
after,11
crossing,1
still,12
young,2
continue,27
contribution,38
advancing,2
public,32
welfare,11
program,23
embrace,1
rmb,413
million,571
number,98
internet,45
user,65
retail,104
contract,348
per,106
operating,190
profit,411
holding,36
multiple,23
different,34
within,69
group,281
attributable,59
parent,62
roe,7
basic,20
earnings,14
net,239
solvency,80
margin,123
ratio,164
return,97
residual,28
interest,222
costtoincome,5
nonperforming,24
loan,197
provision,97
coverage,16
day,63
overdue,35
core,50
tier,21
adequacy,33
na,16
period,147
presentation,9
note,43
some,5
indicator,35
disclosed,51
le,42
figure,3
reclassified,12
restated,9
conform,3
strives,3
become,16
worldleading,11
clearly,6
defined,12
main,25
while,3
ensuring,6
steady,16
increase,87
promotes,13
empowerment,9
upgrade,17
employ,7
improve,51
efficiency,27
enhance,22
cut,4
cost,179
moreover,28
leverage,9
innovative,13
develop,26
optimize,19
acquisition,27
well,69
quality,39
integrated,55
adopts,7
model,105
one,62
product,223
onestop,10
local,25
advantage,12
adhering,2
global,31
standard,47
provides,50
empowering,12
powered,1
services,4
introductionabout,1
u,4
total,163
revenue,134
shareholders,19
eps,1
dividend,146
refers,32
interim,14
final,28
includes,37
pending,5
approval,24
glanceannual,1
grew,29
steadily,12
rose,47
wa,218
gained,3
with,16
strong,8
payout,11
based,169
excluding,20
repurchase,71
stood,10
repurchased,15
billion,19
worth,18
first,65
time,67
yielded,5
good,58
beginning,73
increased,81
acquired,13
sourced,10
groups,31
maintained,26
tax,241
accelerated,5
pivot,2
toward,5
highvalue,4
expanded,10
breadth,3
protection,42
upgraded,8
agent,97
force,5
using,48
productivity,7
excellent,11
betterthan,2
industry,97
combined,16
leader,11
online,62
claim,118
it,25
launched,27
motor,5
trust,92
owner,42
safe,4
driving,6
behavior,6
shortened,5
average,57
turnaround,5
single,13
minute,8
furthered,9
stable,27
healthy,21
respectively,53
de,9
dropped,8
pps,117
ans,39
patent,14
application,39
achieved,20
ranking,6
fintech,12
second,19
digital,13
healthtech,8
published,21
went,2
successfully,4
initial,47
offering,11
oneconnect,22
granted,32
virtual,2
license,2
monetary,11
authority,28
oneconnects,4
blockchainenabled,4
trade,8
network,9
bai,3
innovation,26
insured,16
amount,222
credit,226
line,55
reached,19
trillion,14
implemented,32
province,5
autonomous,5
region,18
across,30
provided,63
built,22
rural,22
clinic,8
school,5
trained,4
village,11
doctor,45
teacher,5
brand,15
ranked,14
fortune,7
list,20
among,34
about,3
maximize,7
motivate,5
amounting,4
all,27
used,65
ownership,13
refer,47
ecosystembased,3
elephant,2
herd,2
effect,23
constructor,1
forest,1
help,29
tree,1
seed,1
improves,8
mix,3
carbon,9
storage,4
balance,84
plant,1
demand,22
sunlight,1
actively,21
exploring,1
evolve,1
participant,21
paramount,1
firstmover,2
key,88
secure,7
need,20
anticipate,2
basis,88
fast,3
accurate,7
recent,14
remarkable,3
progress,21
enabled,3
bring,3
release,9
mark,1
anniversary,5
founding,5
grow,4
strongly,2
despite,5
slowdown,1
difficult,4
talk,1
advanced,9
steadfastly,1
together,7
fully,18
aware,6
rise,5
fall,3
gain,70
prospect,3
facing,3
revolution,1
pursued,6
unremitting,1
effort,11
major,71
metric,13
laying,1
solid,3
foundation,9
on,27
august,18
became,12
institution,90
selected,9
build,18
intelligence,8
inclusive,37
empower,16
award,9
sector,13
blockchain,11
empowers,9
applied,20
ai,21
interview,11
robot,8
sale,46
recruitment,8
exclusive,10
personal,12
assistant,10
served,41
since,47
golive,2
optimized,20
portfolio,60
overall,38
leveraging,7
cuttingedge,10
imagebased,4
july,45
ceo,10
ma,15
mingzhe,13
sang,1
my,1
motherland,1
me,1
celebrate,1
rank,3
insurer,21
cap,5
seventh,1
conglomerate,3
fourth,1
row,1
fastgrowing,1
increasing,9
assessment,44
precise,5
profiling,4
provide,47
technologies,3
ensure,50
casualtys,9
also,107
external,46
entity,122
bank,102
urban,12
commercial,26
chinas,3
technologyasaservice,4
cloud,10
platform,101
go,4
us,18
initiative,11
n,16
covering,25
various,47
fiscal,5
transportation,4
education,21
gone,1
live,1
involved,18
completed,12
listed,37
incubated,2
acquire,4
prospective,2
developing,16
accounting,130
contributing,5
banks,23
boosted,3
electronic,5
certificate,10
government,36
app,19
esgdriven,1
compliance,55
globally,1
applicable,45
criterion,22
highly,2
instrumental,2
longterm,99
joined,16
nationssupported,1
principles,1
established,60
drive,1
seeking,1
paved,1
unique,8
path,1
characteristic,23
meanwhile,16
explore,3
under,28
resident,7
training,43
brings,1
vigor,1
approach,19
enterprise,52
expand,5
production,7
benefiting,4
poor,1
area,40
ltd,110
witness,1
completion,7
alleviating,1
however,12
hit,2
outbreak,8
covid,5
without,17
delay,4
nationwide,4
fight,5
raging,1
protected,2
fulfilled,8
social,28
mean,16
donation,3
medical,53
aid,1
amid,2
environment,30
rising,4
challenge,9
era,1
must,6
realize,8
firmly,1
believe,3
remain,10
largest,11
fastestgrowing,1
structural,3
adjustment,56
achieve,20
highquality,28
term,101
diverse,24
convenient,5
saving,13
hybrid,16
customercentric,9
valuecreating,2
boosting,4
ability,11
allocation,29
assetliability,9
supported,5
aienabled,1
warning,25
way,11
strike,3
create,10
prepare,2
highlight,1
importance,9
success,1
at,37
office,84
tool,16
efficiently,4
guaranteed,16
internal,98
endtoend,8
renew,2
holiday,1
ten,6
capability,32
industryleading,9
level,51
consultation,11
image,5
reading,5
effectively,28
alleviated,1
pressure,3
frontline,2
staff,14
implement,18
seize,5
strategic,37
opportunity,15
diversify,2
scenario,42
rapidly,5
replicate,2
leading,22
boldly,1
forge,1
rather,6
rest,7
laurel,1
planning,9
promote,23
win,3
spare,1
carry,15
targeted,11
measure,39
especially,2
povertystricken,2
serving,7
rewarding,1
supporting,10
overcome,1
brought,4
fulfill,8
nation,1
great,6
ltdchairmans,1
accounted,27
yearly,4
active,25
crossselling,23
they,7
saw,1
significant,120
scale,22
premium,181
written,39
financing,55
outstanding,23
referred,18
underlying,23
invested,11
fund,123
increment,2
philosophy,15
dedicated,4
adheres,5
driver,4
owing,3
profitability,7
small,24
microbusiness,7
satisfies,2
experience,61
reduce,13
serf,12
offer,10
valid,6
end,79
revised,3
definition,10
removing,2
complimentary,3
size,5
valuable,2
comparable,2
accordingly,8
registered,24
account,64
webpage,1
mobile,6
apps,7
suspended,1
restating,1
month,67
reporting,149
developmentmanagement,1
analysisannual,45
unit,42
contracts,11
proﬁtability,1
proﬁt,4
inforce,9
lending,25
accumulated,17
separate,12
add,3
due,138
elimination,12
duplicate,3
equal,7
sum,16
attrition,1
persons,2
deliver,4
migration,3
conversion,9
improving,16
proportion,42
structure,65
card,20
ltdcustomer,2
constantly,21
aligns,1
closely,12
activity,62
stickiness,2
efficient,10
happened,1
held,138
each,4
better,9
insight,4
wealthier,1
hold,13
middleclass,2
higherlevel,1
individual,66
far,3
affluent,2
wealth,43
segment,60
mass,3
hnwis,1
figures,10
match,21
rounding,18
lifes,6
shortterm,50
going,13
strengthen,20
use,44
boost,11
tap,2
conducting,4
tiered,1
respect,64
develops,6
significantly,16
tailormade,2
solution,13
combining,1
satisfy,8
taking,16
infrastructure,15
along,4
chain,15
existing,12
micro,4
accessible,1
reshaping,1
supply,13
innovating,1
enhancement,10
things,2
iot,2
affordable,1
introducing,1
superfast,1
review,49
streamlining,1
process,57
seizes,1
acquiring,7
batch,4
base,20
improved,47
engine,5
advantageous,1
distribution,71
contributed,2
sold,28
cross,4
selling,7
project,42
member,104
realized,17
distributed,10
focused,11
microbusinesses,7
enhancing,6
greater,8
nearly,14
invention,4
filed,8
pct,2
abroad,6
imaging,3
championship,3
classification,31
wholeslide,2
lung,2
histopathology,2
acdc,2
endoscopic,2
artefact,2
detection,3
ead,4
palm,2
answering,2
score,3
defeating,3
human,6
system,107
strategies,2
rd,8
sharing,6
invests,1
heavily,3
widely,3
applies,5
array,1
attache,4
securing,1
proprietary,1
intellectual,1
right,65
team,24
thousand,57
scientist,1
eight,5
research,15
institute,7
laboratory,1
partnered,4
top,15
university,5
breakthrough,8
following,68
jointly,35
released,6
center,13
iprdaily,1
updated,6
transformationannual,1
paper,3
authoritative,3
journal,6
squad,1
wmt,1
englishchinese,1
translation,9
isbi,1
meeting,92
claimed,1
six,9
subtasks,1
test,17
sponsored,6
acl,1
competitor,1
chronic,3
kidney,1
disease,9
prediction,5
chongqingbased,1
selfadaptive,1
influenza,1
subpublication,1
businesses,2
operational,38
optical,2
character,3
recognition,44
robotic,1
automation,1
task,7
quotation,3
entry,4
issue,35
endorsement,1
quote,3
automatically,3
deal,7
struck,1
manual,7
short,58
selfdeveloped,6
speech,3
cutting,1
call,9
technologyenabled,1
analytics,4
postlending,2
reminder,1
defaulted,2
caput,2
dynamically,3
monitored,7
alert,3
gave,2
involving,6
exposure,42
improvement,13
enable,8
issued,83
approved,45
over,8
four,18
big,8
workload,1
facilitate,9
seamless,1
connection,4
closedloop,4
transaction,158
varied,2
linking,1
open,8
marketplace,3
traditional,7
synergy,6
onlinemergeoffline,2
september,10
festival,3
scenariobased,4
attracted,1
during,41
volume,17
providing,16
