token,frequency
portfolio,56
the extent,18
contain,3
information,88
business,462
the future,21
a variety,4
control,43
the performance,8
forwardlooking,2
rate,168
market,87
competition,2
financial market,4
undue reliance,1
addition,49
no obligation,1
any forwardlooking statement,1
a result,26
new information,1
the future performance,1
time,17
hope,2
hand,10
shoulder,1
finance,48
tech,1
charity,3
a hard time,1
mind,2
the way,2
the real economy,25
reform,20
digitization,3
a healthcare,2
ecosystem,40
the sky,1
a new era,1
a journey,1
a boundless world,1
internet,26
customer,128
contract,110
profit,256
internet user base,1
attributable,22
the parent,58
company,72
share,124
comprehensive solvency,9
margin,88
ratio,112
return,51
embedded value,9
value,143
solvency,50
net,26
interest,119
loan,43
coverage,17
tier,8
capital,151
adequacy,28
relevant,2
presentation,4
i,14
a worldleading,5
group,24
transformation,19
a focus,2
efficiency,16
acquisition,18
enhance,1
risk,489
management,629
operating,62
an promotes innovation,1
fintech,9
healthtech,4
healthcare,43
auto,39
smart city,7
an continuously,1
the integrated financial business,1
model,72
multiple,6
corporate governance,19
retail business,9
philosophy,3
corporate business,22
multiple corporate business,1
an seeks,2
the customer,8
contribution,10
an insurance,362
the cash,19
dividend,58
the interim dividend,2
the final dividend,9
a final dividend,3
approval,22
year,362
the shortterm adverse impact,2
economic growth,3
the annual cash,2
the dividend,18
payout,11
retail customer,8
development,132
the beginning,85
the number,21
the corporate business,3
steady growth,4
financial business,10
a segmented approach,2
regional key,2
integrated commercial banking,2
investment,313
banking,34
micro business,4
the new financing,4
scale,18
premium,39
the corporate channel,4
crossselling,5
insurance,618
quick response,1
an industryleading,1
online,25
tax,184
the backdrop,6
an auto,4
pricing,15
a complex business,1
environment,14
premium income,26
betterthanindustry,3
quality,38
a combined ratio,2
stable business,4
revenue,95
improved profitability,3
the nonperforming,6
pps,93
the provision,12
technology,67
patent,13
global patent,3
application,19
digital healthcare,10
strong growth,3
the online marketplace,3
other business,13
a weak auto,1
rating,22
smart management,2
platform,67
evaluation,14
industrial poverty,6
alleviation,21
brand,8
list,15
global insurance,4
the fifth,2
consecutive year,2
comprehensive digital transformation,1
cuttingedge,7
powerful smart brain,1
action,5
the platform,11
reasonable decision,1
making,4
real time,3
holiday,1
the first time,1
the year,170
strong leadership,1
community,1
support,20
help,1
work,15
production,15
the endgame,1
battle,1
poverty,16
original aspiration,1
the national economy,1
the quality,10
a cumulative total,1
bank,9
credit,165
dual circulation,1
strategy,37
the ecosystembased strategic transformation,1
the front office,1
an accelerated pace,1
other key business,1
overall competitiveness,1
research,12
blockchain,8
a new engine,1
future value,1
growth,31
nucleic acid,3
this challenging year,1
th,1
first place,1
cap,5
an attaches importance,1
shareholder,18
a final cash,4
the impact,42
optimized product,1
stickiness,6
momentum,3
recovery,9
an operating,3
digital transformation,2
experience,28
operational efficiency,5
provision,18
centric,7
mission,5
highquality,25
the development,20
an life,8
the industry,16
economic pressure,1
medical treatment,2
advance compensation,1
retail,3
system,72
fraud,12
golive,1
new infrastructure,3
virtual bank,1
facilitate trade,2
traceability,2
agricultural produce,1
pan,2
extensive experience,2
the finance,10
education,17
program,4
the program,2
an impoverished population,3
an helped build,3
village,8
the upgrading,3
the training,3
effective epidemic containment,1
appropriate government,1
major economy,3
positive growth,3
economic recovery,1
the rollout,1
distribution,46
the expected global economic recovery,1
a warm spring,1
the cold winter,1
a comprehensive healthcare,1
structure,38
plan,43
the steady development,1
high quality,2
healthy growth,4
product,54
respect,75
culture,8
toplevel,1
strategic design,1
the reform,7
fruit,2
professional management,1
team,11
force,6
strong integrated financial product,1
the digital transformation,2
smart business,1
datadriven,1
channel,24
high entry,1
technological empowerment,12
the country,6
strategic innovation,1
represent,3
main focus,1
today,1
tomorrow,1
a key development,1
future,7
a closedloop,2
service,71
initiative,2
the 0th anniversary,1
important year,1
modernization,1
drive,1
the successful building,1
prosperous society,1
the backbone,1
a modern economy,1
the core,17
competitiveness,2
a nation,1
the fate,1
the nation,1
the national rejuvenation,1
life,84
further improve,1
compliant,2
advance,6
the healthcare,14
poverty alleviation,5
rural vitalization,3
serve,1
society,8
contribute,3
great rejuvenation,1
retail operating,2
the negative growth,1
the first half,10
user,5
base,9
continuous expansion,1
users0,1
the philosophy,6
integrated finance,9
cross,2
selling,2
new financing,2
the outstanding balance,3
an increment,2
a customercentric philosophy,2
middle,4
financial master,3
a unified marketing,1
blockbuster,1
marketing,10
the retail customer,1
maintain,1
stable product,1
profitability,10
strong retail business,1
financial inclusion,2
integrated financial business,12
webpage,1
mobile apps,1
the technology,12
proﬁt,3
proﬁtability,1
the above,14
the operating,12
offline business,1
retail consumer,1
the negative impact,2
some business,1
the second half,6
an delivered excellent customer,1
empowerment,3
optimizing,1
an developed comprehensive customer,1
profiling,3
a compliant manner,1
authorization,3
the basis,19
a large customer,1
huge business,1
an developed innovative,1
health,91
optimized customer,1
fund,40
settlement,16
member,30
the value,16
the migration,1
conversion,8
the proportion,15
mix,3
insurance0,1
card,10
trust,31
inforce,7
all policy,1
separate business,1
the removal,1
the sum,11
attrition,1
the end,57
large potential,1
user conversion,2
penetration,1
internet user,1
online user,1
each internet,1
online service,1
user activity,1
efficient internet,1
the calculation,33
the definition,8
complimentary insurance,3
the data,4
suspended internet,1
new insurance,2
the diversifying,1
longterm customer,1
middleclass,2
higherlevel,2
the total,2
each high net worth,1
each affluent customer,1
the average,1
wealth,43
proportion,3
an taps customer,1
demand,16
an targets,1
longterm economic development,1
comprehensive tailormade,1
commercial banking,1
financing,37
intelligence,2
advantage,3
infrastructure,9
industry,41
supply,8
chain,6
enhancement,8
superfast online review,1
an grows,1
a groupwide,1
framework,46
a middle office,1
the online customer,1
reach,6
segment,20
annual income,1
note,29
strengthen,3
this way,9
both retail customer,1
a simple standard,1
a sophisticated investment,1
a trading,1
collaboration,4
the nature,8
classified management,1
the simple standard model,1
online customer,5
standard operating,1
leasing,4
the model,3
a uniform technology,1
traffic,2
cut,2
the sophisticated investment,1
mixed ownership,2
senior product,1
the trading,2
the expertise,3
trading,22
performance,51
early warning,7
mutual empowerment,1
the corporate integrated financial business,2
the corporate customer,1
the business,18
crossselling0,3
the corporate channel0,1
a source,1
the steady growth,1
the investment,31
corporate business0,1
refer,16
the scale,3
core,25
the allocation,5
the engine,1
advantageous distribution,1
other member,5
corporate customer,2
significant progress,1
an array,3
technologypowered offline,1
instance,2
retention,2
innovation,11
an won,3
doctor,4
a humanmachine,2
contest,3
the combined therapy,2
boost,1
proprietary intellectual property,1
a firstclass,1
institutes,1
a global digital,1
the fintech patent,1
ranking,2
the patent,1
the blockchain,1
a total,17
a test,1
machine,2
comprehension,1
the third time,1
the total score,1
benchmark,2
the knowledge,2
graph,2
a research,3
paper,4
a nasopharyngeal carcinoma,1
prediction,5
oncology,1
a subjournal,2
a paper,1
endoscopic image,1
sepsis,1
a top international journal,1
critical care,1
medicine,2
the perspective,2
aidriven product,1
indirect selling,1
direct selling,2
improvement,9
human service,2
the amount,40
representatives0,1
total customer,1
volume,12
all service,1
an outbound,1
call,6
feature,2
these speech,1
online paperless,1
automatic smart insurance,1
policy,70
online selfservice,1
family,9
all family,1
total product,1
the total number,8
inbound,1
outbound,2
an employs cutting,1
edge,1
month,6
average,2
pps year,15
collection,5
the recovery,1
the per,2
capita,5
balance,21
monitored corporate credit,1
smart alert,1
an accuracy,5
a total risk,1
exposure,21
the application,7
productivity,2
administration,9
claim,40
consulting,3
survey,4
robot,4
the realtime generation,2
virtual customer,2
staff,6
retail banking,13
unmanned customer,1
seamless connection,1
closedloop,1
various financial service,1
multiple financial innovation,1
the app,6
smart onlinemergeoffline,1
fullscenario,2
onestop,4
transaction,38
the festival,1
financial institution,2
key construction,1
disaster,4
loss,164
prevention,9
the insured sum,1
corporate property,3
casualty,70
the balance,28
each year,4
healthcare management,4
disease,1
medical image,1
recognition,8
chronic disease,3
consultationtreatment,1
assistant,1
tool,7
inhouse,6
fulltime medical staff,1
self,1
medical system,5
online consultation,4
prescription,2
registration,2
drug,3
delivery,3
an good doctor,29
an aggregate,3
an empowered ecosystem,1
thousand,7
the company,72
regulatory support,1
public health,1
an combines,1
expertise,6
enable business,1
city,4
property,49
consumer,17
shopping,1
payment,18
loyalty,3
point,4
the resumption,4
the mobile payment,1
daytoday consumption,1
offering,1
an online donation,1
a rural aid,1
athome consumption,1
corporate catering,1
comprehensive healthcare,2
twelve,1
the ecosystem,3
horizontal integration,1
maximization,1
user traffic,1
the user end,1
the payment,5
end,41
vertical collaboration,1
a comprehensive auto,1
purchase,12
use,20
an serves auto,1
repair,1
app,11
owner,19
onestop service,1
lease,34
offline,7
a fourlayer,1
medical equipment,1
an online,4
network,4
top,1
an inhouse,1
medical team,5
a benchmark,2
pilot,2
global medical network,1
partner,3
integrated medical management,2
provincial level,1
construction,10
project,10
number,6
subsystem,1
constantly,1
design,6
government,9
citizen,1
integrated smart city,1
governance,22
smart government,2
cloud,6
computing,2
