token,frequency
report,104
for,212
year,252
ended,95
december,449
certain,15
statement,132
document,12
purely,1
historical,6
information,61
including,95
estimate,27
projection,2
relating,17
business,230
plan,43
objective,21
expected,57
operating,71
result,62
assumption,23
upon,6
based,126
forwardlooking,13
current,71
expectation,4
subject,19
risk,146
uncertainty,18
may,67
cause,8
actual,17
differ,2
materially,4
a,104
detailed,1
discussion,3
could,7
event,23
included,37
financial,539
available,16
website,3
see,6
also,46
note,23
preamble,1
ii,8
overview,10
contents,2
certification,7
i,9
businesses,4
iii,8
affairs,6
iv,3
auditors,1
v,4
management,159
analysis,17
vi,1
corporate,17
governance,5
vii,2
shareholders,7
viii,2
executives,6
employees,4
ix,2
affiliates,9
subsidiaries,21
x,19
related,84
party,50
transactions,13
xi,6
other,164
letter,5
we,33
ceo,16
executive,54
company,234
charge,8
reporting,64
certify,1
reviewed,5
annual,30
knowledge,2
doe,14
contain,5
untrue,1
material,57
fact,2
omit,1
state,4
necessary,8
would,6
misleading,1
respect,11
period,104
covered,2
fairly,3
present,30
condition,31
operation,37
cash,151
flow,77
presented,33
confirm,6
operates,19
responsible,8
establishing,3
maintaining,7
disclosure,11
control,33
procedure,7
internal,36
defined,42
act,14
disclosed,10
recent,10
evaluation,5
auditor,22
audit,21
committee,44
board,7
director,102
legal,9
commercial,4
name,36
b,69
date,124
establishment,13
sec,19
wa,143
established,14
january,58
held,39
initial,21
public,11
offering,16
june,19
changed,17
following,40
resolution,42
passed,2
february,12
c,43
address,7
phone,9
number,72
english,2
language,5
headquarter,1
http,1
wwwsamsungcomsec,1
d,22
the,479
e,33
core,12
comprises,7
division,78
independently,2
technology,89
mobile,82
communications,2
ds,27
device,107
solutions,14
subsidiary,203
produce,21
automotive,17
electronics,16
component,42
products,6
tvs,28
monitor,20
refrigerator,11
washing,7
machine,7
air,12
conditioner,9
medical,8
etc,165
network,7
system,59
computer,11
nand,7
flash,7
tftlcd,2
panel,80
unit,57
infotainment,5
telematics,6
speaker,8
global,100
firm,21
comprised,12
headquarters,23
collectively,2
across,4
world,33
nine,4
regional,28
im,31
divisions,8
five,22
leading,11
digital,6
era,4
continuously,7
new,101
product,282
innovative,15
unique,4
design,86
enhanced,15
value,275
proposition,1
tv,89
ce,33
ha,120
maintained,13
position,77
market,175
leader,12
twelve,3
consecutive,3
leveraging,1
competitive,12
advantage,10
hardware,5
well,9
software,19
driven,5
feature,28
within,47
portfolio,6
solidify,4
leadership,15
continue,20
developing,8
making,10
innovation,10
forefront,6
lifestyle,4
delivering,6
consumerfriendly,1
premium,36
moving,1
beyond,4
convergence,1
include,32
focus,9
service,78
focused,6
