token,frequency
the year,56
certain,1
the document,2
historical information,1
business,132
operating,37
the forwardlooking,1
detailed discussion,1
website,2
preamble,1
table,1
information,23
charge,5
certify,1
the annual business,1
report,17
knowledge,3
this report,8
necessary material,1
respect,9
the period,32
other financial information,2
the report,1
the financial condition,5
cash,91
the company,70
disclosure,2
financial reporting,4
recent evaluation,1
the audit,3
committee,11
board,3
commercial name,1
establishment,2
an initial public offering,1
name,16
a resolution,13
phone,3
number,20
english language,1
the corporate headquarter,1
https,1
wwwsamsungcomsec,1
air,10
network,6
a global electronics,1
firm,19
the world,5
regional headquarters,8
the global digital,1
era,2
innovative technology,1
unique design,1
value,99
tv,40
the core,1
product,66
position,25
the market,20
leader,2
hardware,4
software,8
smart tv,1
portfolio,8
market,81
leadership,16
a key product,1
the business,10
a product,2
lineup,9
lowend,2
growth,28
series,7
the division,1
the smartphone,7
innovative hardware,1
high definition,1
user experience,1
edge,2
technology,54
healthcare,1
the same time,1
the global network,1
commercialization,2
the nextgeneration,2
mobile application,1
camera,9
sensor,14
consignment production,1
display,30
influence,1
endproduct,1
new demand,3
the development,5
high quality,1
mobile productsand,1
memory,13
capacity,23
density,3
the top,1
the global memory,1
cost,73
competitiveness,19
advanced process,5
each technological iteration,1
focus,3
the forefront,2
advanced manufacturing,2
process,23
productsan industry,2
solidified leadership,1
the back,4
the industrys,3
division,42
a system,4
demand,39
a competitive edge,1
mix,1
highdefinition,7
ultralarge,3
use,14
quantum,3
dot,3
frameless,1
yield,5
a global leader,1
connected car,2
audio,8
renowned brand,1
both internal development,1
quality,30
an affiliate,1
group,10
a total,2
sixtytwo,2
the addition,3
affiliate,4
reduction,9
the list,1
major subsidiary,1
equipment,44
company,58
appliance,11
production,91
system,30
panel,23
display panel,6
advertising,3
platform,5
messaging,1
service,59
development,21
new technology,14
monitor,8
provider,33
da,1
e,14
design,23
venture,15
solution,12
sro,10
conditioner,4
ionroad,9
processing,8
component,9
manufacturing,5
repair,2
management,84
supply,15
additional information,2
major business,1
semiconductor,16
rating,10
credit,27
external credit,1
investment,28
outlook,4
agency,7
range,6
bond,12
ability,9
debt,27
level,11
risk,89
low credit,2
grade,2
substantial credit,1
high credit,2
speculative likelihood,1
default,5
recovery,2
interest,46
little prospect,1
strong ability,1
strong capacity,2
exposure,8
favorable business,1
nonpayment default,1
a virtual certainty,1
nonpayment obligation,1
ultimate recovery,1
visàvis,1
breach,1
the filing,1
a bankruptcy,1
petition,1
the taking,1
a similar action,1
history,5
the information,3
asset,13
security,3
stock,74
printing,1
address,1
meeting,4
coceos,1
executive,42
the annual meeting,1
addition,27
the reporting,31
organizational structure,2
a team,3
unit,11
organization,6
the first quarter,3
paidin capital,2
split,18
par value,10
preferred share,5
a postsplit basis,4
canceled treasury,1
accordance,90
the same date,2
basis,15
common stock,9
preferred stock,6
shareholder,32
return,7
method,22
direct acquisition,1
dividend,12
capital,37
registered stock,1
registered equity,1
nonvoting,1
noncumulative preferred stock,1
par,1
the number,11
nonvoting preferred stock,1
the total number,6
no voting,3
limited voting,3
full voting,2
the right,4
the appointment,1
dismissal,2
a part,3
policy,28
a portion,2
way,3
sustainable growth,2
performance,72
the scale,1
other return,1
share,40
profit,165
mil,90
payout,1
ratio,21
the second quarter,1
the third quarter,1
further information,1
the calculation,3
note,5
common share,1
the first half,2
future performance,2
financial position,32
the actual future,3
condition,13
financial performance,6
exchange,34
strategic decision,2
core,6
no obligation,2
period,57
overview,7
a twopronged framework,1
consisting,1
brand,8
the set,2
the component,4
the production,3
mobile,8
corporate headquarters,2
andor,5
set,4
home,13
numerous production,1
backend,1
the first public demonstration,1
a true television,1
mass production,2
color,4
the creation,1
the penetration,2
rate,90
the industry,5
strong growth,1
momentum,1
the launch,3
flat panel,1
the expansion,1
digital broadcasting,1
enhanced design,1
picture,6
etc,48
a sharp decline,1
the rise,1
internet,3
video,1
increased consumer,1
the birth,1
the smart tv,1
an innovative product,1
resolution,43
a new form,1
factor,6
a year,14
the commercialization,1
overall tv,2
a market,3
portion,23
the previous year,17
yearonyear,4
total tv,1
the total,2
trend,2
large highresolution,1
intensified competition,1
highquality,6
power,7
consumer,8
highresolution,4
increase,11
brightness,3
contrast,3
energy,10
the mainstream,1
a change,1
the delivery,1
content,3
an innovation,1
myriad content,2
a single remote,1
diverse entertainment,1
screen,3
an ecosystem,1
the connectivity,1
easy use,1
the smart hub,1
control,13
the tv,3
the ability,3
mobile phone,1
a tv,1
consistent entertainment,1
experience,22
