token,frequency
letter,1
family,2
good luck,1
happiness,2
the year,3
political environment,1
economic growth,1
economy,1
a variety,1
the challenging,1
business,10
environment,2
the ceaseless,1
devotion,1
shareholder,6
return,6
program,3
commitment,1
sustainable value,1
creation,1
share,5
the previous year,3
the record,1
the total revenue,1
a slight increase,1
the operating,1
profit,1
net profit,1
an increase,1
the memory,1
market,4
the chip,1
a supply,1
shortage,1
the tech migration,1
solid demand,1
mobileserver,1
cost,1
competitiveness,4
the expansion,1
cuttingedge,1
generation,1
highdensity,1
the system,1
process,2
image,1
this result,1
display,1
the second half,1
lcd market,1
the groundwork,2
stable growth,1
customer,1
base,2
profitability,1
preemptive investment,1
demand,2
flagship,1
product,1
the competitiveness,1
midrange,1
series,1
issue,1
the tv,2
the premium market,2
technology,3
first place,1
consecutive year,1
new growth,1
high growth,1
potential,1
core,1
complex industry,1
an overall slump,1
the industry,1
artificial intelligence,1
the rise,1
smart,1
the entire industry,1
light,1
landscape,1
leadership,2
a result,1
the world,1
strong technology,1
future growth,1
innovation,1
category,1
the sixth year,1
a row,1
design,1
brand,3
value,7
the third consecutive year,1
global ranking,1
the first time,1
mark,1
order,1
a leading position,1
the acquisition,2
the cuttingedge,1
sector,1
the future,1
platform,1
voice,1
recognition,1
an aibased open ecosystem,1
company,2
smartphone user experience,1
respond,1
part,1
strong shareholder,1
policy,3
special share,1
repurchase,1
cancellation,1
the shareholder,1
further shareholder,1
the percentage,1
free cash,2
flow,2
portion,1
the dividend,1
repurchase program,1
interim dividend,1
the annual dividend,1
common stock,1
stock,2
quarterly dividend,1
the first quarter,1
longterm shareholder,1
enhanced shareholder,1
the companys,2
price,1
last year,3
the end,1
the enhanced corporate value,1
year,1
current environment,1
the business,1
outlook,1
mainstay,1
smartphone memory,1
tv,1
performance,1
sustainable growth,1
the mid,1
the strong base,1
the market,1
the same time,1
a first mover,1
consumer,1
behavior,1
risk,1
management,3
a robust risk,1
system,1
a thorough review,1
quality,2
safety,1
every step,1
assurance,1
difficult business,1
this year,2
strong business,1
the firm,1
belief,1
communication,1
understanding,1
vision,1
a period,1
low growth,1
rapid growth,1
the hard work,1
determination,1
successful growth,1
a sense,1
challenge,1
constant innovation,1
a platform,1
longterm growth,1
good health,1
longterm sustainable value,1
experienced a supply,1
reinforcing cost,1
reinforcing competitiveness,1
improved lcd market,1
laid the groundwork,1
improving profitability,1
making preemptive investment,1
increasing demand,2
enhancing the competitiveness,1
reinforced competitiveness,1
achieve first place,1
enhanced competitiveness,1
acquiring new growth,1
experiencing an overall slump,1
drive the industry,1
reshaping the entire industry,1
evolving business,1
secure a leading position,1
includes the acquisition,1
lay the groundwork,1
lead the cuttingedge,1
build the future,1
create an aibased open ecosystem,1
cloudcomputing company,1
enhance smartphone user experience,1
delivering value,1
deliver further shareholder,1
set the percentage,1
preferred stock,1
initiate quarterly dividend,1
deliver enhanced shareholder,1
boosted the companys,1
coming year,1
generate sustainable growth,1
lay the strong base,1
become a first mover,1
improve risk,1
build a robust risk,1
undertaken a thorough review,1
ensure quality,1
improving every step,1
continue this year,1
deliver strong business,1
announced last year lastly,1
strengthen communication,1
experienced a period,1
achieving successful growth,1
changing environment,1
economic growth remained,1
economy was,1
program extending,1
the total revenue was approximately,1
net profit were,1
market experienced,1
base improving,1
technology is,1
the industry are,1
smart connected,1
leadership investing,1
recognition prepares,1
an aibased open ecosystem integrating,1
company helps,1
policy announced,1
flow allocated,1
company has significantly,1
current environment weighing,1
outlook are,1
low growth following,1
