token,frequency
to,2
our,2
valued,1
continued,3
interest,2
support,5
the,9
year,13
brought,1
unprecedented,1
difficulty,1
covid,1
affecting,1
people,2
around,1
world,1
i,1
hope,1
global,3
community,2
defeat,1
soon,1
return,7
normal,1
life,1
delivered,2
solid,2
performance,2
amid,4
difficult,2
environment,3
thanks,1
hard,1
work,1
commitment,1
employee,1
partner,2
company,5
we,8
made,3
numerous,1
achievement,3
past,2
including,3
financial,3
one,1
taking,1
another,2
step,1
forward,2
progression,1
improved,1
pandemic,3
in,10
achieved,2
total,2
revenue,1
trillion,6
operating,1
profit,1
yearonyear,1
respectively,1
strengthen,1
competitiveness,3
key,2
business,4
extended,2
market,4
leadership,3
expanding,2
sale,1
differentiated,1
product,7
highcapacity,1
solution,1
server,1
mobile,2
also,6
enhanced,1
cost,1
increasing,2
advanced,1
process,1
portion,3
production,2
semiconductor,1
solidified,1
foundation,3
growth,3
mass,1
euvbased,1
strengthened,2
panel,1
foldable,2
preparing,1
nextgeneration,2
based,1
consumer,2
bolstered,1
premium,1
introducing,1
flagship,1
smartphones,1
featuring,1
cuttingedge,1
technology,1
innovative,1
phone,1
new,2
model,1
tv,1
appliance,1
lineup,1
closed,1
largescale,1
equipment,1
deal,1
overseas,1
carrier,1
bolstering,2
address,1
backed,1
ranked,1
top,4
estimated,1
brand,1
value,3
usd,1
billion,1
update,1
shareholder,11
january,1
two,1
announcement,1
regarding,1
policy,3
first,3
threeyear,3
term,2
covering,2
committed,1
paying,1
per,6
regular,6
dividend,8
addition,4
yearend,2
pay,1
special,2
cash,6
remaining,1
free,4
flow,4
period,2
deducting,1
equates,1
share,7
distributed,1
together,3
common,2
preferred,2
receive,1
following,1
approval,1
upcoming,1
annual,3
general,1
meeting,2
pleased,1
result,2
three,1
enabled,1
additional,1
announced,1
kept,1
pool,1
generated,1
increased,2
moreover,3
announce,1
program,4
enhance,3
visibility,1
if,1
significantly,1
exceeds,1
actively,1
consider,1
executing,1
close,1
price,1
last,2
continue,3
strive,1
focus,3
corporate,2
compliance,4
on,1
worked,1
create,1
environmental,1
social,2
part,2
sustainable,2
some,1
many,1
ecofriendly,1
practice,1
include,2
improving,1
energy,2
efficiency,1
reducing,1
use,2
harmful,1
substance,1
minimizing,1
impact,1
using,1
material,1
throughout,2
lifecycle,1
planning,1
disposal,1
particular,2
reduced,1
plastic,1
packaging,1
considerably,1
introduced,1
ecopackaging,1
allowing,1
upcycle,1
cardboard,1
box,1
end,1
goal,1
need,1
renewable,1
source,1
operation,2
working,2
area,3
require,1
longterm,1
effort,4
greenhouse,1
gas,1
emission,1
under,1
responsibility,1
vision,1
tomorrow,2
enabling,1
promotes,1
inclusive,1
better,3
future,2
everybody,1
through,1
class,1
korea,1
provide,1
youth,1
opportunity,1
quality,1
education,2
second,1
thirdtier,1
supplier,1
via,4
collaboration,1
supplychain,1
providing,1
recruitment,1
entry,1
expanded,1
scope,1
contractual,1
relationship,1
supported,2
struggling,1
method,1
assistance,1
emergency,1
fund,1
logistics,1
expense,1
manufacture,1
mask,1
test,1
kit,1
syrinx,1
vaccination,1
manufacturing,1
rd,1
knowhow,1
member,1
overcome,1
challenge,1
presented,1
strengthening,1
legal,1
ethical,1
outside,1
independent,1
body,1
performs,1
meticulous,1
oversight,1
potential,2
risk,1
executive,2
at,1
time,2
wa,3
elevated,3
led,2
directly,2
decision,2
making,2
office,2
renamed,1
report,1
senior,1
established,2
sustainability,3
division,1
thus,1
priority,1
communicate,1
stakeholder,1
reflect,1
overall,1
grow,1
dear,1
ha,1
important,1
may,1
mark,1
start,1
era,1
make,1
leap,1
changing,1
landscape,1
organization,1
big,2
data,2
platform,1
strategy,1
commercialization,1
robot,1
this,1
preparation,1
enhancing,1
capability,1
iot,1
cloud,1
security,1
build,1
required,1
become,1
trusted,1
centennial,1
addressing,1
societal,1
concern,1
fostering,1
autonomous,1
proactive,1
culture,1
level,1
workplace,1
safety,1
ask,1
although,1
attending,1
person,1
due,1
strongly,1
encourage,1
represent,1
electronic,1
voting,1
available,2
adopted,1
participate,1
globally,1
livestream,1
wish,1
health,1
happiness,1
family,1
thank,1
