token,frequency
this report,18
message,2
story,7
outlook,35
section,33
statement,38
risk,248
gas,413
information,168
capital,151
society,105
change,160
energy,262
transition,209
compliance,99
evaluation,42
engagement,77
statutory information,8
oil,424
fiveyear financial dataset,2
design,6
production,223
papier,1
wwwopmeerbvnl ii,1
accordance,72
the year,174
the parent,13
the absolute,3
reporting,31
cash,262
expenditure,78
a reconciliation,2
certain information,1
the control,6
the company,41
interest,318
exchange,21
the required precision,1
a meaningful reconciliation,1
unreasonable effort,1
respect,133
financial measure,1
a manner,6
the accounting,15
addition,68
the term,9
no useful purpose,1
the particular entity,1
control,49
significant influence,2
neither control,2
joint control,3
convenience,4
the direct andor,1
indirect ownership,1
an entity,5
unincorporated joint,1
arrangement,13
exclusion,2
all thirdparty interest,1
the accountable person,1
the action,2
decision,23
implementation,11
the person,1
the implementation,11
requisite assurance,1
the framework,8
company,62
operated venture,1
operational performance,5
responsibility,19
the operationalisation,1
scenario,8
the assumption,6
goal,11
the rise,7
this century,6
preindustrial,6
an openended way,1
possible manner,1
the pace,13
this scenario,1
normative meaning,1
course,5
this goal,2
today,8
possible path,1
global economy,1
the window,1
success,8
a part,1
an ongoing process,1
the future,42
business,306
environment,78
management,269
strategy,166
plan,121
this journey,1
step,42
operating,73
a tenyear period,1
every year,5
the current economic environment,2
the next ten,1
pricing,13
target,63
this movement,1
carbon,90
the production,10
that production,1
use,59
the energy,162
the use,39
deduction,5
any noncontrolling interest,2
share,254
a subsidiarys production,1
processing,14
the share,40
the subsidiary,3
the case,10
entitlement,6
kind,5
herein,1
currency,15
dollar,5
the financial condition,1
historical fact,1
performance,209
the potential exposure,1
market,92
aim ambition,1
anticipate,1
schedule seek,1
a number,38
the forwardlooking,1
limitation,2
a price,7
crude oil,40
natural gas,118
b,43
demand,149
c currency,1
drilling,20
f loss,1
industry,73
competition,10
g,12
the identification,3
suitable potential acquisition,1
successful negotiation,1
completion,15
the risk,68
climate,119
financial market,2
expropriation,2
renegotiation,2
the approval,5
the reimbursement,1
the impact,67
coronavirus,1
outbreak,4
trading,91
further discussion,1
no assurance,3
future dividend,1
previous dividend,1
entirety,1
this section,12
undue reliance,1
the date,35
any obligation,1
any forwardlooking statement,1
a result,59
new information,8
other information,2
light,30
report,33
reference,32
any information,2
wwwshellcom,2
charge,45
wwwshellcom annualreport,1
mail,1
iv,1
measurement acre,1
day,16
a factor,11
barrel,17
a unit,1
annum,6
standard,18
a daily basis,1
a calendar,1
year,53
bd,48
scfd,3
a current cost,8
basis,56
petroleum,7
capture,16
storage,31
dioxide,19
free cash,21
flow,122
final investment,3
accounting,63
health,32
safety,125
security,29
global oil,10
association,8
mining,9
lease,21
licence,19
contract,41
total,9
recordable case,5
frequency,7
total shareholder,4
return,13
the transition,18
value,111
a dynamic portfolio,4
disciplined capital,5
allocation,26
the environment,27
waste,18
a positive contribution,6
biodiversity,19
an inclusive society,4
the front,1
cover,1
clockwise,2
shareholder,49
nature,19
the strategy,11
transformation,12
a provider,4
netzero,12
growth,46
customerfacing,3
the world,53
exceptional adversity,1
the form,17
strength,5
the safety,10
the data,2
expert opinion,1
productivity,4
the courage,1
dedication,1
the face,2
the virus,11
a summer,1
area,23
a joint venture,15
government,35
the ground,2
job,8
asset,40
director,3
maintenance,14
engineering,10
the pride,1
a pride,1
family,3
everyone,13
electricity,26
a shift,1
superintendent,1
regasification,4
facility,29
son,1
the facility,6
cant,1
get,1
confidence,7
future,22
the progress,5
a role,2
a lowcarbon future,2
long experience,1
global network,2
service,41
example,92
the nature,15
consumer,3
everything,3
vehicle,3
the lowcarbon,4
the kind,1
portfolio,85
integrated power,4
hydrogen,28
lowcarbon,17
the financial strength,4
knowledge,19
a speed,1
no one,2
humanity,1
cooperation,1
poverty,2
the pandemic,27
humanitys collective strength,1
the resilience,9
a bright future,1
a compelling investment,2
case,26
the strength,5
clarity,10
a business,11
power,62
progress,60
turn,7
supply,93
the quality,13
the challenge,4
vital energy,2
fuel,35
ingenuity,3
resilience,16
technology,45
instance,2
the roofs,1
refinery,38
this year,6
the recession,1
briefly,1
the first time,3
history,9
a perfect storm,1
the horizon,1
the backdrop,1
difficult decision,2
a company,2
board,8
the vote,2
the dividend,72
belief,1
the grim reality,1
thing,1
the same level,2
view,16
a mistake,1
the decisive action,1
strong shape,1
a modest amount,1
intention,5
annual dividend,2
approval,24
the global economic havoc,1
strategic progress,1
credit,61
this progress,1
the planet,3
diversity,41
understanding,24
pace,5
societys progress,5
the pandemic hit,1
financial strength,5
great character,1
adversity,1
global pandemic,1
top left,1
innovative use,1
new safety,2
approach,61
emphasis,5
an incident,4
the first year,4
this achievement,1
hard,1
an industryleading,1
total oil,4
a year,17
account,81
natural decline,2
upstream oil,3
strong cash,4
mix,9
system,39
retail service,3
every day,8
pandemic,35
the cruelty,1
home,26
havoc,1
the global economy,5
income,116
a loss,13
swift decisive action,1
the right thing,2
dividend,42
the discipline,1
net debt,29
the end,69
global energy,2
underlying strength,1
this way,5
consortium,6
the tender,6
noord,3
wind,20
farm,8
coast,2
the wind,2
renewable electricity,6
the industrialscale production,1
electrolysis,2
a process,2
water,38
oxygen,2
truck,3
a market,1
a lowcarbon,4
an agreement,10
air,12
cargo,3
fleet,3
aviation,16
extensive aircraft,1
profitable market,1
sustainable aviation,4
aircraft,2
this biofuel,1
agricultural waste,1
lifecycle,3
conventional jet,1
a strategic alliance,1
renewable energy,10
a major reorganisation,1
effect,60
a nimbler organisation,1
goodbye,1
great loyalty,1
the spirit,3
core,22
honesty,9
integrity,22
determination,10
financial discipline,1
a strong strategy,1
part,87
conjunction,2
the period,89
lossincome,3
total debt,6
noncontrolling interest,39
debt,78
a,6
the exception,9
ordinary share,7
weighted average number,6
average number,2
a global group,1
the exploration,5
refining,63
marketing,25
the manufacturing,6
an innovative approach,1
a sustainable energy,1
transport,37
living,4
global population,3
the same time,6
the need,16
mean,2
a transition,3
way,19
a lowercarbon,4
multisource,2
customer,10
choice,4
investor,8
community,20
context,4
page,167
detailed discussion,2
help,5
line,64
comply,5
a diverse,2
inclusive culture,2
need,5
new crude,1
liquefied natural gas,12
carbonemission,7
integrated business,4
model,18
a portfolio,4
chemical,20
a wide range,17
gasoline,7
diesel,6
marine,5
sulphur retail mobility,1
investing,2
the integration,2
global portfolio,1
average capital,10
boe,78
sale,71
fresh water,11
withdrawn,1
plant,64
availability,16
project,48
delivery,48
schedule,10
budget,9
research,12
development,87
onshore,3
offshore,6
conventional deepwater,1
shale oil,2
manufacturing,21
distribution,48
heating,5
electrical power,1
electric vehicle,7
refuelling,1
infrastructure,18
mobility,5
new technology,6
the delivery,18
megajoule,7
greenhouse,15
the helpline,1
process,65
working,4
total spend,1
senior leadership,8
average employee,2
score,4
focus,38
organisation,23
innovation,7
the conversion,3
exploration,77
extraction,6
the operation,13
upstream,10
midstream,6
a fuel,3
heavyduty,4
sufficient commercial value,1
crude,50
chain,18
a range,34
gasoline diesel,2
biofuel,9
sulphur,5
industrial use,1
the extraction,5
conversion,4
synthetic crude,15
capability,10
functional leadership,1
contracting,1
procurement,3
hydrocarbon,14
systematic management,1
place,77
each opportunity,1
assurance,39
the project,13
life,7
cycle,8
the costeffective delivery,1
construction,15
effective planning,1
simplification,1
dedicated competence,1
framework,48
training,15
governance,36
support,47
segment,44
treasury,16
selfinsurance,2
held,9
revenue,30
gross basis,2
a revenue,1
geographical area,5
foreign exchange,37
a competitive way,1
the right,17
access,84
a material adverse effect,40
see,14
potential relevance,1
the development,22
deployment,2
maturation,3
main technology,1
strong patent,1
the technology,6
patent,1
sector,24
the chance,3
a way,7
resilient business,1
the centre,2
journey,5
net zero,14
managing,5
trade,30
a strategy,4
discipline,12
a dynamic approach,3
sustainability,19
purpose,12
price,157
appreciation,9
this while,1
progressive dividend,5
policy,61
landscape,16
a disciplined approach,1
investment,53
a strong balance,3
sheet,32
resilient,1
aim,6
a compelling,1
an urgent challenge,1
a target,8
wind power,1
commercial road,2
freight power,1
the economy,3
the supply,4
sustainable energy,1
inequality,1
employment,30
a place,1
race,6
ethnicity,4
disability,3
recycling,5
quality,18
flexibility,2
additional value,1
optimisation,7
the external environment,4
competitive position,1
integrated lowercarbon energy,1
competitive advantage,3
a risk,14
response,70
appetite,6
executive,6
remuneration,101
the successful delivery,4
the majority,22
abovetarget,1
generation,24
an energy,17
condition,20
the weighting,10
the sum,11
this competitive portfolio,1
a solid track,1
record,14
peer,2
group,37
the mix,4
deliberate capital,1
capital allocation,1
the enterprise,2
level,52
andor,16
balance,17
the portfolio,12
the right balance,1
the near term,7
a divestment,1
programme,69
this period,8
the cycle,2
percent,1
the distribution,5
a combination,9
this level,4
additional surplus,1
further debt,3
reduction,34
the balance,19
global average temperature,6
temperature,4
a longterm target,2
the manufacture,2
scope,32
the net carbon,2
intensity,69
comparison,9
total carbon,1
significant uncertainty,3
an expected negative impact,1
liquefaction,20
utilisation,14
financial condition,42
potential future,2
organic free cash,2
certain material,3
iii,2
capex,9
range,10
balance sheet,1
capex growth,1
firm longterm,1
first cash,1
priority,7
the nearterm range,1
require,2
f,2
duty,17
the success,3
the longterm success,3
employee,55
a cash,10
increase,8
facilitate,1
the reshaping,1
strategic direction,3
the principal,9
the financial year,9
leading marketing,1
strategic importance,2
the level,19
the size,8
the complexity,4
a clear framework,1
remit,3
order,46
consideration,30
the delegation,1
the way,14
good faith,2
likely promote,1
the benefit,6
regard,10
the business,57
position,37
the global energy,1
social responsibility,2
an orderly transition,2
that context,1
longterm value,2
wider,6
the unprecedented context,1
the imbalance,1
the oil,35
highvalue energy,3
leadership,27
decarbonisation,11
volume,9
significant core,1
all stakeholder,2
recognise,1
retaining,1
motivating,1
consider,1
the wider,16
workforce,27
relevant,6
a responsible employer,1
the workplace,2
national oil,1
jointventure,12
the ability,11
an important factor,1
the decision,12
this standard,1
the importance,19
the context,17
a variety,15
function,32
relation,50
divestment,17
this aspect,1
impact,25
countryentry,1
the information,25
site,28
external stakeholder,5
the physical site,1
travel,22
international travel,2
a strong interface,1
staff,81
facetoface,4
precovid0,1
committee,42
relevant governance,1
conduct,10
action,21
the long term,6
the effect,18
certain stakeholder,2
an important role,4
monitoring,15
desired culture,1
honesty integrity,2
deliberate focus,2
human performance,4
culture,38
equipment,62
work,39
interact,2
a system,2
ambition,16
no harm,3
an ambitious strategy,1
medium,2
mindset,6
complexity,9
the mindset,1
behaviours,1
a learner,3
learn,3
a safe environment,1
curiosity humility,1
an integrated way,1
clear focus,1
full potential,1
trust,15
a valued member,1
humility,2
a strong desire,1
possible adapt,1
collective success,1
inspiring,1
a situation,1
ownership,13
a voice,1
an important tool,1
engagement motivation,3
affiliation,3
commitment,24
high response,3
rate,116
sufficient detail,1
rigorous approach,1
oversight,19
assessing culture,2
the important role,1
public collaboration,2
this commitment,1
the heart,2
a time,2
climate change,11
long track,1
experience,60
insight,10
the positive impact,1
dialogue,4
the guidance,2
discussion,10
stakeholder,23
the review,11
public concern,4
reputation,31
substantial inhouse,1
expertise,13
input,14
each quarter,3
this engagement,5
the table,21
the different key stakeholder,1
concise,1
each group,3
a strategic nature,1
key stakeholder,2
the outcome,21
the course,18
strategic focus,1
the update,1
the investment,16
proposition,1
the value,26
the significance,2
internal climate,1
external climate,1
a threeday annual strategy,1
an update,10
the strategic agenda,1
strategic pathway,1
the financial framework,7
undertaken,2
this research,1
benchmarks,1
civil society,2
academia,1
analysis,19
the approach,10
current business,2
competitive performance,1
the extent,35
virtual staff,4
reorganisation,4
credible leadership,1
informing,1
a societal energy,1
the view,2
the direction,7
the strategic discussion,1
feedback,22
an explanation,6
the driver,1
the enhanced target,1
the ongoing restructuring,1
the leadup,1
the cleaner,1
renewable power,19
significant scale,1
the beginning,13
the rest,6
this decade,1
financial resilience,4
the first energy,1
an advisory vote,5
an annual basis,5
tremendous opportunity,1
a netzero world,1
the essence,1
a 0month period,1
the industry,14
material,14
the relationship,1
direction,10
the longterm financial health,2
a key focus,1
preservation,9
cost,80
pausing,1
buyback,20
the reduction,10
the later part,1
