token,frequency
a,618
n,20
u,113
l,17
r,18
e,65
p,12
o,18
t,18
d,46
c,209
s,18
f,41
h,23
y,6
m,12
b,377
powering,40
progress,112
annual,175
and,195
accounts,281
for,183
ended,23
december,366
royal,25
dutch,27
plc,150
introduction,6
iii,8
iv,6
about,6
abbreviation,1
strategic,209
report,666
chairs,13
message,10
chief,86
executive,119
officers,6
review,162
selected,17
financial,718
data,86
story,14
outlook,59
section,72
statement,259
risk,661
factor,120
overview,33
summary,20
result,184
performance,371
indicator,35
gas,653
information,383
capital,212
resource,75
environment,170
society,132
change,427
energy,504
transition,258
our,289
people,144
the,1710
chair,81
compliance,109
framework,122
board,45
activity,301
evaluation,71
understanding,87
engaging,17
stakeholder,132
workforce,49
engagement,184
directors,221
remuneration,234
policy,191
other,186
regulatory,100
statutory,50
statements,223
related,173
consolidated,66
supplementary,22
oil,699
unaudited,23
independent,104
auditors,19
reports,5
shareholder,297
measure,227
reconciliation,23
appendix,11
significant,192
subsidiary,190
undertaking,9
audited,27
fiveyear,6
dataset,2
design,27
production,321
friend,1
wwwfriendstudiocom,1
papier,1
pixel,1
projecten,1
wwwopmeerbvnl,1
ii,20
serf,5
accordance,72
uk,115
requirement,133
year,581
company,392
collectively,10
referred,19
this,333
present,28
shell,88
page,396
trust,73
except,38
number,164
presented,64
throughout,51
may,281
sum,15
precisely,2
total,211
provided,121
percentage,45
reflect,75
absolute,16
figure,33
due,106
rounding,2
contained,14
prepared,28
reporting,165
standards,24
issued,73
ifrs,23
defined,119
includes,156
interpretation,6
term,121
used,142
contains,11
certain,114
following,123
forwardlooking,16
cash,496
expenditure,88
divestments,32
we,745
unable,13
provide,100
comparable,6
needed,15
reconcile,1
dependent,8
future,262
event,87
outside,29
control,235
price,369
interest,494
rate,224
exchange,95
moreover,1
estimating,11
required,118
precision,1
necessary,53
meaningful,5
extremely,6
difficult,19
could,219
accomplished,1
without,30
unreasonable,1
effort,44
respect,143
period,282
reconciled,2
calculated,51
manner,19
consistent,38
accounting,137
applied,87
plcs,5
directly,41
indirectly,12
owns,13
investment,170
separate,18
legal,63
entity,66
in,639
addition,81
also,497
refer,16
general,85
work,137
these,181
useful,12
purpose,117
served,24
identifying,13
particular,40
subsidiaries,8
ha,440
either,47
unincorporated,2
arrangement,94
joint,264
generally,51
venture,234
operation,277
respectively,20
entities,3
influence,14
neither,6
associate,177
convenience,6
indicate,8
direct,35
andor,48
indirect,18
ownership,21
held,164
exclusion,3
thirdparty,39
include,151
as,161
intended,25
mean,47
expected,182
justify,3
action,98
decision,118
person,14
doe,41
necessarily,6
implement,26
implementation,30
usually,8
carried,43
responsible,69
must,30
organise,3
verify,2
obtaining,6
requisite,1
assurance,73
operating,216
effectively,15
each,26
operated,48
operational,116
management,436
manual,18
manuals,2
responsibility,74
operationalisation,1
strategy,248
reference,39
new,218
sky,1
scenario,51
specifically,9
within,131
previously,38
published,35
exploratory,9
based,178
assumption,156
reach,14
goal,43
holding,71
rise,22
global,158
average,129
temperature,18
century,9
well,157
two,112
degree,39
preindustrial,7
level,196
unfolded,1
openended,1
way,110
upon,25
plausible,2
quantification,4
wa,681
designed,36
technically,5
possible,55
start,28
aggressive,1
challenging,19
pace,19
accelerated,5
normative,1
meaning,4
assumed,13
achieves,1
stretch,3
worked,16
back,12
designing,2
occur,15
of,84
course,36
many,60
path,7
take,74
achieve,37
today,8
believe,45
still,29
maintaining,21
growing,33
economy,34
however,50
window,2
success,24
quickly,12
closing,16
part,127
ongoing,42
process,174
challenge,67
perspective,29
business,578
they,51
consider,39
even,21
remotely,4
scenarios,1
therefore,49
prediction,1
likely,21
outcome,152
projection,12
forecast,58
shells,69
including,430
referenced,4
plan,342
when,30
developing,52
one,130
variable,40
ultimately,11
whether,97
meet,85
decarbonise,19
while,20
intend,10
travel,33
journey,9
step,73
government,134
create,23
budget,16
forecasted,3
tenyear,1
updated,46
every,38
current,138
economic,104
reasonably,18
expect,39
see,207
next,31
ten,5
accordingly,26
pricing,18
netzero,85
emission,323
target,210
move,12
towards,56
movement,59
carbon,146
product,257
supplier,46
supplying,13
customer,173
associated,102
use,169
sell,59
suggest,1
indicated,20
shown,21
table,56
deduction,9
noncontrolling,46
share,759
volume,106
hydrocarbon,29
produced,42
processed,13
sold,32
all,27
processing,30
sale,186
included,185
le,55
case,79
limited,204
entitlement,20
royalty,9
payment,101
kind,9
deducted,2
stated,14
dollar,30
herein,4
currency,56
us,33
concerning,10
condition,165
historical,13
fact,21
deemed,17
forward,24
looking,10
expectation,47
involve,17
known,15
unknown,4
uncertainty,62
cause,20
actual,35
differ,19
materially,14
expressed,13
implied,5
among,25
thing,13
potential,143
exposure,42
market,235
expressing,1
belief,35
estimate,104
identified,71
phrase,2
aim,63
ambition,66
anticipate,4
objective,33
probably,1
project,209
schedule,19
seek,70
similar,37
there,54
affect,48
limitation,12
fluctuation,8
crude,136
natural,179
demand,180
drilling,34
reserve,225
loss,174
industry,110
competition,12
g,27
environmental,67
physical,38
identification,10
suitable,13
acquisition,55
property,85
successful,18
negotiation,2
completion,26
transaction,71
country,185
subject,122
international,55
sanction,23
j,12
legislative,9
fiscal,18
development,215
addressing,7
climate,165
k,6
various,92
region,39
political,22
expropriation,2
renegotiation,2
contract,208
