token,frequency
any doubt,1
action,4
own personal advice,1
a financial adviser,1
financial adviser,1
this document,2
the stockbroker,1
other agent,1
the sale,1
transfer,1
transmission,1
the purchaser,1
the paper,3
paper,3
virgin,1
pulp,1
cellulose,1
this pulp,1
technology,2
vegetable oil,1
production,3
the term,1
convenience,2
no useful purpose,1
the particular company,1
net carbon,2
footprint,2
carbon,4
the production,1
energy,22
that production,1
use,3
the energy,21
society,6
the use,8
the terminology,1
the year,7
wwwshellcomannualreport,1
wwwshellcomagm,1
charge,2
a paper,1
copy,4
ecommunication,1
a registered shareholder,1
own name,3
shareholder,10
example,2
email,2
address,3
online,1
wwwshareviewcoukclientsshell,1
a notification,2
whenever,1
such shareholder,1
website,9
the absence,1
an email,1
post,2
mind,1
any time,1
a copy,3
the communication,1
form,4
registrar,1
the address,1
plc,12
number,3
office,4
van,5
coronavirus,4
pandemic,2
remarkable global turmoil,1
an uncertain outlook,1
behalf,11
the significant public health,1
the virus,1
the time,5
printing,1
the trajectory,1
public health,3
the period,2
the situation,2
analysis,2
stabilisation,1
the crisis,1
relaxation,1
the same time,1
current applicable law,1
a place,1
the uncertainty,1
headquarters,1
location,1
dutch time,11
clear safety,1
priority,1
interest,2
support,17
staff,6
course,2
comply,1
law,12
restrict attendance,1
short notice,2
that context,1
the meeting,9
this year,7
webcast,5
the safety,2
voting,12
value,5
an opportunity,2
the inability,1
safety,6
applicable law,2
the evolving,2
situation,2
an alternative opportunity,2
due course,2
date,6
section,6
wwwshellcominvestor,3
information,7
the formal business,1
an interactive question,1
session,4
food,2
that way,1
the health,2
the business,15
a routine nature,1
company,4
favour,4
a shareholder,7
resolution,8
pursuant,2
this resolution,9
page,17
dutch translation,1
line,9
seek reappointment,2
the company,19
the close,8
business,28
the appointment,4
effect,11
the nomination,1
review,1
knowledge,7
experience,33
thorough search,1
process,2
the process,2
swift completion,3
minimise,3
health,6
exposure,3
the webcast,6
engagement,9
an alternative way,3
consideration,2
a poll,2
a show,2
vote,11
every share,2
the medium,2
the way,2
register,1
time,12
the day,4
the online,2
this event,2
a summary,1
the outcome,1
an overview,2
this opportunity,1
this news,1
power,2
equity,6
cash,5
the authority,11
that resolution,1
treasury,11
any such allotment,1
sale,3
such power,2
the allotment,2
connection,2
an offer,1
invitation,1
proportion,2
ii,2
other equity,2
otherwise,2
record,7
any overseas territory,1
any regulatory body,1
stock,1
exchange,2
any other matter,1
whatsoever,1
paragraph,1
a nominal amount,1
the end,8
each case,4
expiry,1
enter,2
the power,4
any such offer,2
agreement,2
the following business,1
half,2
the resolution,5
the case,4
the financial year,2
report,8
the conclusion,4
the remuneration,3
substitution,1
any security,1
an aggregate nominal amount,3
any stock,1
a general meeting,1
this period,3
market,4
such authority,2
a maximum number,1
the condition,1
the minimum price,2
an ordinary share,6
the maximum price,2
i,5
an amount,2
the average market,2
that ordinary share,1
the price,2
the last independent trade,2
current independent bid,2
the trading,2
the purchase,3
a contract,1
any such contract,1
the intention,1
forth,2
way,2
reference,3
a group,2
statement,3
order,4
publication,4
letter,2
recent information,1
the goal,6
this climate,1
belief,2
a wellbelow0c pathway,1
the whole energy,1
sector,6
global warming,2
preindustrial,2
a global netzero,1
system,8
the temperature,1
increase,2
the median pathway,1
pathway,2
group,1
reduction,4
industry,14
net,2
net zero,1
absolute net energy,1
peak,1
the entire 0st century,1
likelihood,1
special report,2
significant shareholder,1
a similar climate,1
an industryleading statement,1
ambition,8
the carbon,2
intensity,4
a level,1
a well,1
below0c,1
this ambition,3
an adequate change,1
oil,5
gas,12
consultancy,1
medium term,1
every fossil,1
fuel,1
unambiguous shareholder,1
transition,12
demand,3
the global intergovernmental consensus,1
the greenhouse,2
the companys,3
short medium,1
longterm,1
accordance,7
available science,1
base,6
unit,1
include information,1
progress,5
reasonable cost,1
proprietary information,1
the oil,3
the support,2
this support,1
part,3
fiduciary duty,1
international consensus,1
a source,1
financial risk,2
management,9
responsible stewardship,1
the economy,3
a decent return,1
capital,3
a world,1
economy,3
climate,5
change,7
drive,1
the average global temperature,1
this goal,1
unprecedented collaboration,1
coordination,1
this outcome,1
collaboration,1
the forefront,3
successful energy,1
intent,1
the next phase,1
this transition,1
harness,1
model,2
sustainable business,1
harmony,1
significant potential,1
future value,1
this way,1
mix,2
goal,1
own operational scope,1
work,1
the decarbonisation,1
remuneration,7
the delivery,2
a methane,1
target,2
the development,4
methane,1
further information,3
increased transparency,1
climaterelated lobbying,1
the publication,1
public support,1
extensive consultation,1
a result,1
last year,2
real business,1
activity,2
investment,5
wind,1
hydrogen,1
capture,1
storage,1
coal,1
the vast majority,1
consumption,1
individual consumer,1
the global economy,1
that demand,1
control,2
a related press,1
release,1
investor,1
new ambition,1
the next step,1
longterm strategy,1
medium,2
partnership,1
aviation,1
shipping,1
heavy road,1
transport,1
effective climate,1
participation,1
the creation,1
growth,1
this joint approach,1
the demand,1
light,1
a vote,1
a clear ambition,1
manageable incentive,1
a new ambition,2
this approach,1
the flexibility,1
scale,1
confidence,1
the policy,5
landscape,1
this strengthened framework,1
absolute,2
longterm ambition,1
mediumterm ambition,1
a method,1
the reduction,1
accounting,1
today,1
operating,5
aim,1
the future,3
this movement,1
step,1
the movement,1
approval,5
the relevant legislation,2
a period,4
a further period,2
a binding vote,2
such approval,2
an advisory vote,1
biographical,1
election,1
reappointment,2
a statement,4
director,1
the tenure,1
performance,12
the appropriate time,1
the summary,1
evaluation,4
full overview,2
the board,1
the reappointment,2
determination,1
each financial year,1
the next general meeting,1
authority,5
this amount,1
ordinary share,2
practicable date,2
the date,6
this authority,4
no present intention,1
the full authority,1
flexibility,1
advantage,1
preemption,1
a special resolution,3
this aggregate nominal amount,2
institutional investor,1
respect,2
intention,2
cumulative usage,1
a rolling threeyear period,1
prior consultation,1
any treasury,1
the ability,1
an important part,1
the financial management,1
the ongoing buyback,1
the light,1
an increase,1
share,3
no recommendation,1
issue,2
relation,6
note,4
the shareholder,4
response,2
industrial engineering,1
various manufacturing,1
posting,1
the society,1
a founding member,1
track,2
an international businessman,1
appointment,17
a deep understanding,2
extensive experience,3
risk,3
role,1
a strong dialogue,1
a strong commitment,1
corporate governance,2
compliance,2
avid advocate,1
diversity,6
current diversity,1
the external board,1
annual report,1
see,1
membership,15
the text,1
below,1
a tenure,1
tenure,8
a limit,1
first appointment,1
a limited time,1
orderly effective succession,1
planning,2
a diverse board,1
numerous shareholder,1
the extension,1
limited exception,1
comfort,1
reelection,1
the position,1
effective phasing,1
succession,1
departure,2
a significant deficiency,1
corporate knowledge,2
account,3
the independent evaluation,1
objectivity,1
objective judgment,1
the continuity,1
innate,1
understanding,4
coach,1
challenge management,2
overall governance,1
leadership,6
effective succession,1
the short term,1
banking,1
taxation,1
various senior management,1
the accounting,1
significant experience,2
the area,1
strategy,3
development,5
a champion,1
this area,2
bank,4
emerginggrowth,1
expertise,3
governance,3
extensive travel,1
the world,2
various executive,1
broad geopolitical insight,1
significant knowledge,1
the asian region,1
the boardroom,3
a number,5
chemical,1
engineering,1
a deep industry,1
proven management,1
career,6
total shareholder,1
the scrip dividend,1
the start,1
buyback,1
programme,1
the global challenge,1
a lowercarbon future,1
the introduction,1
a crossindustry,1
