token,frequency
plc,21
carel,1
bylandtlaan,1
hr,1
the,93
hague,5
tuesday,5
may,78
at,5
time,43
this,32
document,8
is,1
important,4
and,12
your,5
attention,1
if,19
doubt,1
action,9
take,7
seek,10
personal,3
advice,1
immediately,4
financial,25
adviser,4
authorised,6
uk,11
another,2
appropriately,1
sold,2
transferred,3
share,94
please,13
give,10
accompanying,2
stockbroker,1
agent,1
sale,5
transfer,1
wa,58
effected,1
transmission,1
purchaser,1
inside,1
for,8
information,19
about,1
presentation,4
in,26
london,4
specifications,1
paper,7
used,9
fsccertified,1
produced,1
virgin,1
pulp,2
cellulose,1
without,4
recycling,1
fibre,1
bleached,1
technology,6
ink,1
vegetable,1
oil,12
based,8
design,1
production,5
friend,1
wwwfriendstudiocom,1
iso,1
chairs,4
letter,4
directors,36
biographies,5
notice,55
of,5
annual,11
general,9
meeting,33
shareholder,99
notes,5
attendance,12
arrangements,2
appendix,2
summary,5
policy,26
resolution,80
supporting,6
statement,15
response,4
to,25
explanatory,3
on,8
resolutions,10
cautionary,1
note,16
company,47
directly,2
indirectly,2
owns,1
investment,8
separate,2
legal,5
entity,1
term,5
refer,4
however,20
u,6
sometimes,1
convenience,2
reference,7
made,12
andor,4
subsidiary,2
these,9
expression,1
also,41
useful,1
purpose,8
served,16
identifying,1
particular,6
net,9
carbon,10
footprint,2
includes,5
emission,32
energy,49
product,14
supplier,2
supplying,1
customer,15
associated,4
use,13
sell,11
control,3
support,33
society,11
achieving,5
goal,12
aim,9
help,8
influence,1
consumer,5
likewise,1
lower,5
terminology,1
intended,2
suggest,1
report,26
form,22
f,2
year,57
ended,9
december,11
found,11
wwwshellcomannualreport,1
would,13
like,3
obtain,3
free,2
charge,2
copy,12
contact,6
one,15
following,12
ecommunication,1
registered,8
hold,18
name,5
choose,3
view,8
communication,7
example,2
mean,9
website,22
instead,5
receiving,2
opt,2
provide,8
email,3
address,7
registering,2
online,7
wwwshareviewcoukclientsshell,1
sent,5
notification,2
whenever,1
added,1
absence,1
post,2
change,24
mind,1
contacting,1
number,18
office,5
se,1
na,4
van,8
register,13
dear,1
evolving,4
coronavirus,4
pandemic,3
causing,1
remarkable,1
global,17
turmoil,1
uncertain,1
outlook,5
behalf,11
hope,2
loved,1
staying,1
safe,1
healthy,1
given,15
significant,12
public,21
health,13
concern,4
virus,2
government,10
placed,2
increasingly,1
stringent,1
restriction,5
outing,1
gathering,4
printing,2
banned,1
strict,1
exception,3
trajectory,1
particularly,7
risk,21
could,5
extend,1
throughout,4
period,13
within,8
must,22
agm,16
recognise,3
situation,4
analysis,2
daily,1
include,9
stabilisation,1
crisis,1
relaxation,1
comply,4
current,9
applicable,6
law,15
requiring,1
set,22
place,4
uncertainty,1
currently,4
scheduled,5
headquarters,2
location,3
clear,4
safety,12
priority,1
interest,14
applies,1
employee,5
staff,6
moreover,2
course,4
fully,4
respect,3
prohibit,1
severely,1
restrict,1
consequently,1
subject,1
possibly,1
short,4
with,2
context,1
respectfully,1
urge,1
reflect,5
whether,6
physically,2
attending,3
best,9
we,17
strongly,9
recommend,9
watch,2
webcast,18
home,2
exercise,9
voting,35
right,30
ahead,3
value,7
opportunity,9
engage,4
consider,11
inability,1
regrettable,1
put,1
first,7
making,6
exceptional,4
circumstance,12
protect,2
people,5
attendee,7
permitted,5
continue,11
monitor,2
endeavour,2
alternative,6
due,6
encourage,5
keep,2
date,15
section,19
