token,frequency
r,37
p,23
e,214
l,50
c,161
n,54
f,42
u,24
a,211
h,20
g,42
d,35
v,10
universal,40
registration,364
document,416
including,346
certification,19
person,62
responsible,119
presentation,127
group,685
integrated,123
report,371
brief,8
an,47
ambition,60
become,34
energy,355
major,173
advantages,7
allow,26
stand,12
changing,16
world,115
commitment,190
favouring,9
sustainable,79
growth,96
governance,203
organizational,21
structure,52
support,130
groups,152
result,215
overview,60
fiscal,410
year,1104
segment,456
exploration,277
production,744
upstream,54
hydrocarbon,165
activity,683
refining,167
chemicals,69
marketing,92
services,95
development,345
risks,29
control,274
risk,639
factor,60
targeted,24
economic,164
sanction,62
management,520
procedure,168
insurance,77
arbitration,8
proceeding,27
performance,366
model,39
social,104
challenge,151
health,120
safety,205
change,371
related,366
actions,11
human,219
right,378
fighting,19
corruption,57
tax,327
evasion,13
creation,40
host,32
region,71
contractors,8
supplier,113
reporting,128
scope,113
method,106
independent,162
third,131
party,99
shareholder,279
listing,11
detail,25
buyback,48
foreign,63
investor,37
relation,69
general,83
information,528
capital,345
incorporation,49
bylaw,56
historical,32
financial,1261
additional,79
statements,309
statutory,203
auditor,101
consolidated,387
statement,323
income,433
comprehensive,48
balance,114
sheet,100
cash,373
flow,240
equity,241
oil,618
gas,784
unaudited,39
pursuant,82
codification,4
other,352
payment,190
made,200
government,140
commercial,191
code,147
sa,376
parent,53
company,694
concerning,69
glossary,9
crossreference,11
list,51
corporate,190
body,122
regarding,121
compensation,361
administration,41
agreement,299
this,344
translation,68
non,41
binding,6
chief,278
executive,446
officers,33
issued,63
provided,114
solely,7
convenience,5
englishspeaking,2
reader,2
i,39
certify,6
taken,88
reasonable,18
measure,163
purpose,56
best,38
knowledge,39
contained,8
denregistrement,4
universel,4
accordance,180
fact,15
make,80
omission,3
likely,25
affect,24
import,7
prepared,21
applicable,170
accounting,141
standard,122
give,32
fair,182
view,31
asset,536
liability,219
position,146
entity,221
included,94
consolidation,36
rapport,1
de,174
gestion,2
referenced,1
cross,6
reference,81
page,11
present,93
business,385
describes,9
main,124
uncertainty,19
exposed,44
on,85
march,72
chairman,269
officer,346
version,21
cancel,17
replaces,2
filed,10
marchés,9
financier,9
competent,15
authority,115
regulation,128
eu,32
without,59
prior,51
approval,65
said,14
the,1959
two,195
consists,22
rectification,2
error,9
impact,262
assessment,168
carried,91
pipeline,31
project,410
wa,502
wrongly,1
attributed,4
instead,3
consultancy,3
alliance,9
remainder,2
remains,28
unchanged,7
except,45
minor,6
align,5
correction,3
legend,1
pie,1
chart,5
shareholding,70
type,52
end,199
first,135
paragraph,43
section,33
title,8
insert,1
may,521
used,207
public,80
offer,84
security,164
admission,3
trading,137
regulated,23
market,305
supplemented,10
transaction,160
note,241
summary,23
amendment,9
formed,6
approved,81
player,41
key,84
figure,15
collective,35
meet,64
facing,5
sector,83
established,43
strategy,142
longstanding,7
differentiating,2
geographic,20
presence,49
committed,43
better,43
five,80
strong,46
value,438
heart,13
engaged,6
rd,45
innovation,22
digital,34
transformation,28
investment,307
policy,223
continuous,18
improvement,77
dynamic,11
directors,139
fully,53
strategic,63
orientation,17
subsidiary,336
operational,136
liquidity,23
resource,81
outlook,27
significant,130
strength,8
total,438
producer,17
nearly,32
century,4
country,241
continent,12
produce,52
fuel,90
natural,205
lowcarbon,50
electricity,117
extend,12
distribution,52
consumer,19
liquefaction,35
petrochemical,53
transport,82
storage,72
more,26
employee,685
contributing,16
supply,79
many,28
people,118
possible,60
affordable,10
available,123
cleaner,5
essential,24
accompanies,3
society,29
in,983
