token,frequency
group,146
pte,8
ltd,14
financial,345
business,114
highlight,3
revenue,42
bn,11
combined,9
volume,87
commodity,113
traded,45
mmt,22
gross,19
proﬁt,18
asset,359
percentage,9
total,69
margin,36
noncurrent,40
shareholders,3
equity,127
minerals,1
average,23
number,24
employee,22
year,336
company,78
directly,29
indirectly,7
owns,6
investment,143
separate,11
distinct,3
entity,37
in,118
publication,2
collective,2
expression,4
may,52
used,36
convenience,2
reference,12
made,38
general,22
likewise,3
word,2
u,57
place,20
refer,8
these,34
also,82
useful,13
purpose,18
served,3
identifying,3
particular,24
run,5
october,39
september,140
million,342
metric,13
tonne,61
earnings,15
interest,138
tax,169
depreciation,21
amortisation,18
operating,52
profit,118
excluding,7
share,72
result,75
equityaccounted,30
investees,35
gainslosses,4
divestments,6
subsidiary,70
impairment,82
loss,180
income,144
expense,59
exclude,1
drc,4
consolidated,108
trafiguras,43
balance,79
sheet,27
cover,4
image,1
rod,2
refined,32
metal,54
warehouse,11
trade,81
brings,1
world,25
closer,3
together,14
it,36
expands,1
wealth,1
nation,1
forge,1
common,2
build,11
mutual,1
trust,2
trafigura,60
make,17
happen,1
and,3
mission,1
responsibly,2
we,118
deploy,1
infrastructure,22
skill,4
global,72
network,10
move,14
physical,50
plentiful,1
needed,3
connecting,1
customer,32
economy,16
quarter,5
century,1
grow,18
prosperity,1
advancing,1
find,1
wwwtrafiguracom,1
glance,2
what,3
directors,10
risk,227
management,164
funding,101
model,109
governance,30
statement,187
manages,14
meet,20
diverse,8
need,19
chairman,8
chief,20
executive,11
officer,13
review,24
performance,61
products,6
trading,150
shipping,13
chartering,7
the,535
report,53
complemented,2
reflects,8
progress,9
implementing,1
responsible,13
practice,9
set,19
assessing,10
managing,15
social,4
environmental,17
impact,62
for,37
information,38
visit,1
wwwtrafiguracomresponsibility,1
overview,9
at,16
core,7
logistics,23
complement,1
enhance,3
activity,70
office,11
across,23
country,30
fixture,6
fragmented,1
market,325
single,5
ha,158
dominant,5
position,77
one,51
largest,17
trader,11
oil,82
petroleum,14
product,47
presence,6
comprehensive,47
coverage,2
major,19
mineral,11
negotiate,3
offtake,13
supply,62
agreement,69
miner,1
smelter,20
invest,8
improve,7
access,16
client,9
our,28
desk,30
closely,5
integrated,10
providing,16
freight,19
service,35
team,51
internally,2
externally,4
professional,6
industrial,8
ﬁnancial,11
multimodal,11
provider,3
focused,13
exportdriven,1
emerging,18
operates,20
port,32
terminal,18
transport,6
expertise,4
efficient,5
logistic,2
solution,4
challenging,17
environment,21
hardtoreach,1
location,14
mining,36
operation,54
develops,1
project,30
conduct,4
technical,1
audit,77
existing,14
potential,21
partner,6
provides,11
advisory,2
support,29
counterparties,23
investor,15
specialised,2
alternative,8
real,5
private,14
fund,24
independently,2
benefit,37
groups,20
insight,2
demand,78
ofﬁces,1
employees,2
wwwtrafiguracomlocations,1
directorscorporate,1
governancefinancial,27
statementsrisk,27
connect,1
capacity,26
develop,4
reliably,7
efficiently,2
adding,2
value,285
natural,18
resource,5
exceptional,2
chain,6
producers,1
processors,1
deliver,3
producer,20
refiner,4
mine,54
supplier,3
store,3
owned,18
thirdparty,4
tankage,2
third,15
partyowned,1
facility,49
blend,2
regional,2
specification,3
strategically,1
located,4
around,17
operate,12
safe,1
highquality,3
barge,5
truck,2
rail,4
pipeline,13
vessel,25
party,32
traﬁgura,5
add,4
by,11
transforming,1
reducing,9
cost,127
space,3
time,53
form,10
knowledge,2
financing,44
operational,11
efficiency,4
economies,2
scale,7
optimisation,1
political,8
liability,130
insurance,11
system,25
process,29
regulatory,10
compliance,12
responsibility,20
a,63
resilient,3
disciplined,7
demonstrated,5
resilience,4
expanding,5
provision,41
roster,3
i,3
pleased,3
present,18
this,84
wa,196
celebrated,1
th,2
anniversary,1
another,13
strong,55
despite,14
headwind,7
especially,11
benefiting,1
approach,28
increased,44
overall,19
generated,10
comparable,4
previous,15
strategy,12
growth,70
continued,42
energy,10
rate,153
slowly,2
rising,19
historic,4
low,21
recent,21
on,22
hand,9
presented,17
challenge,4
including,72
intense,1
competition,5
compressed,1
reduced,8
arbitrage,15
opportunity,29
pricing,25
structure,22
spot,8
price,181
persistently,2
exceeded,4
forward,41
consistent,7
achieved,6
aggregate,15
broadly,2
figure,6
usd,271
recorded,34
six,9
percent,117
higher,27
division,17
best,10
making,5
contribution,16
difficult,3
first,31
half,8
recovered,3
end,35
pretax,6
amounting,6
realised,11
sale,100
newly,5
formed,3
joint,43
venture,40
manager,9
investors,9
conducted,4
longterm,29
perspective,2
yearonyear,13
fluctuation,1
serve,1
underline,1
built,9
three,26
strand,2
uncorrelated,3
commercial,13
cycle,7
bulk,11
rely,1
deep,5
talent,2
pool,4
shared,2
base,21
supported,9
ninestrong,2
committee,24
important,10
driver,4
