token,frequency
business,74
highlights0,1
revenue,23
combined volume,1
proﬁt,7
oil,43
a percentage,6
total volume,6
margin,8
net proﬁt,2
equity,115
average number,1
the year0,1
this publication,2
convenience,2
reference,12
no useful purpose,2
any particular company,2
financial year,26
this period,2
reporting,6
interest,66
tax,77
depreciation,16
amortisation,12
profit,70
the share,7
other nonoperating income,2
total employee,1
an average,2
the financial year,22
comprise,2
the first time,5
the consolidation,1
trade,33
the world,17
closer,1
the wealth,1
mutual trust,1
mission,1
that responsibly,1
global network,1
the global economy,5
a quarter,1
a century,1
prosperity,1
a glance,2
management,85
funding,19
model,44
diverse business,2
governance,5
review,21
trading,63
progress,8
responsible business,1
performance,28
further information,4
visit,1
wwwtrafiguracom,2
responsibility,8
core,7
the physical trading,1
petroleum,10
transportation,4
the globe,5
complement,1
volume,9
a global presence,1
comprehensive coverage,1
trader,5
shipping,6
desk,4
freight,8
commodity,37
the professional market,1
provider,3
export,5
port,11
transport,7
potential partner,1
specialised alternative investment,1
private equity,1
mining,17
position,18
zinc,13
capacity,14
physical commodity,3
value,95
the global trade,1
exceptional service,1
the supply,10
chain,8
creation,3
third party,2
tankage,1
thirdparty,4
regional market,1
customer,13
high quality,1
barge truck,1
rail pipeline,1
vessel,4
support,14
renewable power,3
electricity,5
market,103
access,9
generation,2
storage,16
time,24
efficiency,3
optimisation,1
space,2
network,10
knowledge,3
financing,28
cost,31
liability,22
risk,127
insurance,8
scale,1
investment,45
compliance,13
wind,2
energy,7
supply,38
carbon,4
intensity,2
footprint,2
infrastructure,11
statement,27
strong result,1
a volatile year,2
an extraordinary period,1
global commodity,1
exceptional customer,1
service,13
financial performance,4
strategy,11
global scale,1
cross,1
reach,1
indepth market,1
success,3
this year,10
a reflection,1
this core,1
recruiting,1
talent,1
world,3
class,2
control,21
the teamwork,1
global office,1
variable market,1
the commodity,7
spectrum,1
the virus,5
spread,7
work,8
home,2
platform,5
price,43
demand,60
the fundamental function,1
hand,5
the impact,26
volatile market,2
this strong focus,1
flexibility,3
environment,9
arbitrage,2
a gross trading,1
percent,103
a significant stepup,1
the year,71
the trade,5
sector,6
a reduction,5
credit,88
availability,2
the volatile market,1
the previous year,3
global bunker,1
fuel,12
the successful start,1
joint venture,4
any standard,1
a challenging,1
volatile year,2
a result,39
a year,7
government,3
unprecedented market,1
expertise,1
upon,1
an exceptional degree,1
the challenge,1
resourcefulness discipline,1
reliable service,2
operational performance,1
a range,5
community,3
every individual,1
commercial staff,1
financial result,1
a net profit,1
an excellent performance,1
record,13
gross profit,7
the same time,6
the consequent economic downturn,2
health,5
safety,14
environmental performance,2
the death,1
employee,7
the work,8
the excellence,1
discipline,2
commercial performance,1
the economic downturn,2
the contraction,1
the movement,4
a conservative approach,2
the value,16
a disciplined approach,2
the fuel,1
distribution,1
retailing,2
a loss,8
balance,46
sheet,24
lead smelting,1
the midst,1
a turnaround,1
the colombian port,1
venture,7
subsidiary,8
this financial year,2
total capital,1
expenditure,12
maintaining,1
asset,24
profitable sale,1
transparency,3
good governance,1
trust,3
long term,5
international reporting,1
new sector,1
industry,8
participation,6
the transparency,2
global supply,1
particular,1
line,12
programme,18
the business,13
mitigation,1
assurance,3
accordance,18
a priority,2
the practice,1
origination,2
development,15
robust compliance,1
due diligence,2
oversight,3
higherrisk third party,1
a changing world,1
pandemic,14
order,11
the problem,1
climate,5
change,19
pace,2
the pandemic,5
share,40
power,10
proportion,2
the global automobile,1
the end,27
an excellent position,1
exposure,33
a sector,1
copper,15
cobalt,6
aluminium,15
nickel,7
electrification,3
renewable energy,2
gas,12
part,25
the energy,5
transition,10
alternative energy,1
hydrogen,1
a third trading,1
division,6
an electricity,1
significant disruption,2
opportunity,1
this new division,1
place,16
a core,2
a major charterer,1
supplier,2
an operator,1
the need,4
the carbon,1
greenhouse,1
a path,1
the strength,2
an improving,1
portfolio,5
diversified trading,1
the accelerated global transition,1
a lowercarbon,1
growth,16
a key role,1
future,4
remarkable trading,4
record profit,4
cashflow generation,1
a material reduction,2
leverage,2
year,31
history,5
the company,14
cash,92
flow,52
the result,6
the figure,2
level,29
a likeforlike basis,2
overall trading,3
likewise,1
a significant multiple,1
the level,8
an outstanding performance,1
both core,1
the strong profit,1
substantial value,1
relation,12
a record,2
the valuation,29
the solidity,1
resilience,2
financial leverage,3
the ratio,5
adjusted debt,9
net equity,1
mediumterm target,1
increase,7
the growth,3
activity,13
the implementation,6
geography,3
net cash,9
envelope,1
the increase,5
acquisition,24
property,26
plant,37
equipment,43
maintenance,7
capital,47
this additional expenditure,1
inflow,2
the profitable disposal,1
noncore,1
transparent approach,1
communication,2
the debt,13
a bond,1
issue,4
a flight,3
quality,9
finance,26
the face,2
example,8
a low carbon,2
facility,25
the fact,4
incorporate,1
requirement,4
lease,38
page,4
this statement,1
the effect,10
the detail,1
the net impact,1
this reporting,1
the profit,3
the period,40
the absence,4
an increase,12
addition,18
the requirement,1
a corresponding increase,2
total group,2
proﬁtability,1
the oil,8
cycle,3
information,15
public market,1
graph,1
gross proﬁt,1
the marked increase,1
extraordinary volatility,1
the emergence,2
contango forward price,1
the unprecedented market,1
volatility,14
the record,2
volatile month,1
advantage,3
deep understanding,1
physical oil,1
worldclass,1
the spread,5
the first half,2
the calendar,2
the trend,1
base,11
the contribution,1
uncorrelated business,1
a net reduction,1
the total volume,1
an average daily volume,1
a market,4
a slump,1
the softening,1
a multiple,1
last year,2
the economic impact,1
holding,1
impairment,17
the statement,65
income,84
indian refiner,1
stake,4
an itemised list,1
right,4
use,17
a new noncurrent asset,1
that number,1
brent price,1
contango,1
structure,9
the overall increase,1
consumption,12
day,7
policy,15
the powerful performance,1
strong cash,1
operating,25
this operating,1
reliable measure,1
a significant increase,3
meaning,1
a net release,1
this increase,1
the use,14
shortterm bank,3
a net cash,1
a net use,2
the normal ongoing maintenance,1
the principal item,1
the net cash,1
a net inflow,1
the overall balance,1
wide access,1
liquidity,19
a network,1
the majority,8
daytoday trading,2
corporate credit,1
other shortterm,1
this funding,1
the necessary flexibility,1
enhanced price,1
utilisation,5
an active programme,1
issuance,2
debt,41
longerterm finance,1
the course,6
a number,15
the syndicated bank,1
securitisation,18
innovative financing,1
bond,6
strong access,1
unprecedented volatility,1
a strong vote,1
confidence,4
the quality,4
the credit,3
the companys,8
millionequivalent,1
the support,2
the transaction,10
dollar,7
a oneyear chinese yuan renminbi term,2
loan,15
term,13
this facility,1
the accordion,2
feature,2
the second phase,1
an eligible jurisdiction,1
an amendment,1
process,13
the platform,2
this improvement,1
programme utilisation,1
the way,1
the next phase,1
committed term,1
the assetbacked securitisation,1
flagship,2
european multicurrency,1
the facility,7
the second extension,1
option,15
the threeyear tranche,1
a separate transaction,1
the fifth time,1
bank,13
equivalent,5
spot,7
rate,100
denominated term,2
the threeyear,2
tranche,5
an inaugural fiveyear tranche,1
the continued interest,1
the syndicate,1
amount,51
a dedicated funding,2
vehicle,2
fifth issuance,1
allin financing,1
