token,frequency
securities,11
dc,1
form,59
k,31
è,8
annual,22
report,69
pursuant,16
to,14
section,11
or,2
of,13
exchange,26
for,59
fiscal,4
year,121
ended,64
december,205
transition,6
act,21
period,82
file,24
number,48
name,5
registrant,20
specified,7
charter,1
jurisdiction,18
incorporation,3
organization,23
address,12
principal,17
executive,52
office,7
telephone,3
including,133
area,11
code,6
registered,16
b,12
class,4
par,8
value,146
trading,1
g,2
stock,49
indicate,9
check,8
mark,9
wellknown,1
seasoned,1
issuer,11
defined,13
rule,19
yes,4
no,12
required,44
whether,15
ha,41
filed,25
preceding,4
month,32
shorter,3
wa,47
subject,85
filing,8
requirement,50
past,5
day,10
submitted,7
electronically,1
every,1
interactive,2
data,73
posted,2
st,2
submit,6
post,1
large,18
accelerated,9
filer,8
nonaccelerated,2
smaller,3
reporting,61
company,105
emerging,4
growth,29
see,21
definition,3
one,12
if,36
elected,3
use,39
extended,3
complying,1
new,33
revised,3
financial,217
accounting,44
standard,33
provided,15
attestation,1
management,99
assessment,15
effectiveness,10
internal,35
control,48
usc,1
public,19
firm,13
prepared,2
issued,15
audit,44
shell,1
the,232
aggregate,12
market,101
voting,2
held,8
nonaffiliates,1
june,33
based,58
last,1
reported,20
sale,17
price,49
per,49
share,99
excluding,7
beneficially,1
director,13
officer,50
subsidiary,49
as,44
january,13
outstanding,19
information,114
extent,6
set,16
forth,8
herein,8
incorporated,52
reference,47
definitive,6
proxy,7
statement,79
relating,16
meeting,3
shareholders,2
such,6
within,22
end,15
relates,2
by,4
group,26
table,18
contents,1
item,41
business,238
a,38
risk,82
factors,13
unresolved,2
staff,3
comments,1
properties,2
legal,15
proceedings,2
mine,2
safety,5
disclosures,4
selected,7
managements,3
discussion,15
analysis,20
condition,39
results,6
operations,8
quantitative,11
qualitative,9
about,3
changes,6
disagreements,1
with,6
accountants,2
controls,1
procedures,3
other,44
directors,10
officers,3
corporate,22
governance,7
compensation,31
security,128
ownership,5
certain,89
beneficial,3
owners,2
related,76
shareholder,33
matters,5
relationships,2
transactions,3
independence,2
summary,16
signatures,1
part,25
i,16
introduction,4
overview,2
term,17
u,62
used,31
refer,1
diversified,10
health,288
care,334
mission,11
help,27
people,54
live,6
healthier,6
life,20
make,22
system,63
work,13
better,16
everyone,5
we,107
seek,5
enhance,5
performance,33
improve,26
overall,12
wellbeing,6
serve,20
community,35
professional,22
key,12
partner,5
expand,9
access,25
quality,28
get,1
need,37
affordable,6
support,17
patientphysician,1
relationship,23
empower,1
guidance,1
tool,4
personal,12
choice,3
decision,6
our,84
two,13
complementary,3
driven,8
unified,3
vision,5
affordability,5
experience,27
outcome,15
individual,58
privileged,3
breadth,3
scope,4
consistently,3
ability,38
analyze,3
complex,13
apply,11
deep,1
expertise,5
insight,2
allows,1
provider,87
government,76
innovative,7
product,117
complete,9
endtoend,1
offering,22
many,16
biggest,1
challenge,12
facing,1
today,1
technologyenabled,2
service,235
delivering,3
modernize,5
population,15
serf,11
broad,7
marketplace,5
payer,15
employer,33
science,6
consumer,59
optuminsight,21
optumrx,14
these,48
dedicated,7
unit,27
optimizing,1
reducing,1
cost,214
improving,7
leveraging,3
distinctive,3
capability,10
analytics,13
pharmacy,71
delivery,34
operation,116
offer,24
full,11
spectrum,5
benefit,85
program,102
ranging,2
sole,1
proprietorship,1
multisite,1
national,10
sector,12
delivers,3
beneficiary,12
retiree,1
state,154
manages,3
behalf,10
participant,1
provides,33
dental,6
hospital,30
clinical,31
global,19
through,6
processed,8
nearly,4
trillion,1
dollar,11
gross,9
billed,2
charge,9
managed,22
billion,78
spending,6
customer,103
revenue,100
derived,5
premium,52
riskbased,19
fee,18
administrative,21
technology,40
consulting,4
outsourced,1
wide,5
variety,8
industry,28
investment,92
income,84
platform,9
four,7
reportable,15
segment,33
unitedhealthcare,13
