token,frequency
speed,6
the future,48
volume,59
revenue,231
result,121
return,120
tax,240
capex,15
net cash,11
flow,96
net liquidity,13
liquidity,26
investment,61
equity,125
net income,5
the fiscal year,15
ordinary share,13
share,187
total research,7
development,118
research,30
ratio,42
the equity,30
method,38
allocation,15
consolidation,18
acquisition,7
disposal,20
a percentage,18
average equity,5
this version,2
the annual report,3
a translation,3
precedence,2
the report,12
addition,168
the previous fiscal year,2
the current reporting,1
period,222
current reporting,1
the transformation,11
course,5
individual mobility,3
letter,4
statement,51
accordance,114
this annual report,15
the occasion,1
a company,5
some look,2
responsibility,25
the environment,19
all responsibility,1
value,107
the type,11
company,49
stand,1
business,182
digitalization electrification,2
an increase,24
shareholder,10
fiscal year,143
spite,7
the difficult environment,2
this value,2
example,52
operating,87
profit,190
percent,46
the operating,65
the upper end,2
the target,21
range,74
a solid financial position,2
test,29
procedure,29
production,131
distribution,23
the second half,11
the year,53
the introduction,11
the range,11
the next level,2
situation,12
way,7
the core,16
volkswagen,26
brand,146
the brand,39
the objective,6
the main plant,5
future,9
productivity,3
alone,1
cent,2
political uncertainty,5
an ailing economy,1
economy,8
the world,47
the economy,6
the trade,10
dispute,4
this core,3
market,157
a feat,2
sincerest,1
com,29
mitment,2
success,23
a significant increase,6
the dividend,13
preferred share,28
emphasis,7
the electric car,2
efficient choice,3
transport,21
the situation,11
the tech nological change,1
industry,22
emobility,32
connectivity,8
new mobility,2
automated driving,2
a lot,1
energy,21
this development,2
the top therefore,1
efficiency,18
competitiveness,9
cost,99
electric campaign,1
contribution,19
electric mobility,6
the elec,1
tric car,1
the road,5
every fourth car,1
an electric model,1
the first vehicle,5
neutral supply,1
chain,20
the face,1
pureplay,1
electric car,2
electric production,1
network,21
the conversion,5
the production,22
launch,6
the car,5
device,10
a tablet,1
assistance,5
infotainment,1
software,23
tomorrow,11
successful com,1
scale,3
the sector,3
the necessary size,1
expertise,17
full speed,1
the first established auto,1
maker,1
hardware,2
a sepa,1
rate,210
position,20
division,8
a close,1
eye,1
goal,15
the global leading provider,1
sustainable mobility,13
sustainable growth,3
work,34
force,10
trust,9
invite,1
this journey,1
group,40
hc,24
section,53
the work,11
the enhance,1
ment,67
management,184
structure,28
the diesel issue,117
another area,1
the reporting,239
agement,18
running,1
the business,18
the management,12
accor,4
dance,5
the law,6
ciation,3
fundamental importance,3
person,3
relevance,3
relating,5
strategy,68
planning,18
the risk,43
risk,216
man,7
this respect,5
compliance,56
system,109
information,59
an ongoing basis,5
good time,4
a detailed report,1
the current busi,1
ness position,1
the forecast,16
the current year,2
performance,96
detail,12
connection,79
wagen,60
integrity,27
a total,45
the average attendance,1
writing,1
half,13
order,39
visory,2
nation,5
each consist,1
employee,18
the shareholder,5
represen,1
page,37
dealt,1
the composition,12
remuneration,101
election,3
this committee,2
occasion,1
the past fiscal year,19
the effectiveness,9
the internal control,6
the internal audit,2
organization,28
the halfyearly financial report,1
the supervision,1
financial reporting,3
the financial reporting,3
process,36
the examination,1
thereof,2
the call,2
this process,10
the selection,1
the meaning,8
this end,8
regular information,1
the regulatory offense,9
formal approval,1
incumbent,1
a rule,6
meeting,15
a detailed exami,1
the combined management,8
report,76
separate nonfinancial report,2
dependent company,3
completion,11
examination,3
the dependent company,6
the conclusion,8
declaration,8
the current state,16
respect,28
the agenda,6
the enhancement,4
this context,19
the structure,5
composition,1
the strategic focus,2
focus,20
diesel,47
another meeting,2
the preparation,8
the principal topic,2
discussion,8
the administrative fine order,21
office,35
the meeting,6
the corporate structure,1
capital,109
readiness,5
remuner,1
ation,12
the main topic,1
financial planning,1
the period,60
the utilization,2
the annual declaration,3
conformity,16
an information,1
policy,29
detailed guidance,2
reporting,21
the establishment,5
a branch,1
a member,16
move,1
irrespective,2
interest,133
room,2
conduct,2
autumn,1
a number,22
verfassungsgesetz,1
excessive remuneration,2
the implementation,21
the version,2
the government,2
commission,6
the corporate governance,2
effect,30
the end,114
